gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2430484084,767091,https://cch2.org/portal/collections/individual/index.php?occid=767091,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,3d63e490-fdae-4486-aa8a-82ce6548de6e,RSA0092812,2066,Thomas R. Stoughton; Sarah J. De Groot,,,flowers,,Native,,,,"Chilopsis linearis, Psorothamnus sp., Ephedra sp., Ambrosia salsola, Larrea tridentata",RSA accession #: 846563,,2016-02-23,2016-02-23,2016,02,23,,54,,2016,2,23,23 February 2016,"Large, open wash intersecting Creosote bush scrub.",,United States,,California,San Bernardino,,BLMNE slope of San Bernardino Mountains off highway 247 at New Dixie Mine Road.; Landers 7.5' USGS,3772ft.,34.27131,-116.46658,WGS84,305,T2N R5E S9,202063,Anisocoma acaulis,Asteraceae,Anisocoma,,acaulis,,Species,Torr. & A. Gray,2010,54
2430365632,678271,https://cch2.org/portal/collections/individual/index.php?occid=678271,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,13499db2-c8e0-449d-a9e4-1284b5babe40,,274,Naomi Fraga; Amber Maurice,,,flowers,,Native,,,,,RSA accession #: 721198,,2003-02-23,2003-02-23,2003,02,23,,54,,2003,2,23,,"Bajada of canyon, very coarse and dry granitic soil. Desert scrub. Associated species: Larrea tridentata, Ambrosia dumosa, Erodium cicutarium, Bromus tectorum, Salvia columbarie, Coreopsis bigelovii, Phacelia distans, Malacothrix glabrata, Anisocoma acaulis, and Camissonia claviformis.",,United States,,California,Kern,,BLMThe Owens Peak Eastern Watershed. Indian Wells Canyon.; Owens Peak 7.5' USGS Quad,3500ft.,35.715438,-117.973524,NAD27,,11 0411941E 3952624N,202063,Anisocoma acaulis,Asteraceae,Anisocoma,,acaulis,,Species,Torr. & A. Gray,2000,54
1257410172,2741620,https://www.inaturalist.org/observations/2741620,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2741620,2741620,,Stephen Hodges,,,flowering,,wild,,,,,,,2016-02-29T15:55:33-08:00,2016-02-29,2016,02,29,23:55:33Z,,,,,,2016-02-29 15:55:33,,,,US,California,,,,,33.903405,-116.082187,,220,,57910,Anisocoma acaulis,Asteraceae,Anisocoma,,,,species,,2010,60
2430139851,1111153,https://cch2.org/portal/collections/individual/index.php?occid=1111153,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,bd825dc7-bf67-4952-b237-9f1bbb4504b7,,436,Justin M. Wood; Quan Vong,,,flowers,,Native,,,,,RSA accession #: 768366,,2009-03-03,2009-03-03,2009,03,03,,62,,2009,3,3,,"Creosote scrub, sandy washed, and rocky hillsides.",,United States,,California,San Bernardino,,"BLMShadow Mountains, +/- 3.25 miles NE of El Mirage Dry Lake.; Shadow Mtns",3400-3800ft.,34.6927778,-117.5519444,,,T7N R6W S18,202063,Anisocoma acaulis,Asteraceae,Anisocoma,,acaulis,,Species,Torr. & A. Gray,2000,62
1253316473,2738969,https://www.inaturalist.org/observations/2738969,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2738969,2738969,,tarpinian,,,flowering,,wild,,,,,,,2016-03-02T11:10:42-08:00,2016-03-02,2016,03,02,19:10:42Z,,,,,,2016-03-02 11:10:42 AM PST,,,,US,California,,,,,34.01959316,-116.1825177,,11,,57910,Anisocoma acaulis,Asteraceae,Anisocoma,,,,species,,2010,62
2430137129,1108966,https://cch2.org/portal/collections/individual/index.php?occid=1108966,NO,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,bc7fcf22-1f98-4053-ae32-668b109f58df,,s.n.,Lan Lester,,,fruits,,Native,,,,,RSA accession #: 416638,,1968-03-03,1968-03-03,1968,03,03,,63,,1968,3,3,,,,United States,,California,Kern,,"Last Chance Canyon, 4 mi. N and 15 mi. W of Randsburg, Calif.",,35.40575,-117.9224722,,,,202063,Anisocoma acaulis,Asteraceae,Anisocoma,,acaulis,,Species,Torr. & A. Gray,1960,63
2851213912,56566237,https://www.inaturalist.org/observations/56566237,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/56566237,56566237,,matsonburger,,,,,wild,,,,,,,2014-03-06T09:02:00-08:00,2014-03-06,2014,03,06,17:02:00Z,,,,,,2014/03/06 9:02 AM PST,,,,US,California,,,,,37.15716807,-118.3358859,,15,,57910,Anisocoma acaulis,Asteraceae,Anisocoma,,,,species,,2010,65
1305117345,2753234,https://www.inaturalist.org/observations/2753234,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2753234,2753234,,Catherine Price,,,flowering,,wild,,,,,,,2016-03-05,2016-03-05,2016,03,05,,,,,,,2016-03-05,,,,US,California,,,,,34.031323,-116.181793,,2908,,57910,Anisocoma acaulis,Asteraceae,Anisocoma,,,,species,,2010,65
1802605875,2753151,https://www.inaturalist.org/observations/2753151,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2753151,2753151,,tarpinian,,,flowering,,wild,,,,,,,2016-03-06T13:21:06-08:00,2016-03-06,2016,03,06,21:21:06Z,,,,,,2016-03-06 1:21:06 PM PST,,,,US,California,,,,,34.05087545,-116.4031241,,10,,57910,Anisocoma acaulis,Asteraceae,Anisocoma,,,,species,,2010,66
1802605872,2753145,https://www.inaturalist.org/observations/2753145,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2753145,2753145,,tarpinian,,,flowering,,wild,,,,,,,2016-03-06T12:20:25-08:00,2016-03-06,2016,03,06,20:20:25Z,,,,,,2016-03-06 12:20:25 PM PST,,,,US,California,,,,,34.06844664,-116.3908122,,8,,57910,Anisocoma acaulis,Asteraceae,Anisocoma,,,,species,,2010,66
