gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
1986600793,19478230,https://www.inaturalist.org/observations/19478230,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19478230,19478230,,jerryfochler,,,,,wild,,,,,,,2019-01-06T14:34:00-08:00,2019-01-06,2019,01,06,22:34:00Z,,,,,,2019/01/06 2:34 PM PST,,,,US,California,,,,,33.6171,-115.9943,,,,49328,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,,,species,,2010,6
2430041793,1012741,https://cch2.org/portal/collections/individual/index.php?occid=1012741,NO,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,8e778f82-b31b-4170-8b36-2284df3a76e1,,923,Sarah J. De Groot; Janelle De Groot,,,sterile,,Native; Native/naturalizing,,,,,RSA accession #: 705297,,2003-01-08,2003-01-08,2003,01,08,,8,,2003,1,8,,,,United States,,California,San Bernardino,,"BLMWhipple Mountains: Whipple Wash, upstream from powerline road",900ft.,34.3327222,-114.2935278,,,,202369,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,platyphylla,,Species,(A. Gray) A. Gray,2000,8
2430177610,1150120,https://cch2.org/portal/collections/individual/index.php?occid=1150120,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,d02ccaaa-dd76-4bee-b96b-db273a9c5e87,,10953,J. André; Tasha La Doux,,,flowers,,Native; Native/naturalizing,,,,,RSA accession #: 770981,,2008-01-19,2008-01-19,2008,01,19,,19,,2008,1,19,,"North side of low hills along dirt road. Associates: Acacia greggii, Psorothamnus spinosus, Camissonia brevipes, Encelia farinosa",,United States,,California,San Bernardino,,"Bristol Mts.: Lava Hills, approx. 2 miles north of Bagdad, approx. 2 miles north of National Trails Hwy., west of town of Amboy on southwest end of Bristol Mts.; Bagdad SW 7.5'",1345ft.,34.6241944,-115.8291389,,,,202369,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,platyphylla,,Species,(A. Gray) A. Gray,2000,19
2422405829,1567577,https://cch2.org/portal/collections/individual/index.php?occid=1567577,NO,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-148298,,s.n.,John F. Green; Chet McGaugh,,,Buds only,,,,,,,UCR-148298,,2005-01-19,2005-01-19,2005,01,19,,19,,2005,1,19,2005-1-19,"Larrea dominated scrub, but with much Cercidium floridum.",,United States,,California,Riverside,,"Salton Basin, 1.1 mile transect along Coachella Canal right-of-way, between siphons 24 and 25, NE of Hunters Spring, near S base of Orocopia Mtns.",,33.50972,-115.77278,,,,202369,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,platyphylla,,Species,(A. Gray) A. Gray,2000,19
2424884173,439246,https://cch2.org/portal/collections/individual/index.php?occid=439246,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,{AB8BE741-F55C-417A-8C24-360C4CDCA296},,s.n.,Gary Diridoni,,,FL,,,,,,,SD243808,,1998-01-21,1998-01-21,1998,01,21,,21,,1998,1,21,"Jan 21, 1998",,,United States,,California,Imperial,,Indian Pass & Gavilan Wash,unknownft.,33.02543,-114.76996,WGS84,805,,202369,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,platyphylla,,Species,(A. Gray) A. Gray,1990,21
2422423670,1586574,https://cch2.org/portal/collections/individual/index.php?occid=1586574,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-166847,,s.n.,Chet McGaugh,,,Flowering,,,,,,,UCR-166847,,2005-01-27,2005-01-27,2005,01,27,,27,,2005,1,27,2005-1-27,"Rocky area with Larrea tridentata and Cercidium floridum, etc.",,United States,,California,Riverside,,"east of Salton Sea, along Coachella Canal between siphons 26-27 northeast of Dos Palmas Spring",,33.51478,-115.82036,,,,202369,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,platyphylla,,Species,(A. Gray) A. Gray,2000,27
2422404672,1568698,https://cch2.org/portal/collections/individual/index.php?occid=1568698,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-148861,,s.n.,Stephen J. Myers,,,Flowering,,,,,,,UCR-148861,,2005-01-31,2005-01-31,2005,01,31,,31,,2005,1,31,2005-1-31,Rocky alluvial fan with sparse creosote bush scrub.,,United States,,California,Riverside,,"Salton Basin, c. 10 miles ESE of North Shore along Coachella Canal right-of-way, north of Rancho Dos Palmas",,33.52056,-115.83889,,,,202369,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,platyphylla,,Species,(A. Gray) A. Gray,2000,31
2238859122,23434209,https://www.inaturalist.org/observations/23434209,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/23434209,23434209,,Colin Barrows,,,,,wild,,,,,,,2019-01-31T09:26:00-08:00,2019-01-31,2019,01,31,17:26:00Z,,,,,,2019/01/31 9:26 AM PST,,,,US,California,,,,,33.68112833,-115.800955,,,,49328,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,,,species,,2010,31
1993727435,20025760,https://www.inaturalist.org/observations/20025760,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20025760,20025760,,larry-heronema,,,,,wild,,,,,,,2019-02-01T13:51:24-08:00,2019-02-01,2019,02,01,21:51:24Z,,,,,,Fri Feb 01 2019 13:51:24 GMT-0800 (PST),,,,US,California,,,,,33.640605,-115.86022,,0,,49328,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,,,species,,2010,32
1993727369,20025779,https://www.inaturalist.org/observations/20025779,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20025779,20025779,,larry-heronema,,,,,wild,,,,,,,2019-02-01T13:52:14-08:00,2019-02-01,2019,02,01,21:52:14Z,,,,,,Fri Feb 01 2019 13:52:14 GMT-0800 (PST),,,,US,California,,,,,33.64057,-115.8602167,,0,,49328,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,,,species,,2010,32
1426081193,urn:catalog:CAS:BOT-BC:98820,,NO,http://grscicoll.org/institution/california-academy-sciences,http://grscicoll.org/institutional-collection/botany,,CASC,PreservedSpecimen,,urn:catalog:CAS:BOT-BC:98820,98820,s.n.,"Bacigalupi, R.",,,,,,,,,,urn:catalog:CAS:DS:180282 | DS 180282,,1928-02-01,1928-02-01,1928,02,01,,32,,1928,2,1,"Feb 1, 1928",,,United States,,California,Riverside County,,Colorado Desert - Painted Canyon,,33.6249,-115.9935,WGS84,2300,,,Atrichoseris platyphylla  (A. Gray) A. Gray,Asteraceae,Atrichoseris,,platyphylla,,,(A. Gray) A. Gray,1920,32
2603346723,22471002,https://www.inaturalist.org/observations/22471002,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/22471002,22471002,,Colin Barrows,,,,,wild,,,,,,,2019-02-03T16:34:00-08:00,2019-02-03,2019,02,03,00:34:00Z,,,,,,2019/02/03 4:34 PM PST,,,,US,California,,,,,33.63589667,-115.875145,,,,49328,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,,,species,,2010,34
2603328724,22471007,https://www.inaturalist.org/observations/22471007,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/22471007,22471007,,Colin Barrows,,,,,wild,,,,,,,2019-02-03T16:36:00-08:00,2019-02-03,2019,02,03,00:36:00Z,,,,,,2019/02/03 4:36 PM PST,,,,US,California,,,,,33.63593667,-115.8751583,,,,49328,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,,,species,,2010,34
2603278714,22471006,https://www.inaturalist.org/observations/22471006,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/22471006,22471006,,Colin Barrows,,,,,wild,,,,,,,2019-02-03T16:42:00-08:00,2019-02-03,2019,02,03,00:42:00Z,,,,,,2019/02/03 4:42 PM PST,,,,US,California,,,,,33.635805,-115.8749533,,,,49328,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,,,species,,2010,34
1993751112,20097215,https://www.inaturalist.org/observations/20097215,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20097215,20097215,,Bob Miller,,,,,wild,,,,,,,2019-02-03T08:35:08-08:00,2019-02-03,2019,02,03,16:35:08Z,,,,,,2019-02-03 8:35:08 AM PST,,,,US,California,,,,,33.11376953,-114.9153137,,,,49328,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,,,species,,2010,34
1993757926,20142586,https://www.inaturalist.org/observations/20142586,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20142586,20142586,,vcancino,,,,,wild,,,,,,,2019-02-05T11:54:46-08:00,2019-02-05,2019,02,05,19:54:46Z,,,,,,2019-02-05 11:54:46 AM PST,,,,US,California,,,,,33.70449448,-115.8005829,,,,49328,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,,,species,,2010,36
2005304168,20253627,https://www.inaturalist.org/observations/20253627,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20253627,20253627,,David Vander Pluym,,,,,wild,,,,,,,2019-02-09T12:42:39-07:00,2019-02-09,2019,02,09,19:42:39Z,,,,,,2019-02-09 12:42:39 PM MST,,,,US,Arizona,,,,,34.40613556,-114.1888962,,,,49328,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,,,species,,2010,40
2005303809,20252847,https://www.inaturalist.org/observations/20252847,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20252847,20252847,,Lauren Harter,,,,,wild,,,,,,,2019-02-09T10:24:01-07:00,2019-02-09,2019,02,09,17:24:01Z,,,,,,Sat Feb 09 2019 10:24:01 GMT-0700 (MST),,,,US,Arizona,,,,,34.31420833,-114.1073445,,5,,49328,Atrichoseris platyphylla,Asteraceae,Atrichoseris,,,,species,,2010,40
