gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2430561323,998373,https://cch2.org/portal/collections/individual/index.php?occid=998373,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,87a134b4-8ecf-4e57-bea2-3582935cb764,,1529,Orlando Mistretta,,,flowers & fruits,,Native,,,,,RSA accession #: 586291,,1995-02-28,1995-02-28,1995,02,28,,59,,1995,2,28,,"flat, full sun, coarse gravel, sagebrush scrub. Ephedra nevadensis, Salvia dorrii, Larrea tridentata, Xylorhiza tortifolia, Eriogonum fasciculatum var. foliolosum.",,United States,,California,Los Angeles,,"San gabriel Mountains, Carr Canyon.; Pacifico Mtn.",3400ft.,34.492021,-118.001243,,969,T5N R11W S26,10294,Arabis pulchra,Brassicaceae,Arabis,,pulchra,,Species,M.E. Jones ex S. Watson,1990,59
3125040185,465549,https://cch2.org/portal/collections/individual/index.php?occid=465549,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,29D334C3-E1AA-4D69-800F-7D165E5C1B78,SD00020699,310,Mike Merkel,,,FFL,,,,,,,SD52534,,1962-03-01,1962-03-01,1962,03,01,,60,,1962,3,1,"Mar 01, 1962",,,United States,,California,San Diego,,"Indian Canyon, Anza-Borrego Park",unknownft.,33.351,-116.475,WGS84,402,,11680,Boechera pulchra,Brassicaceae,Boechera,,pulchra,,Species,(M.E. Jones ex S. Watson) W.A. Weber,1960,60
2430154441,1127071,https://cch2.org/portal/collections/individual/index.php?occid=1127071,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,c539bfdb-8a6f-4720-a3e7-5a11c8469853,RSA0078124,1175,"Erika M. Gardner; Rachel Poutasse, Noravit Chumchim",,,flowers & fruits,,Native,,,,,RSA accession #: 839032,,2015-03-01,2015-03-01,2015,03,01,,60,,2015,3,1,,,,United States,,California,Kern,,"Mouth of Cow Haven Canyon. Western ridge, near an old mine.; Freeman Junction 7.5'",3844ft.,35.58461,-117.99201,,,,11680,Boechera pulchra,Brassicaceae,Boechera,,pulchra,,Species,(M.E. Jones ex S. Watson) W.A. Weber,2010,60
2430481295,762557,https://cch2.org/portal/collections/individual/index.php?occid=762557,NO,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,3b36999d-1a63-4ee2-ac7b-9f1761b0a45b,,s.n.,Marcus E. Jones,,,fruits,,Native,,,,,RSA accession #: 160682,,1929-03-09,1929-03-09,1929,03,09,,68,,1929,3,9,,,,United States,,California,Riverside,,"Whitewater, Colorado Desert",,33.97626,-116.65221,NAD83,,,10294,Arabis pulchra,Brassicaceae,Arabis,,pulchra,,Species,M.E. Jones ex S. Watson,1920,68
2234753229,21509691,https://www.inaturalist.org/observations/21509691,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/21509691,21509691,,Bridget McCall,,,flowering,,wild,,,,,,,2019-03-09,2019-03-09,2019,03,09,,,,,,,2019-03-09 1:46:44 PM CST,,,,US,California,,,,,34.00959057,-116.0561394,EPSG:4326,17,,75812,Boechera pulchra,Brassicaceae,Boechera,,,,species,,2010,68
2430073591,1043335,https://cch2.org/portal/collections/individual/index.php?occid=1043335,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,9d21c737-202b-4b77-8a36-3c1d43144ec1,RSA0078127,1267,Erika M. Gardner; Sierra Sutton,,,flowers & fruits,,Native,,,,"Yucca brevifolia, Linanthus parryae, Amsinckia tessellata, Camissonia campestris, Phacelia distans, Grayia spinosa, Eriophyllum pringlei",RSA accession #: 839029,,2015-03-11,2015-03-11,2015,03,11,,70,,2015,3,11,,"Bajadas, soft decomposed granitic soil.",,United States,,California,Kern,,"Cow Haven Canyon. Near mouth of Canyon, along eastern ridges.; Freeman Junction 7.5'",4648ft.,35.59392,-117.98353,,,,11680,Boechera pulchra,Brassicaceae,Boechera,,pulchra,,Species,(M.E. Jones ex S. Watson) W.A. Weber,2010,70
2430527378,927037,https://cch2.org/portal/collections/individual/index.php?occid=927037,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,65d0f13b-5a8b-4afd-8fd0-fbd12087ce89,RSA0082473,538,Erika M. Gardner; Thomas Stoughton,,,,,,,,,,RSA accession #: 840737,,2014-03-12,2014-03-12,2014,03,12,,71,,2014,3,12,,"Near a desert wash, soft sandy soil, Joshua tree woodland.",,United States,,California,Kern,,"About 400 feet west from Highway 178, near a large turnout.; Freeman Junction 7.5'",4470ft.,35.64209,-117.98748,,,,11680,Boechera pulchra,Brassicaceae,Boechera,,pulchra,,Species,(M.E. Jones ex S. Watson) W.A. Weber,2010,71
2422505887,1682464,https://cch2.org/portal/collections/individual/index.php?occid=1682464,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-266106,UCR0009665,538,Erika M. Gardner,,,Flowering,,,,,,,UCR-266106,,2014-03-12,2014-03-12,2014,03,12,,71,,2014,3,12,2014-3-12,"Near a desert wash, soft sandy soil, Joshua tree woodland.",,United States,,California,Kern,,"Scodie Mountains; Kiavah Wilderness, Bureau of Land Management. C. 400 ft west from Hwy 178, near a large turnout",,35.64208,-117.98747,,,,11680,Boechera pulchra,Brassicaceae,Boechera,,pulchra,,Species,(M.E. Jones ex S. Watson) W.A. Weber,2010,71
1880661923,222240,https://www.inaturalist.org/observations/222240,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/222240,222240,,Don Loarie,,,flowering|flower budding,,wild,,,,,,,2013-03-13,2013-03-13,2013,03,13,,,,,,,2013-03-13,,,,US,California,,,,,33.734909,-115.774894,EPSG:4326,400,,75812,Boechera pulchra,Brassicaceae,Boechera,,,,species,,2010,72
1269539316,2788683,https://www.inaturalist.org/observations/2788683,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2788683,2788683,,Neil Frakes,,,flowering,,wild,,,,,,,2016-03-13,2016-03-13,2016,03,13,,,,,,,2016-03-13,,,,US,California,,,,,34.0232,-116.07214,EPSG:4326,,,75812,Boechera pulchra,Brassicaceae,Boechera,,,,species,,2010,73
