gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2576245759,20469741,https://www.inaturalist.org/observations/20469741,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20469741,20469741,,Corey Lange,,,,,wild,,,,,,,2019-02-17T11:33:37-08:00,2019-02-17,2019,02,17,19:33:37Z,,,,,,Sun Feb 17 2019 11:33:37 GMT-0800 (PST),,,,US,California,,,,,35.03839167,-115.3958283,EPSG:4326,5,,64430,Calochortus flexuosus,Liliaceae,Calochortus,,,,species,,2010,48
2270641037,722954,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=722954,NO,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,4c6de6a1-8843-44c0-96fc-484676378089,,73-124-VP,Gail C. Kobetich; Maxine Russell,,,sterile,,,,,,,63154,,1973-03-04,1973-03-04,1973,03,04,,63,,1973,3,4,,,,USA,,Arizona,La Paz,,"Slopes of Bukskin Mountains east of Hill Crest Bay development. Parked truck at Hill Crest Bay, walked up slopes to flat top of Buckskin Mountains Lily-type plant taken at top. Plant seen nowhere else in area",,34.281021,-114.098693,,1000,,3502,Calochortus flexuosus,Liliaceae,Calochortus,,flexuosus,,Species,S. Watson,1970,63
2430362478,778960,https://cch2.org/portal/collections/individual/index.php?occid=778960,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,4301df8a-52ba-495e-ae79-bc75fe916c74,,3615,Sarah J. De Groot; Krina De Groot,,,flowers,,,,,,,RSA accession #: 709913,,2005-03-12,2005-03-12,2005,03,12,,71,,2005,3,12,,Rocky slopes and outcrops.,,United States,,California,Los Angeles,,"BLMCultivated at Rancho Santa Ana Botanic Garden. Original material from the Whipple Mountains, San Bernardino county, CA. Ridge near summit.",3622ft.,34.3133333,-114.4019444,,,,202589,Calochortus flexuosus,Liliaceae,Calochortus,,flexuosus,,Species,S.Watson,2000,71
1986590309,19449016,https://www.inaturalist.org/observations/19449016,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19449016,19449016,,Bob McCoy,,,,,wild,,,,,,,2015-03-13T16:34:00-06:00,2015-03-13,2015,03,13,22:34:00Z,,,,,,2015/03/13 4:34 PM MDT,,,,US,California,,,,,36.15051018,-116.1779133,EPSG:4326,,,64430,Calochortus flexuosus,Liliaceae,Calochortus,,,,species,,2010,72
2430201365,1174554,https://cch2.org/portal/collections/individual/index.php?occid=1174554,NO,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,dbe07818-0327-4825-9388-80d50153020f,,3615,"Sarah J. De Groot; Krina De Groot, Leland Lubinsky, Linda Lee Worlow",,,sterile,,,,,,,RSA accession #: 707763,,2004-03-15,2004-03-15,2004,03,15,,75,,2004,3,15,,Slopes of loose rock and rock outcrops. Very windy.,,United States,,California,San Bernardino,,"WHIPPLE MOUNTAINS: BLM Wilderness area, ridge near highest peak, above wash north of road from aqueduct into south side of range.",3622ft.,34.3133333,-114.4019444,,,,202589,Calochortus flexuosus,Liliaceae,Calochortus,,flexuosus,,Species,S.Watson,2000,75
1880666902,5385271,https://www.inaturalist.org/observations/5385271,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/5385271,5385271,,Linda,,,,,wild,,,,,,,2017-03-17T09:55:00-06:00,2017-03-17,2017,03,17,15:55:00Z,,,,,,2017/03/17 9:55 AM MST,,,,US,Arizona,,,,,33.67296,-111.19501,EPSG:4326,,,64430,Calochortus flexuosus,Liliaceae,Calochortus,,,,species,,2010,76
2618324374,23993159,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=23993159,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,0ff2ec9c-7abf-428d-b681-c20dcad54798,ASU0307374,33023,J. M. André,,,Flowering,,,,,,"Prosopis velutina, Quercus turbinella, Keckiella antirrhinoides, Lycium exsertum, Ephedra asper, Cylindropuntia leptocaulis, Amsinckia intermedia, Calochortus flexuosus",,,2015-03-18,2015-03-18,2015,03,18,,,,,,,18 Mar 2015,"granite, alluvium, gravel",,United States,,Arizona,Mohave,,"Poachie Range: east side of range on ridge just west of Hwy 93, 14.1 mi. SSE of Wikieup, 1.5 mi. north of Burro Creek Campground, approx. 2 mi. south of Kaiser Spring Cyn.",2570 ft,34.562483,-113.458067,NAD83,,34° 33.749m 113° 27.484m,3502,Calochortus flexuosus,Liliaceae,Calochortus,,flexuosus,,Species,S. Watson,2010,77
2430092930,1063361,https://cch2.org/portal/collections/individual/index.php?occid=1063361,NO,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,a6b248e7-c81b-4a99-9261-c05787923340,,3814,"Sarah J. De Groot; Krina De Groot, Leland Lubinsky, Linda Lee Worlow",,,sterile,,,,,,,RSA accession #: 707764,,2004-03-18,2004-03-18,2004,03,18,,78,,2004,3,18,,,,United States,,California,San Bernardino,,"BLMWHIPPLE MOUNTAINS: Trail to Cupcake Butte, NW of Whipple Wash. Base of butte, base of rocky chute.",2429ft.,34.3483333,-114.3236111,,,,202589,Calochortus flexuosus,Liliaceae,Calochortus,,flexuosus,,Species,S.Watson,2000,78
2430086579,1057106,https://cch2.org/portal/collections/individual/index.php?occid=1057106,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,a3a5d304-09d1-4b78-bcd9-a0264691b5bd,,4775,Sarah J. De Groot; Krina De Groot,,,flowers,,,,,,,RSA accession #: 709936,,2005-03-19,2005-03-19,2005,03,19,,78,,2005,3,19,,28Âº slope N28ÂºW.,,United States,,California,San Bernardino,,"BLMWHIPPLE MOUNTAINS: Along trail to Cupcake Butte, N of Whipple Wash, between powerline and first butte.",1392ft.,34.3658333,-114.3144444,,,,202589,Calochortus flexuosus,Liliaceae,Calochortus,,flexuosus,,Species,S.Watson,2000,78
2430264697,721346,https://cch2.org/portal/collections/individual/index.php?occid=721346,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,27b5afe7-073a-4cf4-8c13-92f060f775d2,RSA0018149,24370,"Jim André; G. L. Clifton, Ron Kelley",,,flowers,,,,,,,RSA accession #: 805503,,2013-03-21,2013-03-21,2013,03,21,,80,,2013,3,21,,In calcereous clay (crusty) overlain by stoney volcanic pavement.,,United States,,California,San Bernardino,,"Turtle Mountains; east side of range, growing on north-facing slopes (hills) just south of Mopah Spring trailhead parking area, approx. 5 mi. west of Highway 95.; Savahia Peak SW 7.5",1635ft.,34.3273833,-114.7210667,,,,202589,Calochortus flexuosus,Liliaceae,Calochortus,,flexuosus,,Species,S.Watson,2010,80
