gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
3070469571,20493788,https://www.inaturalist.org/observations/20493788,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20493788,20493788,,Joey Santore,,,no evidence of flowering,,wild,,,,,,,2019-02-18T10:41:27-08:00,2019-02-18,2019,02,18,18:41:27Z,,,,,,2019-02-18 10:41:27 AM PST,,,,US,California,,,,,33.99223328,-116.1495056,,,,61494,Calochortus kennedyi,Liliaceae,Calochortus,,,,species,,2010,49
3017974307,5212049,https://www.inaturalist.org/observations/5212049,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/5212049,5212049,,Dave Larson,,,no evidence of flowering,,wild,,,,,,,2017-03-02T11:57:22-08:00,2017-03-02,2017,03,02,19:57:22Z,,,,,,2017-03-02 11:57:22 AM PST,,,,US,California,,,,,34.02337176,-116.0700098,,2064,,61494,Calochortus kennedyi,Liliaceae,Calochortus,,,,species,,2010,61
2013021027,21028342,https://www.inaturalist.org/observations/21028342,NO,,,,iNaturalist,HumanObservation,Coordinate uncertainty increased to 28874m at the request of the observer,https://www.inaturalist.org/observations/21028342,21028342,,Dētto,,,no evidence of flowering,,wild,,,,,,,2019-03-07T10:35:38-08:00,2019-03-07,2019,03,07,18:35:38Z,,,,,,2019-03-07 10:35:38 AM PST,,,,US,California,,,,,34.13245995,-116.3990057,,28874,,61494,Calochortus kennedyi,Liliaceae,Calochortus,,,,species,,2010,66
3017976333,21685646,https://www.inaturalist.org/observations/21685646,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/21685646,21685646,,Jacob Martin,,,no evidence of flowering,,wild,,,,,,,2019-03-09T12:05:00-08:00,2019-03-09,2019,03,09,20:05:00Z,,,,,,2019/03/09 12:05 PM PST,,,,US,California,,,,,34.06579722,-116.1708972,,,,61494,Calochortus kennedyi,Liliaceae,Calochortus,,,,species,,2010,68
3044601153,69556431,https://www.inaturalist.org/observations/69556431,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/69556431,69556431,,Roger Rittmaster,,,flowering|flower budding,,wild,,,,,,,2012-03-09T14:24:00-05:00,2012-03-09,2012,03,09,19:24:00Z,,,,,,2012/03/09 2:24 PM EST,,,,US,Arizona,,,,,32.436433,-110.909647,,1660,,64433,Calochortus kennedyi kennedyi,Liliaceae,Calochortus,,,,variety,,2010,69
1500233499,5707688,https://www.inaturalist.org/observations/5707688,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/5707688,5707688,,Chris Rohrer,,,,,wild,,,,,,,2016-03-13T18:39:02-06:00,2016-03-13,2016,03,13,00:39:02Z,,,,,,Sun Mar 13 2016 18:39:02 GMT-0700 (MST),,,,US,Arizona,,,,,32.62319115,-110.7271346,,37,,61494,Calochortus kennedyi,Liliaceae,Calochortus,,,,species,,2010,73
2444965926,34675294,https://www.inaturalist.org/observations/34675294,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/34675294,34675294,,Matt Berger,,,,,wild,,,,,,,2015-03-17T10:34:00-07:00,2015-03-17,2015,03,17,17:34:00Z,,,,,,2015/03/17 10:34 AM PDT,,,,US,Arizona,,,,,32.65409167,-110.7304,,,,61494,Calochortus kennedyi,Liliaceae,Calochortus,,,,species,,2010,76
1453526195,5400515,https://www.inaturalist.org/observations/5400515,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/5400515,5400515,,axhela,,,,,wild,,,,,,,2017-03-19T10:18:43-06:00,2017-03-19,2017,03,19,16:18:43Z,,,,,,2017-03-19 10:18:43 AM MST,,,,US,Arizona,,,,,32.28879072,-111.1213509,,172,,61494,Calochortus kennedyi,Liliaceae,Calochortus,,,,species,,2010,78
3018075336,22123410,https://www.inaturalist.org/observations/22123410,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/22123410,22123410,,sea-kangaroo,,,no evidence of flowering,,wild,,,,,,,2019-03-20T15:25:00-07:00,2019-03-20,2019,03,20,22:25:00Z,,,,,,2019/03/20 3:25 PM PDT,,,,US,California,,,,,33.95103,-116.15853,,10,,61494,Calochortus kennedyi,Liliaceae,Calochortus,,,,species,,2010,79
2236835103,22127703,https://www.inaturalist.org/observations/22127703,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/22127703,22127703,,sea-kangaroo,,,no evidence of flowering,,wild,,,,,,,2019-03-20T16:25:00-07:00,2019-03-20,2019,03,20,23:25:00Z,,,,,,2019/03/20 4:25 PM PDT,,,,US,California,,,,,34.0157,-116.1717596,,10,,61494,Calochortus kennedyi,Liliaceae,Calochortus,,,,species,,2010,79
