gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2430298232,747946,https://cch2.org/portal/collections/individual/index.php?occid=747946,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,344aaaa2-5306-49c7-8b89-0d03942442ab,,184,Naomi S. Fraga; Genie Fraga,,,flowers,,Native/naturalizing,,,,,RSA accession #: 730028,,2003-02-16,2003-02-16,2003,02,16,,47,,2003,2,16,,Creosote bush scrub. Many annuals blooming at this time. Sandy soil moist.,,United States,,California,Kern,,BLMThe Owens Peak Eastern Watershed: Owens Peak Wilderness Area. Bajada of Short Canyon near the side of a dirt road.; Owens Peak 7.5' Quad,2600ft.,35.7126,-117.9222,NAD27,,,41812,Camissonia campestris subsp. campestris,Onagraceae,Camissonia,,campestris,campestris,Subspecies,(Greene) Raven,2000,47
2430327721,751932,https://cch2.org/portal/collections/individual/index.php?occid=751932,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,362beb9d-389d-4358-918d-cef98ba96902,,1519,Ora M. Clark,,,flowers,,Native,,,,,RSA accession #: 454757,,1929-02-22,1929-02-22,1929,02,22,,53,,1929,2,22,,,,United States,,California,Riverside,,south Cabazon,,33.9166667,-116.7666667,,,,41812,Camissonia campestris subsp. campestris,Onagraceae,Camissonia,,campestris,campestris,Subspecies,(Greene) Raven,1920,53
2430082644,1052666,https://cch2.org/portal/collections/individual/index.php?occid=1052666,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,a185e689-d6d5-4c0d-8807-e1f8f6fa6a04,,S-311,L. R. Short,,,flowers,,Native; Native/naturalizing,,,,,RSA accession #: 122203,,1935-02-28,1935-02-28,1935,02,28,,59,,1935,2,28,,"Slope 20 degrees NE. Soil sandy loam. Grassland vegetation, density 3.0. With Erodium cicutarium.",,United States,,California,Fresno,,Mouth of Zapoto Creek.; Coalinga,700ft.,36.05775,-120.227211,,969,T21S R16E S34,41812,Camissonia campestris subsp. campestris,Onagraceae,Camissonia,,campestris,campestris,Subspecies,(Greene) Raven,1930,59
1253317444,2742324,https://www.inaturalist.org/observations/2742324,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2742324,2742324,,Daniel George,,,,,wild,,,,,,,2016-02-28T15:07:56-08:00,2016-02-28,2016,02,28,23:07:56Z,,,,,,Sun Feb 28 2016 15:07:56 GMT-0800 (PST),,,,US,California,,,,,36.54038833,-120.5596,,,,56780,Camissonia campestris,Onagraceae,Camissonia,,,,species,,2010,59
2430358472,669809,https://cch2.org/portal/collections/individual/index.php?occid=669809,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,0f48a012-5d82-4d13-8520-60fbcf9e144f,RSA0086944,1182,"Erika M. Gardner; Rachel Poutasse, Noravit Chumchim",,,flowers,,Native; Native/naturalizing,,,,,RSA accession #: 842764,,2015-03-01,2015-03-01,2015,03,01,,60,,2015,3,1,,,,United States,,California,Kern,,"Mouth of Cow Haven Canyon. On top of ridge, above old mine.; Freeman Junction 7.5'",3825ft.,35.5846,-117.99202,,,,41812,Camissonia campestris subsp. campestris,Onagraceae,Camissonia,,campestris,campestris,Subspecies,(Greene) Raven,2010,60
2430254044,1187159,https://cch2.org/portal/collections/individual/index.php?occid=1187159,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,e1efd7c0-3e29-4e6f-9e89-8d4465a85e2a,,3011,Lyman Benson,,,flowers & fruits,,Native,,,,,RSA accession #: 271988,,1932-02-29,1932-02-29,1932,02,29,,60,,1932,2,29,,S slope,,United States,,California,Kern,,East Bakersfield. Hills at China Grade,600ft.,35.427,-118.98425,,,,41812,Camissonia campestris subsp. campestris,Onagraceae,Camissonia,,campestris,campestris,Subspecies,(Greene) Raven,1930,60
2422421957,1585981,https://cch2.org/portal/collections/individual/index.php?occid=1585981,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-165994,UCR0073129,s.n.,Ken Osborne,,,Flowering,,,,,,,UCR-165994,,2005-03-01,2005-03-01,2005,03,01,,60,,2005,3,1,2005-3-1,,,United States,,California,San Luis Obispo,,Carrizo Plain. c. 5 mi NE of Caliente Range and 2 mi west of AF Traver Ranch and BM 2121,,35.07328,-119.66097,,,T11N R26W sec04 NW/4,12133,Camissonia campestris,Onagraceae,Camissonia,,campestris,,Species,(Greene) P.H. Raven,2000,60
3053426864,63880,https://cch2.org/portal/collections/individual/index.php?occid=63880,YES,,3818e0aa-b6a4-11e8-b408-001a64db2964,,SBBG,PreservedSpecimen,,3ed16d69-edcc-453c-bd49-6c1927798d7d,SBBG198870,214,Donald Myrick,,,Flowers Present,,,,,,,16899,,1961-03-04,1961-03-04,1961,03,04,,63,,1961,3,4,1961-3-4,,,United States,,California,Kern,,"Skyline Drive over Elk Hills, ca. 10 mi E of McKittrick",1500 ft,35.289,-119.514,NAD83,,,41812,Camissonia campestris subsp. campestris,Onagraceae,Camissonia,,campestris,campestris,Subspecies,,1960,63
2430300484,748582,https://cch2.org/portal/collections/individual/index.php?occid=748582,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,3494d151-c59d-4798-9131-b52f81590aa2,,7711,A. C. Sanders,,,flowers & fruits,,Native,,,,,RSA accession #: 496665,,1988-03-05,1988-03-05,1988,03,05,,65,,1988,3,5,,,,United States,,California,Kern,,"Mojave Desert. Highway 14 at Neuralia Road, 1 mile NW of Cantil. [MK-ON, 1E; Cantil].",2200ft.,35.3166667,-117.9833333,,,,41812,Camissonia campestris subsp. campestris,Onagraceae,Camissonia,,campestris,campestris,Subspecies,(Greene) Raven,1980,65
2422310562,1469305,https://cch2.org/portal/collections/individual/index.php?occid=1469305,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-102527,UCR0073047,1341,George K. Helmkamp,,,Flowering,,,,,,,UCR-102527,,1997-03-06,1997-03-06,1997,03,06,,65,,1997,3,6,1997-3-6,Flat area used for sheep grazing.,,United States,,California,Los Angeles,,west of Lancaster at 125th St. W and CA Hwy 138; Western Mojave Desert,,34.77556,-118.35222,,,11S 7E 5N,12133,Camissonia campestris,Onagraceae,Camissonia,,campestris,,Species,(Greene) P.H. Raven,1990,65
2422301861,1463438,https://cch2.org/portal/collections/individual/index.php?occid=1463438,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-50462,UCR0072997,7711,A.C. Sanders; E.J. Lawlor,,,Flowering,,,,,,,UCR-50462,,1988-03-05,1988-03-05,1988,03,05,,65,,1988,3,5,1988-3-5,"creosote bush scrub on a sandy, gravelly alluvial fan",,United States,,California,Kern,,"hwy 14 at Neuralia Road, 1 mi NW of Cantil",,35.31667,-117.98333,,,1E 0N,12133,Camissonia campestris,Onagraceae,Camissonia,,campestris,,Species,(Greene) P.H. Raven,1980,65
2270247799,1894824,https://www.cch2.org/portal/collections/individual/index.php?occid=1894824,YES,,f7e112f9-92c5-455c-a6c4-709b0f8d7f73,,UCSB,PreservedSpecimen,,961db8b5-28a6-4a86-82e8-3f0565175423,UCSB006367,1947,D. E. Breedlove,,,,,,,,,,014811,,1962-03-08,1962-03-08,1962,03,08,,67,,1962,3,8,"March 8, 1962",,,United States,,California,Kern,,"On sandstone roadcut on U.S. 399, 0.7 mile south of Taft.",800 feet,35.085315,-119.40204,WGS84,,,41812,Camissonia campestris subsp. campestris,Onagraceae,Camissonia,,campestris,campestris,Subspecies,,1960,67
2422511459,1689304,https://cch2.org/portal/collections/individual/index.php?occid=1689304,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-268879,UCR0073060,27160,Jim André,,,Flowering,,,,,,,UCR-268879,,2014-03-09,2014-03-09,2014,03,09,,68,,2014,3,9,2014-3-9,"Low, sandy flats and hummocks, with Hilaria rigida, Larrea tridentata, Ambrosia dumosa, Abronia villosa, Chaenactis stevioides, Amsinckia tesellata.",,United States,,California,San Bernardino,,"along pipeline road, just south of Coyote Lake, just west-northwest of Copper Mountain College, c. 5 mi east of Joshua Tree, 0.6 mi north of Hwy 62",,34.14633,-116.22328,,,,12133,Camissonia campestris,Onagraceae,Camissonia,,campestris,,Species,(Greene) P.H. Raven,2010,68
1993706116,15030991,https://www.inaturalist.org/observations/15030991,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/15030991,15030991,,Gordon C. Snelling,,,,,wild,,,,,,,2014-03-09,2014-03-09,2014,03,09,,,,,,,2014-03-09,,,,US,California,,,,,34.805431,-116.841488,,432,,56780,Camissonia campestris,Onagraceae,Camissonia,,,,species,,2010,68
2557644260,30723840,https://www.inaturalist.org/observations/30723840,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/30723840,30723840,,Donald Davis,,,,,wild,,,,,,,2014-03-10T10:40:22-07:00,2014-03-10,2014,03,10,17:40:22Z,,,,,,2014-03-10 10:40:22,,,,US,California,,,,,34.423872,-117.715087,,,,56780,Camissonia campestris,Onagraceae,Camissonia,,,,species,,2010,69
2557644240,30723832,https://www.inaturalist.org/observations/30723832,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/30723832,30723832,,Donald Davis,,,,,wild,,,,,,,2014-03-10T10:35:42-07:00,2014-03-10,2014,03,10,17:35:42Z,,,,,,2014-03-10 10:35:42,,,,US,California,,,,,34.423872,-117.715087,,,,56780,Camissonia campestris,Onagraceae,Camissonia,,,,species,,2010,69
