gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
1990482853,19596913,https://www.inaturalist.org/observations/19596913,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19596913,19596913,,Kate Harper,,,,,wild,,,,,,,2019-01-11T12:36:22-08:00,2019-01-11,2019,01,11,20:36:22Z,,,,,,Fri Jan 11 2019 12:36:22 GMT-0800 (PST),,,,US,California,,,,,32.91105011,-116.2496961,EPSG:4326,5,,76160,Caulanthus cooperi,Brassicaceae,Caulanthus,,,,species,,2010,11
1990482245,19595421,https://www.inaturalist.org/observations/19595421,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19595421,19595421,,Kate Harper,,,,,wild,,,,,,,2019-01-11T11:33:57-08:00,2019-01-11,2019,01,11,19:33:57Z,,,,,,Fri Jan 11 2019 11:33:57 GMT-0800 (PST),,,,US,California,,,,,32.90762699,-116.2490009,EPSG:4326,5,,76160,Caulanthus cooperi,Brassicaceae,Caulanthus,,,,species,,2010,11
1990479025,19585326,https://www.inaturalist.org/observations/19585326,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19585326,19585326,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-11T12:30:49-08:00,2019-01-11,2019,01,11,20:30:49Z,,,,,,Fri Jan 11 2019 12:30:49 GMT-0800 (PST),,,,US,California,,,,,32.91109743,-116.2497621,EPSG:4326,10,,76160,Caulanthus cooperi,Brassicaceae,Caulanthus,,,,species,,2010,11
1990478798,19585103,https://www.inaturalist.org/observations/19585103,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19585103,19585103,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-11T11:34:41-08:00,2019-01-11,2019,01,11,19:34:41Z,,,,,,Fri Jan 11 2019 11:34:41 GMT-0800 (PST),,,,US,California,,,,,32.90765989,-116.2490572,EPSG:4326,5,,76160,Caulanthus cooperi,Brassicaceae,Caulanthus,,,,species,,2010,11
1920849315,5105873,https://www.inaturalist.org/observations/5105873,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/5105873,5105873,,Don Rideout,,,,,wild,,,,,,,2017-02-03T19:45:00-08:00,2017-02-03,2017,02,03,03:45:00Z,,,,,,2017/02/03 7:45 PM PST,,,,US,California,,,,,33.1242,-116.394267,EPSG:4326,,,76160,Caulanthus cooperi,Brassicaceae,Caulanthus,,,,species,,2010,34
3125047271,466682,https://cch2.org/portal/collections/individual/index.php?occid=466682,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,A841EDF2-C3F9-4A07-A3E1-FBBD2246F470,SD00022533,290,Larry Hendrickson,,,FFL,,,,,,"Larrea tridentata, Cylindropuntia ganderi var. ganderi, Viguiera parishii, Agave deserti ssp. deserti, Fouquieria splendens ssp. splendens.",SD167719,,2005-02-13,2005-02-13,2005,02,13,,44,,2005,2,13,"Feb 13, 2005",Substrate: course sandy loam. Slope: 5 - 10 degrees. Aspect: West.,,United States,,California,San Diego,,Anza-Borrego Desert State Park. Little Blair Valley. Northeast of sink against bouldery slope.,,33.0318,-116.3824,WGS84,,,12697,Caulanthus cooperi,Brassicaceae,Caulanthus,,cooperi,,Species,(S. Watson) Payson,2000,44
2898329347,33454260,https://www.inaturalist.org/observations/33454260,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/33454260,33454260,,Matt Berger,,,flowering,,wild,,,,,,,2019-02-16T08:12:00-10:00,2019-02-16,2019,02,16,18:12:00Z,,,,,,2019/02/16 8:12 AM HST,,,,US,California,,,,,33.96834444,-115.9896556,EPSG:4326,5,,76160,Caulanthus cooperi,Brassicaceae,Caulanthus,,,,species,,2010,47
2610077567,3805863,https://cch2.org/portal/collections/individual/index.php?occid=3805863,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,ff6cde96-99c2-4997-9e59-e36fd4c6baa3,RSA0140958,33925,"Jim M. André; Tasha La Doux, Senna Andre, Elias Andre",,,flowers & fruits,,Native,,,,"Larrea tridentata, Ambrosia dumosa, A. salsola, Mohavea breviflora, Chylismia claviformis, Sibara deserti, Nama pusillum, Linanthus demissus, Oligomeris linifolia",RSA accession #: 868937,,2016-02-17,2016-02-17,2016,02,17,,48,,2016,2,17,,Small wash at margin of well developed desert pavement. Parent rock: volcanic. Geologic formation: alluvium. Soil type: gravel.,,United States,,California,Inyo,,"BLMGreenwater Range: 0.3 mi. south of Hwy 190 at northeast base of range, just south of Funeral Mountains, 6.6 mi. west of Death Valley Junction.; East of Ryan 7.5'",2592ft.,36.3089333,-116.5359667,NAD83,,,12697,Caulanthus cooperi,Brassicaceae,Caulanthus,,cooperi,,Species,(S. Watson) Payson,2010,48
2270483463,11248980,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=11248980,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,1e931df6-18bf-4179-8dea-c8f06d5be16c,ASU0104811,10203,"Elinor Lehto; Nash, McGill, Hensel, Pinkava",,,flowers & fruit,,,,,,"With Hymenoclea, Bebbia, Larrea.",49166,,1973-02-19,1973-02-19,1973,02,19,,50,,1973,2,19,,Sandy banks and gravel flats.,,USA,,Arizona,Mohave County,,"Willow Beach Campground, Lake Mohave.",,35.8703,-114.659,,,,1273,Caulanthus cooperi,Brassicaceae,Caulanthus,,cooperi,,Species,(S. Watson) Payson,1970,50
1931083610,ea9b4055-cead-4efc-b056-215eb665d797,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3446444,YES,http://biocol.org/urn:lsid:biocol.org:col:15556,http://biocol.org/urn:lsid:biocol.org:col:15556,,NY,PreservedSpecimen,,ea9b4055-cead-4efc-b056-215eb665d797,3181397,10203,T. H. Nash,,,,,,,,,,,,1973-02-19,1973-02-19,1973,02,19,,50,50,1973,2,19,19 Feb 1973,,,United States of America,,Arizona,Mohave Co.,,"Willow Beach Campground, Lake Mohave",,35.87322,-114.651182,WGS84,464.124,,,Caulanthus cooperi (S.Watson) Payson,Brassicaceae,Caulanthus,,cooperi,,Species,(S.Watson) Payson,1970,50
