gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
3059677252,4089748,https://cch2.org/portal/collections/individual/index.php?occid=4089748,NO,,f3fbf434-c09e-46fa-bc30-99138cd73a71,,CDA,PreservedSpecimen,,10e92c76-607f-4de9-b8b7-cc4f15aa5e52,CDA-0018536,1320,Frank B. McMurry,,,,,Wild: native/naturalized,,,,,,,1943-01-01,1943-01-01,1943,01,01,,1,,1943,1,1,1/1/1943,,,United States,,California,Imperial,,Imperial National Wildlife Refuge. Sonoran Desert.,,33.0288,-114.5606,WGS84,19308,,202820,Chaenactis carphoclinia,Asteraceae,Chaenactis,,carphoclinia,,Species,A. Gray,1940,1
2270230496,2216551,https://cch2.org/portal/collections/individual/index.php?occid=2216551,YES,,3818d95b-b6a4-11e8-b408-001a64db2964,,OBI,PreservedSpecimen,,07f56e00-5540-4716-b1af-dbb0e811059a,OBI175906,11937,David Keil,,,,,,,,,"Larrea, Cercidium, Encelia, Olneya, Cereus gigantus",26030,,1977-01-02,1977-01-02,1977,01,02,,2,,1977,1,2,,Desert Scrub; gravelly soil near road,,United States,,Arizona,Yuma,,5 miles E of Calif. border just off I-10 at Tom Wells Road. Desert scrub dominated by Larrea,,33.604105,-114.426249,WGS84,2810,,202820,Chaenactis carphoclinia,Asteraceae,Chaenactis,,carphoclinia,,Species,A. Gray,1970,2
2005275287,19527824,https://www.inaturalist.org/observations/19527824,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19527824,19527824,,Don Rideout,,,no evidence of flowering,,wild,,,,,,,2019-01-05T10:32:00-08:00,2019-01-05,2019,01,05,18:32:00Z,,,,,,2019/01/05 10:32 AM PST,,,,US,California,,,,,33.33638472,-116.3081289,EPSG:4326,,,76229,Chaenactis carphoclinia,Asteraceae,Chaenactis,,,,species,,2010,5
2430148651,1120398,https://cch2.org/portal/collections/individual/index.php?occid=1120398,NO,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,c20c5a16-0841-4152-93f4-183cbc10feb0,,864,Sarah J. De Groot; Janelle De Groot,,,sterile,,Native,,,,,RSA accession #: 704787,,2003-01-07,2003-01-07,2003,01,07,,7,,2003,1,7,,,,United States,,California,San Bernardino,,BLMWHIPPLE MOUNTAINS: along Havasu Palms Road.,1100ft.,34.32395,-114.2324,,,,202821,Chaenactis carphoclinia var. carphoclinia,Asteraceae,Chaenactis,,carphoclinia,carphoclinia,Morph,Gray,2000,7
1986621946,19535382,https://www.inaturalist.org/observations/19535382,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19535382,19535382,,Kate Harper,,,,,wild,,,,,,,2019-01-07T15:34:22-08:00,2019-01-07,2019,01,07,23:34:22Z,,,,,,Mon Jan 07 2019 15:34:22 GMT-0800 (PST),,,,US,California,,,,,33.20332976,-116.1881922,EPSG:4326,5,,80544,Chaenactis carphoclinia carphoclinia,Asteraceae,Chaenactis,,,,variety,,2010,7
1986617776,19525229,https://www.inaturalist.org/observations/19525229,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19525229,19525229,,Fred Melgert / Carla Hoegen,,,no evidence of flowering,,wild,,,,,,,2019-01-07T09:05:00-08:00,2019-01-07,2019,01,07,17:05:00Z,,,,,,2019/01/07 9:05 AM PST,,,,US,California,,,,,33.27972222,-116.115,EPSG:4326,,,80544,Chaenactis carphoclinia carphoclinia,Asteraceae,Chaenactis,,,,variety,,2010,7
3070306655,22999727,https://www.inaturalist.org/observations/22999727,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/22999727,22999727,,Christopher J. Earle,,,flowering,,wild,,,,,,,2019-01-10T10:19:00-08:00,2019-01-10,2019,01,10,18:19:00Z,,,,,,2019/01/10 10:19 AM PST,,,,US,Arizona,,,,,33.20866167,-114.07932,EPSG:4326,,,80544,Chaenactis carphoclinia carphoclinia,Asteraceae,Chaenactis,,,,variety,,2010,10
2430457866,713434,https://cch2.org/portal/collections/individual/index.php?occid=713434,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,23f2eff3-9711-4381-9bcb-800aea3be850,,193,"T. La Doux; Jim André, G. L. Clifton",,,flowers,,Native,,,,,RSA accession #: 735828,,2008-01-10,2008-01-10,2008,01,10,,10,,2008,1,10,,"growing in large sandy wash. Associates: Chrysothamnus paniculatus, Ambrosia eriocentra, Camissonia claviformis.",,United States,,California,San Bernardino,,"Devil's Playground: S. end of Old Dad Mountain, (lower Jackass Cyn Wash) bisected by transmission line corridors.",1986ft.,35.0719667,-115.8677333,,,,202821,Chaenactis carphoclinia var. carphoclinia,Asteraceae,Chaenactis,,carphoclinia,carphoclinia,Morph,Gray,2000,10
2422451143,1619374,https://cch2.org/portal/collections/individual/index.php?occid=1619374,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-200536,,193,"Tasha La Doux; Jim André, G.L. Clifton",,,Flowering,,,,,,,UCR-200536,,2008-01-10,2008-01-10,2008,01,10,,10,,2008,1,10,2008-1-10,"Assoc. with Chrysothamnus paniculatus, Ambrosia eriocentra, Camissonia claviformis.",,United States,,California,San Bernardino,,"Devils Playground, south end of Old Dad Mountain. Large sandy wash (lower Jackass Canyon Wash) bissected by transmission line corridors",,35.07194,-115.86778,,,,202821,Chaenactis carphoclinia var. carphoclinia,Asteraceae,Chaenactis,,carphoclinia,carphoclinia,Morph,A. Gray,2000,10
1990483997,19600121,https://www.inaturalist.org/observations/19600121,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19600121,19600121,,Don Rideout,,,,,wild,,,,,,,2019-01-11T15:32:00-08:00,2019-01-11,2019,01,11,23:32:00Z,,,,,,2019/01/11 3:32 PM PST,,,,US,California,,,,,32.91171517,-116.2597437,EPSG:4326,,,80544,Chaenactis carphoclinia carphoclinia,Asteraceae,Chaenactis,,,,variety,,2010,11
1990482616,19596328,https://www.inaturalist.org/observations/19596328,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19596328,19596328,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-11T13:54:11-08:00,2019-01-11,2019,01,11,21:54:11Z,,,,,,Fri Jan 11 2019 13:54:11 GMT-0800 (PST),,,,US,California,,,,,32.9128679,-116.2531076,EPSG:4326,5,,76229,Chaenactis carphoclinia,Asteraceae,Chaenactis,,,,species,,2010,11
1990482585,19596013,https://www.inaturalist.org/observations/19596013,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19596013,19596013,,Kate Harper,,,,,wild,,,,,,,2019-01-11T11:48:47-08:00,2019-01-11,2019,01,11,19:48:47Z,,,,,,Fri Jan 11 2019 11:48:47 GMT-0800 (PST),,,,US,California,,,,,32.90700455,-116.2488066,EPSG:4326,5,,80544,Chaenactis carphoclinia carphoclinia,Asteraceae,Chaenactis,,,,variety,,2010,11
1990479753,19587521,https://www.inaturalist.org/observations/19587521,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19587521,19587521,,birgitknorr,,,,,wild,,,,,,,2019-01-11T15:57:01-08:00,2019-01-11,2019,01,11,23:57:01Z,,,,,,Fri Jan 11 2019 15:57:01 GMT-0800 (PST),,,,US,California,,,,,32.91141762,-116.2598174,EPSG:4326,5,,80544,Chaenactis carphoclinia carphoclinia,Asteraceae,Chaenactis,,,,variety,,2010,11
