gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2422445746,1616308,https://cch2.org/portal/collections/individual/index.php?occid=1616308,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-199074,,9477,Jim André; T. La Doux,,,Flowering,,,,,,,UCR-199074,,2008-01-03,2008-01-03,2008,01,03,,3,,2008,1,3,2008-1-3,"Assoc; with Croton californicus, Astragalus lentiginosus borreganus, Dicoria canescens, Pleuraphis rigida.",,United States,,California,San Bernardino,,"Kelso Dunes, Mojave National Preserve, south side of Kelso Dunes, along transmission line dirt road, c. 4 mi east of main public parking area in Carr Canyon wash",,34.86953,-115.77364,,,11S 612089E 3859260N,202825,Chaenactis fremontii,Asteraceae,Chaenactis,,fremontii,,Species,A. Gray,2000,3
2575153168,607331,https://cch2.org/portal/collections/individual/index.php?occid=607331,YES,,f62b4819-3195-4053-a2dc-07431438f3e6,,SFV,PreservedSpecimen,,c74b93da-ede7-4200-954f-f961c0f69ccd,SFV101727,s. n.,F. M. Ball,,,Flowering,,Wild: native/naturalized,,,,,SFV-5007,,1964-01-04,1964-01-04,1964,01,04,,4,,1964,1,4,4 Jan 1964,,,United States,,California,Riverside,,"Open hillside at White Water, 16 miles east of Banning.",1500 ft.,33.92,-116.63,,,33° 55m 12s N; 116° 37m 48s W,202825,Chaenactis fremontii,Asteraceae,Chaenactis,,fremontii,,Species,A. Gray,1960,4
1990469475,19542691,https://www.inaturalist.org/observations/19542691,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19542691,19542691,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-08T10:36:00-08:00,2019-01-08,2019,01,08,18:36:00Z,,,,,,2019/01/08 10:36 AM PST,,,,US,California,,,,,33.36833333,-116.4219444,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,8
1990471144,19564652,https://www.inaturalist.org/observations/19564652,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19564652,19564652,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-10T09:03:00-08:00,2019-01-10,2019,01,10,17:03:00Z,,,,,,2019/01/10 9:03 AM PST,,,,US,California,,,,,33.20361111,-116.1802778,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,10
1990477743,19582514,https://www.inaturalist.org/observations/19582514,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19582514,19582514,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-11T14:02:00-08:00,2019-01-11,2019,01,11,22:02:00Z,,,,,,2019/01/11 2:02 PM PST,,,,US,California,,,,,32.91333333,-116.2533333,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,11
3031622449,20792777,https://www.inaturalist.org/observations/20792777,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20792777,20792777,,cschoe,,,,,wild,,,,,,,2019-01-12T10:05:12-08:00,2019-01-12,2019,01,12,18:05:12Z,,,,,,Sat Jan 12 2019 10:05:12 GMT-0800 (PST),,,,US,California,,,,,33.73581333,-116.426125,,6,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,12
1990482455,19595933,https://www.inaturalist.org/observations/19595933,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19595933,19595933,,larry-heronema,,,,,wild,,,,,,,2019-01-12T10:33:39-08:00,2019-01-12,2019,01,12,18:33:39Z,,,,,,Sat Jan 12 2019 10:33:39 GMT-0800 (PST),,,,US,California,,,,,33.80059824,-116.302943,,5,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,12
1990494382,19628705,https://www.inaturalist.org/observations/19628705,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19628705,19628705,,larry-heronema,,,,,wild,,,,,,,2019-01-13T12:58:56-08:00,2019-01-13,2019,01,13,20:58:56Z,,,,,,Sun Jan 13 2019 12:58:56 GMT-0800 (PST),,,,US,California,,,,,33.88298667,-116.2920867,,0,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,13
2422516402,1693401,https://cch2.org/portal/collections/individual/index.php?occid=1693401,NO,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-277637,,42662,A.C. Sanders; Jim Malusa,,,Sterile,,,,,,,UCR-277637,,2017-01-14,2017-01-14,2017,01,14,,14,,2017,1,14,2017-1-14,"Wide sandy wash flowing toward Salton Sea; open wash scrub with Psorothamnus spinosus, P. schottii, Olneya, Ambrosia salsola, Chilopsis, etc.",,United States,,California,Riverside,,"Salt Creek wash, where it passes bend in old Kaiser RR tracks, c. 6 miles east of Dos Palmas",,33.49,-115.71583,,,,202825,Chaenactis fremontii,Asteraceae,Chaenactis,,fremontii,,Species,A. Gray,2010,14
1990533595,19731516,https://www.inaturalist.org/observations/19731516,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19731516,19731516,,Colin Barrows,,,,,wild,,,,,,,2019-01-15T12:58:00-08:00,2019-01-15,2019,01,15,20:58:00Z,,,,,,2019/01/15 12:58 PM PST,,,,US,California,,,,,33.669375,-116.4077883,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,15
1846503287,2055537,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2055537,NO,,edb9860c-c481-4d19-88cc-224a536ebcd4,,DES,PreservedSpecimen,,3bc4bd38-21c7-4cfa-b8c6-5043fd2a3cc1,DES00091087,,Joe Arnold,,,flowers,,,,,,,,,1941-01-15,1941-01-15,1941,01,15,,15,,1941,1,15,,,,USA,,Arizona,La Paz Country,,Bouse.,900ft.,34.017181,-114.262017,,,34d 1m 1.85s ; 114d 15m 43.26s W,2869,Chaenactis fremontii,Asteraceae,Chaenactis,,fremontii,,Species,A. Gray,1940,15
1990533759,19731682,https://www.inaturalist.org/observations/19731682,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19731682,19731682,,Colin Barrows,,,,,wild,,,,,,,2019-01-17T09:03:00-08:00,2019-01-17,2019,01,17,17:03:00Z,,,,,,2019/01/17 9:03 AM PST,,,,US,California,,,,,33.77199167,-116.4590617,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,17
3031944414,20871291,https://www.inaturalist.org/observations/20871291,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20871291,20871291,,Sendy Hernández Orellana Barrows,,,,,wild,,,,,,,2019-01-20T15:55:36-08:00,2019-01-20,2019,01,20,23:55:36Z,,,,,,2019-01-20 3:55:36 PM PST,,,,US,California,,,,,33.82816696,-116.295166,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,20
2422823792,19762935,https://www.inaturalist.org/observations/19762935,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19762935,19762935,,Irmela Levin,,,,,wild,,,,,,,2019-01-20T09:39:10-08:00,2019-01-20,2019,01,20,17:39:10Z,,,,,,Sun Jan 20 2019 09:39:10 GMT-0800 (PST),,,,US,California,,,,,33.7211,-116.4057617,,5,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,20
2005277111,19801931,https://www.inaturalist.org/observations/19801931,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19801931,19801931,,Colin Barrows,,,,,wild,,,,,,,2019-01-20T15:32:00-08:00,2019-01-20,2019,01,20,23:32:00Z,,,,,,2019/01/20 3:32 PM PST,,,,US,California,,,,,33.833275,-116.3054117,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,20
2005276844,19762027,https://www.inaturalist.org/observations/19762027,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19762027,19762027,,Irmela Levin,,,,,wild,,,,,,,2019-01-20T09:46:31-08:00,2019-01-20,2019,01,20,17:46:31Z,,,,,,Sun Jan 20 2019 09:46:31 GMT-0800 (PST),,,,US,California,,,,,33.72143667,-116.4077617,,5,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,20
1990607844,19925738,https://www.inaturalist.org/observations/19925738,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19925738,19925738,,Sendy Hernández Orellana Barrows,,,,,wild,,,,,,,2019-01-20T15:55:36-08:00,2019-01-20,2019,01,20,23:55:36Z,,,,,,2019-01-20 3:55:36 PM PST,,,,US,California,,,,,33.82816696,-116.295166,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,20
1990572574,19833803,https://www.inaturalist.org/observations/19833803,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19833803,19833803,,docprt,,,,,wild,,,,,,,2019-01-20T13:01:00-08:00,2019-01-20,2019,01,20,21:01:00Z,,,,,,2019/01/20 1:01 PM PST,,,,US,California,,,,,33.06796333,-116.1210483,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,20
1990560854,19802086,https://www.inaturalist.org/observations/19802086,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19802086,19802086,,Colin Barrows,,,,,wild,,,,,,,2019-01-20T16:37:00-08:00,2019-01-20,2019,01,20,00:37:00Z,,,,,,2019/01/20 4:37 PM PST,,,,US,California,,,,,33.83325833,-116.3076217,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,20
1990548631,19770344,https://www.inaturalist.org/observations/19770344,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19770344,19770344,,desertsolitude,,,,,wild,,,,,,,2019-01-20T16:16:08-08:00,2019-01-20,2019,01,20,00:16:08Z,,,,,,Sun Jan 20 2019 16:16:08 GMT-0800 (PST),,,,US,California,,,,,34.07278333,-116.032525,,5,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,20
1990584234,19863863,https://www.inaturalist.org/observations/19863863,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19863863,19863863,,Aaron Echols,,,,,wild,,,,,,,2019-01-23T15:25:07-08:00,2019-01-23,2019,01,23,23:25:07Z,,,,,,Wed Jan 23 2019 15:25:07 GMT-0800 (PST),,,,US,California,,,,,34.1486195,-115.9312217,,6,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,23
1990578635,19849505,https://www.inaturalist.org/observations/19849505,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19849505,19849505,,Irmela Levin,,,,,wild,,,,,,,2019-01-24T09:43:10-08:00,2019-01-24,2019,01,24,17:43:10Z,,,,,,Thu Jan 24 2019 09:43:10 GMT-0800 (PST),,,,US,California,,,,,33.66814167,-116.4036783,,5,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,24
1990592375,19884356,https://www.inaturalist.org/observations/19884356,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19884356,19884356,,Colin Barrows,,,,,wild,,,,,,,2019-01-25T08:44:00-08:00,2019-01-25,2019,01,25,16:44:00Z,,,,,,2019/01/25 8:44 AM PST,,,,US,California,,,,,33.66927167,-116.40913,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,25
1990592249,19884364,https://www.inaturalist.org/observations/19884364,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19884364,19884364,,Colin Barrows,,,,,wild,,,,,,,2019-01-25T08:52:00-08:00,2019-01-25,2019,01,25,16:52:00Z,,,,,,2019/01/25 8:52 AM PST,,,,US,California,,,,,33.66913833,-116.409005,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,25
1990592248,19884370,https://www.inaturalist.org/observations/19884370,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19884370,19884370,,Colin Barrows,,,,,wild,,,,,,,2019-01-25T14:57:00-08:00,2019-01-25,2019,01,25,22:57:00Z,,,,,,2019/01/25 2:57 PM PST,,,,US,California,,,,,33.670025,-116.4067617,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,25
1990592246,19884351,https://www.inaturalist.org/observations/19884351,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19884351,19884351,,Colin Barrows,,,,,wild,,,,,,,2019-01-25T08:42:00-08:00,2019-01-25,2019,01,25,16:42:00Z,,,,,,2019/01/25 8:42 AM PST,,,,US,California,,,,,33.66933667,-116.4092533,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,25
1990593518,19887969,https://www.inaturalist.org/observations/19887969,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19887969,19887969,,Sue Shigenaga,,,,,wild,,,,,,,2019-01-26T11:38:27-08:00,2019-01-26,2019,01,26,19:38:27Z,,,,,,Sat Jan 26 2019 11:38:27 GMT-0800 (PST),,,,US,California,,,,,33.71668333,-116.4039083,,5,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,26
1993732976,20041538,https://www.inaturalist.org/observations/20041538,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20041538,20041538,,Steve Ganley,,,,,wild,,,,,,,2019-01-27T08:14:00-07:00,2019-01-27,2019,01,27,15:14:00Z,,,,,,2019/01/27 8:14 AM MST,,,,US,California,,,,,33.66431168,-115.801795,,244,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,27
1990616271,19948251,https://www.inaturalist.org/observations/19948251,YES,,,,iNaturalist,HumanObservation,Coordinate uncertainty increased to 28902m at the request of the observer,https://www.inaturalist.org/observations/19948251,19948251,,Colin Barrows,,,,,wild,,,,,,,2019-01-27T09:52:00-08:00,2019-01-27,2019,01,27,17:52:00Z,,,,,,2019/01/27 9:52 AM PST,,,,US,California,,,,,33.82537501,-116.2273526,,28902,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,27
1990616217,19948263,https://www.inaturalist.org/observations/19948263,NO,,,,iNaturalist,HumanObservation,Coordinate uncertainty increased to 28902m at the request of the observer,https://www.inaturalist.org/observations/19948263,19948263,,Colin Barrows,,,,,wild,,,,,,,2019-01-27T09:55:00-08:00,2019-01-27,2019,01,27,17:55:00Z,,,,,,2019/01/27 9:55 AM PST,,,,US,California,,,,,33.98980655,-116.3367173,,28902,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,27
1990616200,19948215,https://www.inaturalist.org/observations/19948215,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19948215,19948215,,Colin Barrows,,,,,wild,,,,,,,2019-01-27T07:52:00-08:00,2019-01-27,2019,01,27,15:52:00Z,,,,,,2019/01/27 7:52 AM PST,,,,US,California,,,,,33.82457833,-116.3272633,,,,50198,Chaenactis fremontii,Asteraceae,Chaenactis,,,,species,,2010,27
