gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2422445009,1616258,https://cch2.org/portal/collections/individual/index.php?occid=1616258,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-198976,UCR0072723,9487,Jim André; T. La Doux,,,Flowering,,,,,,,UCR-198976,,2008-01-03,2008-01-03,2008,01,03,,3,,2008,1,3,2008-1-3,"Assoc; with Croton californicus, Astragalus lentiginosus borreganus, Dicoria canescens, Pleuraphis rigida.",,United States,,California,San Bernardino,,"Kelso Dunes, Mojave National Preserve, south side of Kelso Dunes, along transmission line dirt road, c. 4 mi east of main public parking area in Carr Canyon wash",,34.86953,-115.77364,,,11S 612089E 3859260N,41948,Chylismia brevipes subsp. brevipes,Onagraceae,Chylismia,,brevipes,brevipes,Subspecies,(A. Gray) Small,2000,3
1990466941,19435562,https://www.inaturalist.org/observations/19435562,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19435562,19435562,,Peri Lee,,,,,wild,,,,,,,2019-01-03T16:16:47-08:00,2019-01-03,2019,01,03,00:16:47Z,,,,,,2019-01-03 4:16:47 PM PST,,,,US,California,,,,,33.6515007,-115.8228989,,,,76331,Chylismia brevipes,Onagraceae,Chylismia,,,,species,,2010,3
2424957546,514041,https://cch2.org/portal/collections/individual/index.php?occid=514041,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,{C9CDC3B7-9FBD-4857-9389-4B05110FC02E},,44,Christopher Christie,,,FL,,,,,,"Hills an Ambrosia-Larrea, Ocotillo, Opuntia community.",SD202285,,1997-01-04,1997-01-04,1997,01,04,,4,,1997,1,4,"Jan 04, 1997","Granitic gravelly, sandy wash.",,United States,,California,San Bernardino,,Chemehuevi Mountains Wilderness Area.,,34.6675,-114.61639,WGS84,,,41948,Chylismia brevipes subsp. brevipes,Onagraceae,Chylismia,,brevipes,brevipes,Subspecies,,1990,4
2575162388,614693,https://cch2.org/portal/collections/individual/index.php?occid=614693,YES,,f62b4819-3195-4053-a2dc-07431438f3e6,,SFV,PreservedSpecimen,,c272ba63-a574-4c9e-83bb-0a52bac8a13e,SFV109239,99.2,J. N. Hogue; B. T. Hogue,,,Flowering,,Wild: native/naturalized,,,,,SFV-17268,,1998-01-05,1998-01-05,1998,01,05,,5,,1998,1,5,5 Jan 1998,,,United States,,California,Inyo,,Panamint Valley; 5 miles southwest of Wildrose on Trona-Wildrose Road.,1400 ft.,36.175,-117.3,,,36° 10m 30s N; 117° 18m W,13497,Chylismia brevipes,Onagraceae,Chylismia,,brevipes,,Species,(A. Gray) Small,1990,5
2430125347,1095893,https://cch2.org/portal/collections/individual/index.php?occid=1095893,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,b642dfc7-bd0f-4e87-a570-9a049f9fcaef,,936,Sarah J. De Groot; Janelle DeGroot,,,flowers,,Native; Native/naturalizing,,,,,RSA accession #: 704376,,2003-01-08,2003-01-08,2003,01,08,,8,,2003,1,8,,,,United States,,California,San Bernardino,,Whipple Mountains: Along powerline road on northeast side of mountains.,,34.3328,-114.2936,WGS84,1000,,41810,Camissonia brevipes subsp. brevipes,Onagraceae,Camissonia,,brevipes,brevipes,Subspecies,(Gray) Raven,2000,8
1986621730,19537356,https://www.inaturalist.org/observations/19537356,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19537356,19537356,,Paweł Pieluszyński,,,,,wild,,,,,,,2019-01-09T09:25:52-08:00,2019-01-09,2019,01,09,17:25:52Z,,,,,,2019-01-09 9:25:52 AM PST,,,,US,California,,,,,34.11098099,-116.1067963,,,,76331,Chylismia brevipes,Onagraceae,Chylismia,,,,species,,2010,9
2430186503,1160901,https://cch2.org/portal/collections/individual/index.php?occid=1160901,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,d54bed43-12fe-4e40-9217-ca525b084fc7,RSA0085557,30231,J. M. André,,,flowers,,Native; Native/naturalizing,,,,"Larrea tridentata, Ericameria paniculata, Ambrosia dumosa, Encelia farinosa, Perityle emoryi, Bebbia juncea",RSA accession #: 842680,,2014-01-10,2014-01-10,2014,01,10,,10,,2014,1,10,,,,United States,,California,San Bernardino,,"BLMDead Mountains: extreme south end of range at Piute Wash, just north of Interstate 40, just east of US Hwy 95.; Bannock 7.5'",1055ft.,34.88135,-114.7526333,NAD83,,,41948,Chylismia brevipes subsp. brevipes,Onagraceae,Chylismia,,brevipes,brevipes,Subspecies,(A. Gray) Small,2010,10
2430167635,1140807,https://cch2.org/portal/collections/individual/index.php?occid=1140807,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,cbbc6c20-7b20-4de5-afb8-826096d8785f,,s.n.,Jim André; Tasha La Doux,,,flowers,,Native,,,,,RSA accession #: 736339,,2008-01-10,2008-01-10,2008,01,10,,10,,2008,1,10,,"Associates: Chrysothamnus paniculatus, Bebbia juncea, Ambrosia eriocentra.",,United States,,California,San Bernardino,,"Devil’s Playground: S. end of Old dad Mountain, in large wash at base of rocky limestone S-facing slopes",2147ft.,35.07925,-115.85975,,,,41810,Camissonia brevipes subsp. brevipes,Onagraceae,Camissonia,,brevipes,brevipes,Subspecies,(Gray) Raven,2000,10
2422407169,1567566,https://cch2.org/portal/collections/individual/index.php?occid=1567566,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-148336,UCR0072681,s.n.,John F. Green,,,Flowering,,,,,,,UCR-148336,,2005-01-13,2005-01-13,2005,01,13,,13,,2005,1,13,2005-1-13,"Barren top of canal and dirt road. Adjacent vegetation Larrea dominated scrub with Atriplex polycarpa, Encelia farinosa, Hymenoclea salsola, Olneya tesota",,United States,,California,Riverside,,"Salton Basin, Coachella Canal right-of-way, between siphons 21 and 22 (near 22), south of Salt Creek",,33.45222,-115.71083,,,,41948,Chylismia brevipes subsp. brevipes,Onagraceae,Chylismia,,brevipes,brevipes,Subspecies,(A. Gray) Small,2000,13
2270534913,20544985,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20544985,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,73ba0186-fa2e-4862-86fa-d5cd0e40c3b8,ASU0115163,73-12,G.C. Kobetich; M. Russell,,,,,,,,,,61737,,1973-01-13,1973-01-13,1973,01,13,,13,,1973,1,13,,"Arroyo beds and hillsides, right hand side of highway (headed downriver)",,USA,,California,San Bernardino,,"2.7 miles below Parker Dam,",,34.262806,-114.138675,WGS84,1200,,15624,Oenothera brevipes,Onagraceae,Oenothera,,brevipes,,Species,Gray,1970,13
