gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
1990484170,19600668,https://www.inaturalist.org/observations/19600668,NO,,,,iNaturalist,HumanObservation,Coordinate uncertainty increased to 29039m to protect threatened taxon,https://www.inaturalist.org/observations/19600668,19600668,,Don Rideout,,,,,wild,,,,,,,2019-01-11T16:08:00-08:00,2019-01-11,2019,01,11,00:08:00Z,,,,,,2019/01/11 4:08 PM PST,,,,US,California,,,,,32.84487009,-116.253789,EPSG:4326,29039,,79792,Delphinium parishii subglobosum,Ranunculaceae,Delphinium,,,,subspecies,,2010,11
2430446598,991431,https://cch2.org/portal/collections/individual/index.php?occid=991431,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,844e5e34-0f24-44eb-98ba-8d117881a007,RSA0097567,30946,Jim M. André,,,flowers,,Native,,,,"Yucca brevifolia, Coleogyne ramosissima, Phlox stansburyi, Purshia tridentata glandulosa, Chaetopappa ericoides",RSA accession #: 849563,,2014-01-17,2014-01-17,2014,01,17,,17,,2014,1,17,,"Geologic formation: alluvium; Parent rock: limestone; Soil type: decomposing rock; calcareous gravel along margin of wash, Joshutree and blackbush scrub.",,United States,,California,San Bernardino,,"BLMClark Mountain Range; powerline access road, northwest of Mohawk Hill, southern end of Clark Range, 5.2 miles NW of Jct Bailey Rd and Interstate 15.; Mescal Range 7.5' Quad.",5205ft.,35.4968333,-115.5762333,NAD83,,,42138,Delphinium parishii subsp. parishii,Ranunculaceae,Delphinium,,parishii,parishii,Subspecies,Gray,2010,17
1453424112,5105906,https://www.inaturalist.org/observations/5105906,NO,,,,iNaturalist,HumanObservation,Coordinate uncertainty increased to 28998m to protect threatened taxon,https://www.inaturalist.org/observations/5105906,5105906,,Don Rideout,,,,,wild,,,,,,,2017-02-03T19:46:00-08:00,2017-02-03,2017,02,03,03:46:00Z,,,,,,2017/02/03 7:46 PM PST,,,,US,California,,,,,33.12047282,-116.2505826,EPSG:4326,28998,,68570,Delphinium parishii,Ranunculaceae,Delphinium,,,,species,,2010,34
3091216420,2095607,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2095607,YES,,17a53c97-835b-409e-8a9a-c9a7307a4965,,ASC,PreservedSpecimen,,83aca08c-4702-4382-b3ca-0d46ed709187,ASC00013076,9,J. Rivera,,,flowers,,,,,,,,,1960-02-07,1960-02-07,1960,02,07,,38,,1960,2,7,,Between rocks,,United States,,Arizona,Maricopa,,"N side of South Mountain, 5 mi W of Guadalupe, 10 mi SE of Phoenix; halfway up mountain",,33.3708,-112.049093,,,,750,Delphinium parishii,Ranunculaceae,Delphinium,,parishii,,Species,A. Gray,1960,38
1453433137,5126536,https://www.inaturalist.org/observations/5126536,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/5126536,5126536,,Steve Jones,,,,,wild,,,,,,,2017-02-17T11:31:00-07:00,2017-02-17,2017,02,17,18:31:00Z,,,,,,2017/02/17 11:31 AM MST,,,,US,Arizona,,,,,33.60961333,-111.79569,EPSG:4326,,,68570,Delphinium parishii,Ranunculaceae,Delphinium,,,,species,,2010,48
2005383237,20490388,https://www.inaturalist.org/observations/20490388,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20490388,20490388,,Marianne Skov Jensen,,,,,wild,,,,,,,2019-02-18,2019-02-18,2019,02,18,,,,,,,2019-02-18,,,,US,Arizona,,,,,33.761439,-111.83953,EPSG:4326,,,68570,Delphinium parishii,Ranunculaceae,Delphinium,,,,species,,2010,49
2270645259,727344,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=727344,NO,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,63ecacfd-efc6-4525-946e-34e1ed02b947,,10397,Keil; Lehto,,,sterile,,,,,,,39351,,1968-02-22,1968-02-22,1968,02,22,,53,,1968,2,22,,Gypsum hillside,,USA,,Arizona,Maricopa,,"Section #18, west of upper lake",,33.8533,-112.269,,,,11354,Delphinium parishii subsp. parishii,Ranunculaceae,Delphinium,,parishii,parishii,Subspecies,Gray,1960,53
2013693493,21018429,https://www.inaturalist.org/observations/21018429,NO,,,,iNaturalist,HumanObservation,Coordinate uncertainty increased to 29039m to protect threatened taxon,https://www.inaturalist.org/observations/21018429,21018429,,Don Rideout,,,,,wild,,,,,,,2019-03-05T14:12:00-08:00,2019-03-05,2019,03,05,22:12:00Z,,,,,,2019/03/05 2:12 PM PST,,,,US,California,,,,,32.8484671,-116.3623769,EPSG:4326,29039,,79792,Delphinium parishii subglobosum,Ranunculaceae,Delphinium,,,,subspecies,,2010,64
3125079728,536304,https://cch2.org/portal/collections/individual/index.php?occid=536304,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,4AAB0E2F-2FDD-41AD-8B16-C7CAE5B090CC,,131,Mike D. Angel; John Dewald,,,FL,,,,,,Desert Succulent Scrub,SD173772,,2005-03-06,2005-03-06,2005,03,06,,65,,2005,3,6,"Mar 06, 2005",Badlands.,,United States,,California,San Diego,,"Anza-Borrego State Park. Go 1 mile north of Agua Caliente on S2. On right/north side of road is marked trail called Bismaga Wash. Park, follow trail up wash.",,32.9728,-116.3081,WGS84,,,42140,Delphinium parishii subsp. subglobosum,Ranunculaceae,Delphinium,,parishii,subglobosum,Subspecies,(Wiggins) F.H. Lewis & Epling,2000,65
2270686975,776539,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=776539,NO,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,fd8542f8-231c-4243-8aae-bba8c0676fec,,03-212,Richard S. Felger; Betsy Wirt,,,,,,,,,"Atriplex polycarpa, Celtis palllida, Crossosoma bigelovii, Encelia farinosa, Eriogonum pringlei, Fouquieria, Hyptis emoryi, Justicia californica, Krameria grayi, Larrea, Lycium berlandieri, Parkinsonia microphylla, Sebastiania bilocularis",266947,,2003-03-10,2003-03-10,2003,03,10,,69,,2003,3,10,,Steep rock slope,,USA,,Arizona,Maricopa,,"Barry M. Goldwater Military Range, base of north side of Hat Mountain.  Continue eastward 24.6, valley floor north of Hat Mountain",,32.6367,-112.746,,,DMS: 32d  38m 12s N; 112d 44m 46s W,750,Delphinium parishii,Ranunculaceae,Delphinium,,parishii,,Species,A. Gray,2000,69
