gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
1986577371,19408373,https://www.inaturalist.org/observations/19408373,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19408373,19408373,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T12:45:00-08:00,2019-01-02,2019,01,02,20:45:00Z,,,,,,2019/01/02 12:45 PM PST,,,,US,California,,,,,33.17805556,-116.1622222,,,,59454,Eremalche rotundifolia,Malvaceae,Eremalche,,,,species,,2010,2
1986575524,19408374,https://www.inaturalist.org/observations/19408374,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19408374,19408374,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T13:01:00-08:00,2019-01-02,2019,01,02,21:01:00Z,,,,,,2019/01/02 1:01 PM PST,,,,US,California,,,,,33.18194444,-116.165,,,,59454,Eremalche rotundifolia,Malvaceae,Eremalche,,,,species,,2010,2
1986575278,19408372,https://www.inaturalist.org/observations/19408372,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19408372,19408372,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T11:05:00-08:00,2019-01-02,2019,01,02,19:05:00Z,,,,,,2019/01/02 11:05 AM PST,,,,US,California,,,,,33.16277778,-116.1677778,,,,59454,Eremalche rotundifolia,Malvaceae,Eremalche,,,,species,,2010,2
1986574215,19403176,https://www.inaturalist.org/observations/19403176,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19403176,19403176,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-02T12:29:09-08:00,2019-01-02,2019,01,02,20:29:09Z,,,,,,Wed Jan 02 2019 12:29:09 GMT-0800 (PST),,,,US,California,,,,,33.19960149,-116.1813026,,5,,59454,Eremalche rotundifolia,Malvaceae,Eremalche,,,,species,,2010,2
1986580883,19424046,https://www.inaturalist.org/observations/19424046,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19424046,19424046,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-03T13:58:50-08:00,2019-01-03,2019,01,03,21:58:50Z,,,,,,Thu Jan 03 2019 13:58:50 GMT-0800 (PST),,,,US,California,,,,,33.19937635,-116.1811116,,5,,59454,Eremalche rotundifolia,Malvaceae,Eremalche,,,,species,,2010,3
1986574654,19406077,https://www.inaturalist.org/observations/19406077,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19406077,19406077,,birgitknorr,,,,,wild,,,,,,,2019-01-03T13:15:40-08:00,2019-01-03,2019,01,03,21:15:40Z,,,,,,Thu Jan 03 2019 13:15:40 GMT-0800 (PST),,,,US,California,,,,,32.90580304,-116.2478637,,5,,59454,Eremalche rotundifolia,Malvaceae,Eremalche,,,,species,,2010,3
1986620055,19527920,https://www.inaturalist.org/observations/19527920,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19527920,19527920,,Don Rideout,,,,,wild,,,,,,,2019-01-05T10:37:00-08:00,2019-01-05,2019,01,05,18:37:00Z,,,,,,2019/01/05 10:37 AM PST,,,,US,California,,,,,33.33653111,-116.3082197,,,,59454,Eremalche rotundifolia,Malvaceae,Eremalche,,,,species,,2010,5
1986610718,19501423,https://www.inaturalist.org/observations/19501423,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19501423,19501423,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-06T14:01:00-08:00,2019-01-06,2019,01,06,22:01:00Z,,,,,,2019/01/06 2:01 PM PST,,,,US,California,,,,,33.19030667,-116.1612867,,,,59454,Eremalche rotundifolia,Malvaceae,Eremalche,,,,species,,2010,6
1986610458,19501422,https://www.inaturalist.org/observations/19501422,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19501422,19501422,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-06T14:02:00-08:00,2019-01-06,2019,01,06,22:02:00Z,,,,,,2019/01/06 2:02 PM PST,,,,US,California,,,,,33.19027778,-116.1613889,,,,59454,Eremalche rotundifolia,Malvaceae,Eremalche,,,,species,,2010,6
1986609525,19501419,https://www.inaturalist.org/observations/19501419,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19501419,19501419,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-06T11:04:00-08:00,2019-01-06,2019,01,06,19:04:00Z,,,,,,2019/01/06 11:04 AM PST,,,,US,California,,,,,33.20083333,-116.1763889,,,,59454,Eremalche rotundifolia,Malvaceae,Eremalche,,,,species,,2010,6
