gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2610098024,3894002,https://cch2.org/portal/collections/individual/index.php?occid=3894002,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,3582d7ca-968d-4de8-ba2c-5415a0d82479,RSA0171943,4703,"Naomi Fraga; Duncan S. Bell, Deidre Conocchioli",,,flowers,,Native,,,,"Mohavea confertiflora, Chylismia brevipes, Eschschozia minutiflora, Phacelia crenulata, Cryptantha sp., Eremalche rotundifolia",RSA accession #: 881833,,2014-02-18,2014-02-18,2014,02,18,,49,,2014,2,18,,Creosote bush scrub on steep crumbly slope.,,United States,,California,San Bernardino,,California State LandTransverse Ranges; San Bernardino Mountains region: Arrastre wash; southeast of Old Woman Springs.; Old Woman Springs 7.5',3303ft.,34.388,-116.70496,NAD83,,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,2010,49
2430428369,948230,https://cch2.org/portal/collections/individual/index.php?occid=948230,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,6fef579b-729b-41f2-802a-83dc40de67f7,RSA0078737,1106,Erika M. Gardner; Chul Paik,,,flowers,,Native,,,,"Gilia, Larrea tridentata, Erodium cicularium, Euphorbia albomarginata, Tropidocarpum gracile, Eriogonum fasciculatum",RSA accession #: 839512,,2015-02-21,2015-02-21,2015,02,21,,52,,2015,2,21,,Desert. Gravelly soil. In large rock outcrop.,,United States,,California,Kern,,Base of Tit Mountain. South side of Mountain.; Horse Canyon 7.5',3956ft.,35.56666,-118.01225,,,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,2010,52
3125087452,530938,https://cch2.org/portal/collections/individual/index.php?occid=530938,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,5E105865-069A-42C9-9949-D22D43968F7B,,s.n.,R.B. Randall,,,FL,,,,,,,SD1301,,1926-02-22,1926-02-22,1926,02,22,,53,,1926,2,22,"Feb 22, 1926",,,United States,,California,Unknown,,White Water Pass,unknownft.,33.9347,-116.6414,WGS84,,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,1920,53
2430314046,1233485,https://cch2.org/portal/collections/individual/index.php?occid=1233485,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,f8083fb2-0d56-4245-8df0-a3f0d9e1384f,,889,Henry J. Ramsey; Henry J. Ramsey,,,flowers,,Native,,,,,POM accession #: 305593B,,1937-02-26,1937-02-26,1937,02,26,,57,,1937,2,26,,,,United States,,California,Riverside,,Whitewater.,,33.9298,-116.642,WGS84,1775,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,1930,57
2430120178,1093068,https://cch2.org/portal/collections/individual/index.php?occid=1093068,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,b4e325b6-30c9-45fa-b37e-aa8116f4c64f,,449,Justin M. Wood; Quan Vong,,,flowers,,Native,,,,,RSA accession #: 768420,,2009-03-03,2009-03-03,2009,03,03,,62,,2009,3,3,,"Creosote scrub, sandy washed, and rocky hillsides.",,United States,,California,San Bernardino,,"BLMShadow Mountains, +/- 3.25 miles NE of El Mirage Dry Lake.; Shadow Mtns",3400-3800ft.,34.6927778,-117.5519444,,,T7N R6W S18,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,2000,62
2418025732,2119048,https://cch2.org/portal/collections/individual/index.php?occid=2119048,YES,,6a942843-3cb1-4643-a475-24df2d2ba49f,,CHSC,PreservedSpecimen,,b4e3167d-f35c-4b1d-a74b-e54911a9c63e,CHSC026395,673,Dieter H. Wilken; Gary D. Wallace,,,,,,,,,,,,1966-03-04,1966-03-04,1966,03,04,,63,,1966,3,4,03/04/1966,On sandy-rocky soil with Chorizanthe and Mentzelia. Flowers yellow.,,United States,,California,Riverside,,Base of the Little San Bernardino Mtsn. west of Indio along the Dillon Rd.,1000ft.,33.817222,-116.208889,NAD83,6437,33§ 49m 2s N; 116§ 12m 32s W,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,1960,63
2430091675,1063695,https://cch2.org/portal/collections/individual/index.php?occid=1063695,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,a6dd975e-fab6-481b-af23-4ae07a663d1a,,20595,Jim André,,,flowers,,Native,,,,,RSA accession #: 792819,,2012-03-05,2012-03-05,2012,03,05,,65,,2012,3,5,,"Gravelly sand. Associates: Acamptopappus spaherocephala, Larrea tridentata, Acacia greggii, Ambrosia sumosa, Cryptantha micrantha.",,United States,,California,San Bernardino,,"Granite Mtns: Mojave National Preserve. Along entrance dirt road to Granite Cove and UC Granite Mtns Desert Research Ctr, just east microwave tower, 0.15 mi west of Kelbaker Rd.; 7.5' Bighorn Basin",3919ft.,34.7672333,-115.6362833,,,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,2010,65
2430051681,1023145,https://cch2.org/portal/collections/individual/index.php?occid=1023145,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,936aada6-7237-4a34-8e37-d426407009c6,RSA0078745,1197,Erika M. Gardner; Sierra Sutton,,,flowers,,Native,,,,,RSA accession #: 839504,,2015-03-06,2015-03-06,2015,03,06,,65,,2015,3,6,,"Amazing rock outcrop, gigantic boulders. Disturbed soil from OHV activity.",,United States,,California,Kern,,"Near large established primitive campsite, southwest section of the wilderness, near Birdsprings Pass. Large old mine.; Horse Canyon 7.5'",3766ft.,35.52009,-118.04829,,,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,2010,65
2422471139,1646126,https://cch2.org/portal/collections/individual/index.php?occid=1646126,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-276657,UCR0095018,33564,Jim André,,,Flowering,,,,,,,UCR-276657,,2015-03-06,2015-03-06,2015,03,06,,65,,2015,3,6,2015-3-6,"Base of steep south-facing granitic slopes, with Larrea tridentata, Ambrosia dumosa, Encelia farinosa, Chylismia claviformis, Cryptantha angustifolia, Brassica tournefortii.",,United States,,California,Riverside,,"far northwest corner of valley, 0.5 mile west of Hwy 62 at mouth of Dry Morongo Wash, 0.3 mile north of (dirt) Kolbe Road",,34.00913,-116.5815,,,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,2010,65
3053384725,141667,https://cch2.org/portal/collections/individual/index.php?occid=141667,YES,,3818e0aa-b6a4-11e8-b408-001a64db2964,,SBBG,PreservedSpecimen,,dbe10574-1380-4a4d-8ea2-ddaf5051f9c6,SBBG177190,4813,H. and M. Dearing,,,Flowers Present,,,,,,,1606,,1942-03-07,1942-03-07,1942,03,07,,66,,1942,3,7,1942-3-7,bajada,,United States,,California,Riverside,,Cathedral City,,33.778,-116.463,NAD27,,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,1940,66
2430428646,951100,https://cch2.org/portal/collections/individual/index.php?occid=951100,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,71494369-337c-475c-bb45-2d0b793808a7,RSA0093746,25962,Jim M. André,,,flowers,,Native,,,,"Castela emoryi, Larrea tridentata, Ambrosia dumosa, Ambrosia salsola, Camissonia claviformis, Plantago ovata, Stillingia linearifolia",RSA accession #: 847485,,2013-03-11,2013-03-11,2013,03,11,,70,,2013,3,11,,"Geologic formation: alluvium; Parent rock: granite; Soil type: gravel; low gradient creosotebush scrub, granitic gravels.",,United States,,California,San Bernardino,,"BLMChemehuevi Valley; along Turtle Mtn Rd 3.9 mi. east of Chemehuevi Wash, approx. 2 mi. west of Hwy 95.; Snaggletooth",1353ft.,34.5098167,-114.70845,NAD83,,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,2010,70
2430181830,1155660,https://cch2.org/portal/collections/individual/index.php?occid=1155660,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,d2cad405-7afb-42f2-a504-ad3c002a60b3,,7702,F. W. Peirson,,,flowers,,Native,,,,,RSA accession #: 64587,,1928-03-10,1928-03-10,1928,03,10,,70,,1928,3,10,,,,United States,,California,Riverside,,"Just east of Whitewater Bridge, near Whitewater, at head of Coachella Valley.",,33.9253,-116.6415,WGS84,1000,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,1920,70
2430407638,910546,https://cch2.org/portal/collections/individual/index.php?occid=910546,,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,5df1c0e4-4777-4c0f-8724-a36d19bb2889,,3-G,J. R. Bruff,,,,,Native,,,,,RSA accession #: 698446,,1927-03-12,1927-03-12,1927,03,12,,71,,1927,3,12,,,,United States,,California,Riverside,,Whitewater.,,33.9253,-116.6415,WGS84,1000,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,1920,71
2575154020,608820,https://cch2.org/portal/collections/individual/index.php?occid=608820,YES,,f62b4819-3195-4053-a2dc-07431438f3e6,,SFV,PreservedSpecimen,,05aaff6b-c6ae-4aac-bcd7-b7ee3c8b2c8f,SFV111435,a-454,S. Kimball,,,Flowering,,Wild: native/naturalized,,,,,SFV-20439,,2005-03-13,2005-03-13,2005,03,13,,72,,2005,3,13,13 Mar 2005,,,United States,,California,San Bernardino,,"Mojave Desert; Off Highway 395, 5 km north of Federal Prison Camp.",2788 ft.,35.127,-117.583,,,35° 7m 37.2s N; 117° 34m 58.8s W,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,2000,72
2430192104,1162392,https://cch2.org/portal/collections/individual/index.php?occid=1162392,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,d60354f3-2368-4455-88f0-1cb63bf0e06f,RSA0097398,7820,Duncan S. Bell,,,flowers,,Native,,,,"Yucca brevifolia, Y. schidigera, Larrea tridentata, Bahiopsis parishii, Ambrosia dumosa, Coleogyne ramosissima, Scutellaria mexicana, Echinocereus engelmanii, Senegalia greggii, Opuntia basilaris, Lycium andersonii and a plethora of flowering annual species",RSA accession #: 849550,,2015-03-13,2015-03-13,2015,03,13,,72,,2015,3,13,,A meeting area of granitic and volcanic soils at base of butte. Frequent/scattered on sandy/gravely benches and slopes at base of butte.,,United States,,California,San Bernardino,,BLMCollecting on the northern section of Flat Top Mesa to the east of Black Lava Butte at the southeastern end of the Bighorn Mountains.; Yucca Valley North Quad.,3785ft.,34.21679,-116.47104,,,T2N R5E S33,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,2010,72
2382640215,392454,https://cch2.org/portal/collections/individual/index.php?occid=392454,YES,,3818d002-b6a4-11e8-b408-001a64db2964,,SDSU,PreservedSpecimen,,f8adde34-ca74-4279-b7c9-c11e431fd035,18270,,"Scheidlinger, Carla",,,,,,,,,,SDSU18270,,1982-03-13,1982-03-13,1982,03,13,,72,,1982,3,13,03/13/1982,"Edge of wash, sandy pockets in rock.",,United States,,California,San Bernardino,,"Wash N. of Mesa-cut on Gay’s Peak Road, MCAGCC, Twentynine Palms, CA",2726ft.,34.60861,-116.23333,,,34.00° 36.00m 31s N; 116.00° 14.00m W,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,1980,72
2610078273,3809073,https://cch2.org/portal/collections/individual/index.php?occid=3809073,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,c69bc814-6333-41b7-b660-d7e0cb185934,RSA0142459,35741,Jim M. André,,,flowers,,Native,,,,"Acacia greggii, Psorothamnus spinosus, Ambrosia dumosa, A. salsola, Larrea tridentata, Krameria erecta, Amsinckia tessellata, Eriophyllum wallacei",RSA accession #: 869519,,2016-03-14,2016-03-14,2016,03,14,,74,,2016,3,14,,"Large wash complex, mixed volcanic gravel and sand. Parent rock: granite. Geologic formation: alluvium. Soil type: gravel.",,United States,,California,San Bernardino,,"BLMMarble Mountains: northeast end of range, just south of gas pipeline corridor, approx 2 mi. south of Interstate 40, 3.6 mi east of Kelbaker Rd, approx. 80 mi. east of Barstow.; Van Winkle Wash 7.5'",3126ft.,34.7005,-115.6150833,NAD83,,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,2010,74
1802600349,1333441,https://www.inaturalist.org/observations/1333441,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/1333441,1333441,,sea-kangaroo,,,,,wild,,,,,,,2015-03-16T10:17:09-07:00,2015-03-16,2015,03,16,17:17:09Z,,,,,,2015-03-16 10:17:09,,,,US,California,,,,,35.235798,-117.872168,,1873,,77024,Eriogonum pusillum,Polygonaceae,Eriogonum,,,,species,,2010,75
3125213601,533098,https://cch2.org/portal/collections/individual/index.php?occid=533098,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,91A7827B-7638-4450-A33D-2C8536031A6F,SD00008328,1566,Ian Cain,,,FL,,,,,,"Desert scrub with Atriplex canescens, Bahiopsis parishii, and Eriogonum inflatum",SD216581,,2011-03-17,2011-03-17,2011,03,17,,76,,2011,3,17,"Mar 17, 2011",North facing slight slope in packed sandy soil with boulders,,United States,,California,Imperial,,"Along west bound I-8, 3.06km west of intersection with Highway 98",,32.7275,-116.0525,WGS84,241,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,2010,76
2430091869,1062455,https://cch2.org/portal/collections/individual/index.php?occid=1062455,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,a63fb9e2-3355-421b-a30b-6f4ac6eb5973,,s.n.,Steve Myers; J. Hirshberg,,,flowers,,Native,,,,,RSA accession #: 494639,,1988-03-16,1988-03-16,1988,03,16,,76,,1988,3,16,,Joshua Tree woodland on a W-facing outcrop; gravel soil.,,United States,,California,San Bernardino,,"Along Hwy 247, from Paxton Rd. to El Cortez Rd.; Yucca Valley North",3500ft.,34.142362,-116.413715,,969,T1N R5E S25,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,1980,76
2610077168,3809558,https://cch2.org/portal/collections/individual/index.php?occid=3809558,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,a99ce651-9931-423b-993d-a07ef47bd6da,RSA0144135,34251,Jim M. André; Tasha La Doux,,,flowers,,Native,,,,"Coleogyne ramosissima, Lycium andersonii, Larrea tridentata, Gilia cana, Plagiobothrys jonesii, Caulanthus lasiophyllus, Chaenactis stevioides",RSA accession #: 872271,,2016-03-17,2016-03-17,2016,03,17,,77,,2016,3,17,,"Blackbush scrub, margin of wash, mixed gravels (rhyolite and volcanics). Parent rock: mixed. Geologic formation: alluvium. Soil type: gravel.",,United States,,Nevada,Nye,,"Flourspar Canyon, north end of Bare Mountains, 2.7 mi. east of Hwy 95, about 3.5 mi. SE of Beatty.; Beatty Mountain 7.5'",4116ft.,36.89175,-116.7005667,NAD83,,,114137,Eriogonum pusillum,Polygonaceae,Eriogonum,,pusillum,,Species,Torr. & A. Gray,2010,77
