gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2244336313,4990643,https://www.inaturalist.org/observations/4990643,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/4990643,4990643,,larry-heronema,,,flowering,,wild,,,,,,,2017-01-22T10:45:05-08:00,2017-01-22,2017,01,22,18:45:05Z,,,,,,Sun Jan 22 2017 10:45:05 GMT-0800 (PST),,,,US,California,,,,,33.72842087,-116.4767217,,5,,77046,Eriophyllum ambiguum,Asteraceae,Eriophyllum,,,,species,,2010,22
1928567794,38949f8c-11c8-4f8a-ba8d-48c19f1e708b,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3154539,YES,http://biocol.org/urn:lsid:biocol.org:col:15556,http://biocol.org/urn:lsid:biocol.org:col:15556,,NY,PreservedSpecimen,,38949f8c-11c8-4f8a-ba8d-48c19f1e708b,2831774,1145,W. E. Niles,,,,,,,,,,,,1973-02-02,1973-02-02,1973,02,02,,33,33,1973,2,2,02 Feb 1973,,,United States of America,,California,Inyo Co.,,"About 2 miles east of Jubilee Pass, Death Valley National Monument.",1000 ft,35.910232,-116.544221,WGS84,3486,,,Eriophyllum ambiguum var. paleaceum (Brandegee) Ferris,Asteraceae,Eriophyllum,,ambiguum,paleaceum,Variety,(Brandegee) Ferris,1970,33
1837096622,5063355,https://www.inaturalist.org/observations/5063355,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/5063355,5063355,,Colin Barrows,,,flowering,,wild,,,,,,,2017-02-05T15:09:00-08:00,2017-02-05,2017,02,05,23:09:00Z,,,,,,2017/02/05 3:09 PM PST,,,,US,California,,,,,33.65947167,-116.5046883,,,,80878,Eriophyllum ambiguum paleaceum,Asteraceae,Eriophyllum,,,,variety,,2010,36
2005372990,20451109,https://www.inaturalist.org/observations/20451109,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20451109,20451109,,Colin Barrows,,,flowering,,wild,,,,,,,2019-02-13T11:48:00-08:00,2019-02-13,2019,02,13,19:48:00Z,,,,,,2019/02/13 11:48 AM PST,,,,US,California,,,,,33.75316667,-116.4846217,,,,80878,Eriophyllum ambiguum paleaceum,Asteraceae,Eriophyllum,,,,variety,,2010,44
2005332528,20329145,https://www.inaturalist.org/observations/20329145,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20329145,20329145,,Sue Shigenaga,,,flowering|flower budding,,wild,,,,,,,2019-02-13T11:50:01-08:00,2019-02-13,2019,02,13,19:50:01Z,,,,,,Wed Feb 13 2019 11:50:01 GMT-0800 (PST),,,,US,California,,,,,33.75324167,-116.4846117,,5,,77046,Eriophyllum ambiguum,Asteraceae,Eriophyllum,,,,species,,2010,44
2610076224,3805837,https://cch2.org/portal/collections/individual/index.php?occid=3805837,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,94258856-8e0d-4d46-98cc-fcd7bf9cf0a2,RSA0140758,34017,"Jim M. André; Tasha La Doux, Senna Andre, Elias Andre",,,flowers,,Native,,,,"Larrea tridentata, Ambrosia dumosa, Phacelia crenulata, Eremalche rotundifolia, Phacelia fremontii",RSA accession #: 868688,,2016-02-16,2016-02-16,2016,02,16,,47,,2016,2,16,,Gravelly alluvial flat. Parent rock: mixed. Geologic formation: alluvium. Soil type: gravel.,,United States,,California,Inyo,,"NPSGreenwater Range: Death Valley Natl Park; dirt road 4.3 mi. NE of Deadman Pass, 8.8 mi. E. of Furnace Cr Rd, approx 10 mi. SW of Death Valley Junction.; West of Eagle Mountain 7.5'",2611ft.,36.155,-116.4177333,NAD83,,,203736,Eriophyllum ambiguum var. paleaceum,Asteraceae,Eriophyllum,,ambiguum,paleaceum,Subspecies,(Brandeg.) Ferris,2010,47
1426387617,urn:catalog:CAS:BOT-BC:298482,,NO,http://grscicoll.org/institution/california-academy-sciences,http://grscicoll.org/institutional-collection/botany,,CASC,PreservedSpecimen,,urn:catalog:CAS:BOT-BC:298482,298482,1387,"Peirson, F. W.",,,,,,,,,,urn:catalog:CAS:DS:379736 | DS 379736,,1920-02-16,1920-02-16,1920,02,16,,47,,1920,2,16,"Feb. 16, 1920",Desert,,United States,,California,Riverside County,,"Below Murray Canyon, Palm Springs region",900 ft,33.7503,-116.5478,,,,,Eriophyllum ambiguum var. paleaceum  (Brandegee) Ferris,Asteraceae,Eriophyllum,,ambiguum,paleaceum,,(Brandegee) Ferris,1920,47
3053413635,39465,https://cch2.org/portal/collections/individual/index.php?occid=39465,YES,,3818e0aa-b6a4-11e8-b408-001a64db2964,,SBBG,PreservedSpecimen,,0d71ea26-88ad-4eea-9c23-402bc0cac380,SBBG222158,1515,"L. Gross w/ B. Tutt, S. Vanderplank",,,Flowers Present,,,,,,"Larrea tridentata, Ambrosia dumosa, Encelia farinosa, Hymenoclea salsola, Eriophyllum ambiguum v. paleaceum, Plantago ovata, Phacelia crenulata v. ambigua, P. calthifolia",118872,,2005-02-23,2005-02-23,2005,02,23,,54,,2005,2,23,2005-2-23,"semi-wash next to a steep, SW-facing, loose talus slope",,United States,,California,San Bernardino,,"NW side of the Avawatz Mtns, off road that leads to Cave Spring and Avawatz Pass, just N of Fort Irwin indefinite boundary, SE of Denning Springwash draining in a NW direction then cuts N through the narrow steep mts",1982 [ft],35.585,-116.4626,NAD27,200,,203736,Eriophyllum ambiguum var. paleaceum,Asteraceae,Eriophyllum,,ambiguum,paleaceum,Subspecies,(Brandeg.) Ferris,2000,54
2430131047,1102206,https://cch2.org/portal/collections/individual/index.php?occid=1102206,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,b94c17ff-b9a2-403e-a666-556c4b904f18,,1515,"LeRoy Gross; Bryan Tutt, Sula Vanderplank",,,flowers,,Native,,,,,RSA accession #: 707335,,2005-02-23,2005-02-23,2005,02,23,,54,,2005,2,23,,,,United States,,California,San Bernardino,,"Northwest side of the Avawatz Mountains, off road that leads to Cave Spring and Avawatz Pass. Just north of Fort Irwin indefinite boundary. Southeast of Denning Spring; Avawatz Pass",1982ft.,35.585,-116.4626111,,,,203736,Eriophyllum ambiguum var. paleaceum,Asteraceae,Eriophyllum,,ambiguum,paleaceum,Subspecies,(Brandeg.) Ferris,2000,54
2430390093,803628,https://cch2.org/portal/collections/individual/index.php?occid=803628,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,4ec08381-2377-4404-9803-ff2b4f439ef6,RSA0073887,1143,"Erika M. Gardner; Rachel Poutasse, Noravit Chumchim",,,flowers,,Native,,,,"Salazaria mexicana, Erodium cicutarium, Yucca brevifolia, Ambrosia salsola, Mentzelia sp",RSA accession #: 837590,,2015-02-28,2015-02-28,2015,02,28,,59,,2015,2,28,,"On rock outcrop, sandy decomposed granitic soil.",,United States,,California,Kern,,"Sage Canyon, northeast side of Tit Mountain and near Boulder Spring.",4139ft.,35.57795,-118.03088,,,,203736,Eriophyllum ambiguum var. paleaceum,Asteraceae,Eriophyllum,,ambiguum,paleaceum,Subspecies,(Brandeg.) Ferris,2010,59
