gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
1990597018,19897019,https://www.inaturalist.org/observations/19897019,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19897019,19897019,,Erica Fraley,,,,,wild,,,,,,,2019-01-26T15:16:45-07:00,2019-01-26,2019,01,26,22:16:45Z,,,,,,Sat Jan 26 2019 15:16:45 GMT-0700 (MST),,,,US,Arizona,,,,,33.48767167,-111.6071467,,10,,77050,Eriophyllum lanosum,Asteraceae,Eriophyllum,,,,species,,2010,26
1990625249,19973185,https://www.inaturalist.org/observations/19973185,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19973185,19973185,,frankiecoburn,,,,,wild,,,,,,,2019-01-29T16:27:29-07:00,2019-01-29,2019,01,29,23:27:29Z,,,,,,2019-01-29 4:27:29 PM MST,,,,US,Arizona,,,,,33.10022453,-112.32924,,3,,77050,Eriophyllum lanosum,Asteraceae,Eriophyllum,,,,species,,2010,29
1990617005,19950853,https://www.inaturalist.org/observations/19950853,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19950853,19950853,,Vikki Jackson,,,,,wild,,,,,,,2019-01-29T10:39:32-07:00,2019-01-29,2019,01,29,17:39:32Z,,,,,,2019-01-29 10:39:32 AM MST,,,,US,Arizona,,,,,32.35203934,-112.8865662,,,,77050,Eriophyllum lanosum,Asteraceae,Eriophyllum,,,,species,,2010,29
1846492021,2044179,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2044179,YES,,edb9860c-c481-4d19-88cc-224a536ebcd4,,DES,PreservedSpecimen,,65c7db62-b054-44fb-bd53-1fbfb29a6f92,DES00008098,597,"L. McGill; Roy C. Bown, E. Lehto",,,,,,,,,,,,1973-01-29,1973-01-29,1973,01,29,,29,,1973,1,29,,"Sonoran desert; west-facing slope, basaltic rock.",,USA,,Arizona,Maricopa County,,"Sierra Estrella Mountains, two miles south of Sierra Estrella Park picnic area.",,33.33625,-112.360758,,,,2757,Antheropeas lanosum,Asteraceae,Antheropeas,,lanosum,,Species,(A. Gray) Rydb.,1970,29
3091299595,3082633,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3082633,NO,,17a53c97-835b-409e-8a9a-c9a7307a4965,,ASC,PreservedSpecimen,,1bd55b08-cc59-4af8-94e7-88b1fbd9d595,ASC00100215,3275,G. Goodwin,,,,,,,,,,,,2012-01-31,2012-01-31,2012,01,31,,31,,2012,1,31,,"Mojave Desert scrub, gravel drainage channel ",,United States,,California,San Bernardino,,Chemehuevi Wash about 4 miles SW of Havasu Lake,900ft,34.465983,-114.482,,,34° 27.959' N 114° 28.920' W,2757,Antheropeas lanosum,Asteraceae,Antheropeas,,lanosum,,Species,(A. Gray) Rydb.,2010,31
1993725119,20019262,https://www.inaturalist.org/observations/20019262,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20019262,20019262,,Billy Aguirre,,,,,wild,,,,,,,2019-02-01T13:11:46-07:00,2019-02-01,2019,02,01,20:11:46Z,,,,,,Fri Feb 01 2019 13:11:46 GMT-0700 (MST),,,,US,Arizona,,,,,32.94010283,-112.1858922,,103,,77050,Eriophyllum lanosum,Asteraceae,Eriophyllum,,,,species,,2010,32
3125106804,1925961,https://cch2.org/portal/collections/individual/index.php?occid=1925961,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,ADA11120-6C55-458D-B458-DA0A45F30162,,s.n.,Carl Epling; William Robison,,,FL,,,,,,,SD87919,,1935-02-05,1935-02-05,1935,02,05,,36,,1935,2,5,"Feb 05, 1935",,,Mexico,,Baja California,Unknown,,El Arco Mine,unknownft.,28.03009,-113.40302,WGS84,,,203751,Eriophyllum lanosum,Asteraceae,Eriophyllum,,lanosum,,Species,(A. Gray) A. Gray,1930,36
1930429233,bc27d7fc-d178-4d56-9452-849fb809f615,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1351180,,http://biocol.org/urn:lsid:biocol.org:col:15556,http://biocol.org/urn:lsid:biocol.org:col:15556,,NY,PreservedSpecimen,,bc27d7fc-d178-4d56-9452-849fb809f615,367464,s.n.,C. C. Epling,,,,,,,,,,,,1935-02-05,1935-02-05,1935,02,05,,36,36,1935,2,5,5 Feb 1935,,,Mexico,,Baja California,,,"El Arco Mine near Calmalli, Lower California",,28.028058,-113.399169,,,,,Eriophyllum lanosum (A.Gray) A.Gray,Asteraceae,Eriophyllum,,lanosum,,Species,,1930,36
2013017157,21016085,https://www.inaturalist.org/observations/21016085,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/21016085,21016085,,Eric Hough,,,,,wild,,,,,,,2019-02-06T11:46:00-07:00,2019-02-06,2019,02,06,18:46:00Z,,,,,,2019/02/06 11:46 AM MST,,,,US,Arizona,,,,,33.52142934,-113.7672898,,125,,77050,Eriophyllum lanosum,Asteraceae,Eriophyllum,,,,species,,2010,37
2013017153,21016192,https://www.inaturalist.org/observations/21016192,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/21016192,21016192,,Eric Hough,,,,,wild,,,,,,,2019-02-06T11:47:00-07:00,2019-02-06,2019,02,06,18:47:00Z,,,,,,2019/02/06 11:47 AM MST,,,,US,Arizona,,,,,33.52142934,-113.7672898,,125,,77050,Eriophyllum lanosum,Asteraceae,Eriophyllum,,,,species,,2010,37
