gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2270651235,737103,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=737103,NO,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,09841314-b20b-4a2c-96a7-2855cf4b6efe,,10146,"D. J. Pinkava; Nash, McGill, Hensel, Lehto",,,,,,,,,"Yucca brevifolia, Y baccata, Opuntia",49144,,1973-02-18,1973-02-18,1973,02,18,,49,,1973,2,18,,"Hillsides, roadsides",,USA,,Arizona,Yavapai County,,Rte 93; 12.8 mi southeast of Santa Maria River crossing; Joshua Forest Parkway,,34.3033,-113.12,,200,,3683,Eriophyllum pringlei,Asteraceae,Eriophyllum,,pringlei,,Species,A. Gray,1970,49
1929808570,90810e56-7787-4e00-a5e6-995ccaf54724,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3157238,NO,http://biocol.org/urn:lsid:biocol.org:col:15556,http://biocol.org/urn:lsid:biocol.org:col:15556,,NY,PreservedSpecimen,,90810e56-7787-4e00-a5e6-995ccaf54724,2832941,10146,T. H. Nash,,,,,,,,,,,,1973-02-18,1973-02-18,1973,02,18,,49,49,1973,2,18,18 Feb 1973,,,United States of America,,Arizona,Yavapai Co.,,"Rte 93, 12.8 mi SE of Santa Maria River crossing, Joshua Forest Parkway",,34.317877,-113.333508,WGS84,8116,,,Eriophyllum pringlei A.Gray,Asteraceae,Eriophyllum,,pringlei,,Species,A.Gray,1970,49
2270583972,650581,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=650581,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,73859542-fb22-49ce-a9ab-5dd3262eff5d,,621,Lyle A. McGill,,,flowers & fruit,,,,,,"Cercidium, Saguaro, Ambrosia, Larrea",49360,,1973-02-25,1973-02-25,1973,02,25,,56,,1973,2,25,,Desert flats,,USA,,Arizona,Maricopa,,N of Scottsdale on Scottsdale Rd; ca 0.5 mi south of Jct with Lone Mountain Rd,,33.5022,-111.603,,,,3683,Eriophyllum pringlei,Asteraceae,Eriophyllum,,pringlei,,Species,A. Gray,1970,56
2430521323,916940,https://cch2.org/portal/collections/individual/index.php?occid=916940,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,60f686d5-8331-40b0-8eae-fd01e9667bfe,RSA0073886,1154b,"Erika M. Gardner; Rachel Poutasse, Noravit Chumchim",,,flowers,,Native,,,,,RSA accession #: 837591,,2015-02-28,2015-02-28,2015,02,28,,59,,2015,2,28,,Dry.,,United States,,California,Kern,,Boulder Springs.; Horse Canyon 7.5' Quad.,,35.57522,-118.03072,,,,203754,Eriophyllum pringlei,Asteraceae,Eriophyllum,,pringlei,,Species,A. Gray,2010,59
2270581404,649784,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=649784,NO,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,bbaf772d-2b7e-4cfe-8adf-c2ef7e027cc0,,L-19698,"Elinor Lehto; Pinkava, Keil",,,,,,,,,,83923,,1976-02-28,1976-02-28,1976,02,28,,59,,1976,2,28,,Upper Sonoran desert,,USA,,Arizona,Maricopa,,Scottsdale Rd and Jomax Rd,,33.5092,-111.898,,,,3683,Eriophyllum pringlei,Asteraceae,Eriophyllum,,pringlei,,Species,A. Gray,1970,59
1846498898,2051178,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2051178,YES,,edb9860c-c481-4d19-88cc-224a536ebcd4,,DES,PreservedSpecimen,,ad28627b-3a56-4838-84cf-7dc8b24158b2,DES00008035,821,J. H. Lehr,,,flower & fruit,,,,,,,,,1973-02-28,1973-02-28,1973,02,28,,59,,1973,2,28,,Southern Desert Scrub,,USA,,Arizona,Pinal County,,"Rest stop, Rt. 80-89, 10.3 mi. north of Brady Wash.",1700ft.,32.821483,-111.203542,,,32d 49m 17.34s N; 111d 12m 12.75s W,3683,Eriophyllum pringlei,Asteraceae,Eriophyllum,,pringlei,,Species,A. Gray,1970,59
2270583082,650577,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=650577,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,075a61fe-7b09-4354-ab74-064deb0c8788,,246,Meredith A. Lane,,,flowers,,,,,,,86823,,1974-03-03,1974-03-03,1974,03,03,,62,,1974,3,3,,Upper Sonoran desertscrub,,USA,,Arizona,Maricopa,,McDowell Mountains Regional Park (Ft. McDowell Quad 15 minute series),,33.6909,-111.743,,,TRS: T04N R06E,3683,Eriophyllum pringlei,Asteraceae,Eriophyllum,,pringlei,,Species,A. Gray,1970,62
2270581715,649777,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=649777,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,2a113632-6cea-4495-a2f6-a5c9e8aa60e6,,17567,"Elinor Lehto; Pinkava, Brown, McGill",,,flowers & fruit,,,,,,Larrea,49796,,1973-03-03,1973-03-03,1973,03,03,,62,,1973,3,3,,"Flat area, desert",,USA,,Arizona,Maricopa,,"Scottsdale Rd, ca 0.5mi north Bell Rd",,33.5092,-111.898,,,,3683,Eriophyllum pringlei,Asteraceae,Eriophyllum,,pringlei,,Species,A. Gray,1970,62
1847634206,6102692,https://www.inaturalist.org/observations/6102692,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/6102692,6102692,,Christian Schwarz,,,,,wild,,,,,,,2016-03-03T13:41:00-08:00,2016-03-03,2016,03,03,21:41:00Z,,,,,,2016/03/03 1:41 PM PST,,,,US,Nevada,,,,,36.89170964,-116.9261204,EPSG:4326,7336,,57974,Eriophyllum pringlei,Asteraceae,Eriophyllum,,,,species,,2010,63
2270582274,650580,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=650580,NO,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,133c9651-9d8a-44fa-b3ac-d4f314e7cddf,,793,Meredith A. Lane,,,,,,,,,,80812,,1975-03-09,1975-03-09,1975,03,09,,68,,1975,3,9,,"Upper Sonoran desertscrub, open bajada along wash",,USA,,Arizona,Maricopa,,McDowell Mountains Regional Park (Ft. McDowell Quad 15 minute series),,33.691,-111.726,,,TRS: T04N R06E S15,3683,Eriophyllum pringlei,Asteraceae,Eriophyllum,,pringlei,,Species,A. Gray,1970,68
