gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2422447212,1616260,https://cch2.org/portal/collections/individual/index.php?occid=1616260,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-198974,UCR0064136,9479,Jim André; T. La Doux,,,Flowering,,,,,,,UCR-198974,,2008-01-03,2008-01-03,2008,01,03,,3,,2008,1,3,2008-1-3,"Assoc. with Oenothera deltoides, Abronia villosa, Croton californicus.",,United States,,California,San Bernardino,,"Kelso Dunes, Mojave National Preserve, south side of Kelso Dunes, at Carr Canyon wash crossing",,34.86953,-115.77364,,,,18101,Eschscholzia glyptosperma,Papaveraceae,Eschscholzia,,glyptosperma,,Species,Greene,2000,3
2430034026,1004006,https://cch2.org/portal/collections/individual/index.php?occid=1004006,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,8a48e53c-884b-4e6c-84e5-c0bcd6f4e5f8,,9426,Jim André; Tasha La Doux,,,flowers,,Native,,,,,RSA accession #: 736357,,2008-01-10,2008-01-10,2008,01,10,,10,,2008,1,10,,"Associates: Peucephyllum schotti, Physalis crassifolia, Cryptantha maritima.",,United States,,California,San Bernardino,,Devil's Playground: S. end of Old Dad Mountainm growing on rocky limestone S-facing slopes,2147ft.,35.07925,-115.85975,,,,18101,Eschscholzia glyptosperma,Papaveraceae,Eschscholzia,,glyptosperma,,Species,Greene,2000,10
1990572319,19832999,https://www.inaturalist.org/observations/19832999,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19832999,19832999,,cliffrose,,,,,wild,,,,,,,2019-01-13,2019-01-13,2019,01,13,,,,,,,2019/01/13 3:39 PM UTC,,,,US,Arizona,,,,,34.43305734,-114.2643153,,663,,77083,Eschscholzia glyptosperma,Papaveraceae,Eschscholzia,,,,species,,2010,13
2005285500,20202743,https://www.inaturalist.org/observations/20202743,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20202743,20202743,,Rob Klotz,,,flowering,,wild,,,,,,,2019-02-07T15:05:00-07:00,2019-02-07,2019,02,07,22:05:00Z,,,,,,2019/02/07 3:05 PM MST,,,,US,Arizona,,,,,34.60462971,-114.4053645,,2,,77083,Eschscholzia glyptosperma,Papaveraceae,Eschscholzia,,,,species,,2010,38
3053442223,91470,https://cch2.org/portal/collections/individual/index.php?occid=91470,YES,,3818e0aa-b6a4-11e8-b408-001a64db2964,,SBBG,PreservedSpecimen,,75fcdf89-ac5b-4ed4-b628-35ca650f7d1c,SBBG169418,,Ralph Hoffmann,,,Flowers Present,,,,,,,70186,,1928-02-09,1928-02-09,1928,02,09,,40,,1928,2,9,1928-2-9,rocky slope,,United States,,California,Inyo,,Death Valley National Park; lower entrance to Death Valley,,35.798,-116.532,NAD83,1500,,18101,Eschscholzia glyptosperma,Papaveraceae,Eschscholzia,,glyptosperma,,Species,Greene,1920,40
2005306416,20259053,https://www.inaturalist.org/observations/20259053,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20259053,20259053,,David Vander Pluym,,,,,wild,,,,,,,2019-02-09T13:34:38-07:00,2019-02-09,2019,02,09,20:34:38Z,,,,,,2019-02-09 1:34:38 PM MST,,,,US,Arizona,,,,,34.39543152,-114.1988525,,,,77083,Eschscholzia glyptosperma,Papaveraceae,Eschscholzia,,,,species,,2010,40
2005303801,20252789,https://www.inaturalist.org/observations/20252789,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20252789,20252789,,David Vander Pluym,,,,,wild,,,,,,,2019-02-09T14:06:43-07:00,2019-02-09,2019,02,09,21:06:43Z,,,,,,2019-02-09 2:06:43 PM MST,,,,US,Arizona,,,,,34.38933563,-114.2064514,,,,77083,Eschscholzia glyptosperma,Papaveraceae,Eschscholzia,,,,species,,2010,40
3125208909,519156,https://cch2.org/portal/collections/individual/index.php?occid=519156,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,3BF50158-152B-45C9-93B7-874FCBB0FB1C,SD00032962,10934,Jon Rebman; Jim Rocks,,,FFL,,,,,,"Sonoran Desert Scrub with Larrea tridentata, Ambrosia dumosa, Encelia farinosa, Cylindropuntia acanthocarpa var. coloradensis, Hibiscus denudatus, Opuntia basilaris, and Olneya tesota",SD161383,,2005-02-10,2005-02-10,2005,02,10,,41,,2005,2,10,"Feb 10, 2005",,,United States,,California,Imperial,,"Little Picacho Wilderness Area (BLM property): North of Winterhaven, SW of Colorado River; approx. 18 miles N of S24 on Picacho Road; just south of the Picacho State Recreation Area",,32.98639,-114.62306,WGS84,80,,18101,Eschscholzia glyptosperma,Papaveraceae,Eschscholzia,,glyptosperma,,Species,Greene,2000,41
2422493958,1670609,https://cch2.org/portal/collections/individual/index.php?occid=1670609,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-254571,UCR0064500,10934,Jon P. Rebman; Jim Rocks,,,Flowering & Fruiting,,,,,,,UCR-254571,,2005-02-10,2005-02-10,2005,02,10,,41,,2005,2,10,2005-2-10,"Sonoran Desert Scrub with Larrea tridentata, Ambrosia dumosa, Encelia farinosa, Cylindropuntia acanthocarpa var. coloradensis, Hibiscus denudatus, Opuntia basilaris, Olneya tesota.",,United States,,California,Imperial,,"Little Picacho Wilderness Area (BLM Property), north of Winterhaven, SW of Colorado River, c. 18 miles N of S24 on Picacho Rd., just south of the Picacho State Recreation Area",,32.98639,-114.62306,,,,18101,Eschscholzia glyptosperma,Papaveraceae,Eschscholzia,,glyptosperma,,Species,Greene,2000,41
2270621599,695997,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=695997,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,506709eb-4fb4-4ab2-98a1-7b29514c361d,,,Mike Walker & Rick Prigge,,,flowers,,,,,,,89329,,1977-02-12,1977-02-12,1977,02,12,,43,,1977,2,12,,Dry wash.,,USA,,Arizona,Mohave County,,"Warm Springs, seep area. Mountains N. E. of Tapoc.",2100ft,34.8967,-114.308,,,,467,Eschscholzia glyptosperma,Papaveraceae,Eschscholzia,,glyptosperma,,Species,Greene,1970,43
3125078865,519131,https://cch2.org/portal/collections/individual/index.php?occid=519131,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,9D604F50-FF07-4E5E-ABA3-0590B195AF45,SD00032951,101,Christopher Christie,,,FFL,,,,,,"Occasional, with Hymenoclea salsola.",SD140824,,1997-02-14,1997-02-14,1997,02,14,,45,,1997,2,14,"Feb 14, 1997",Granitic and dolomitic gravelly sandy wash.,,United States,,California,San Bernardino,,Piute Mountains,,34.77611,-115.13333,WGS84,,,18101,Eschscholzia glyptosperma,Papaveraceae,Eschscholzia,,glyptosperma,,Species,Greene,1990,45
2422330637,1491244,https://cch2.org/portal/collections/individual/index.php?occid=1491244,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-108793,UCR0064157,101,Christopher Christie,,,Flowering,,,,,,,UCR-108793,,1997-02-15,1997-02-15,1997,02,15,,46,,1997,2,15,1997-2-15,"Granitic and dolomitic gravelly benches in sandy wash with Hymenoclea salsola, Psorothamnus spinosua, Acacia greggii, Senna armata, Bebbia juncea, Sphaeralcea, Marina parryi, Eriogonum fasciculatum, Isomeris arborea, Stephanomeria pauciflora, Lupinus sparsiflorus, etc.",,United States,,California,San Bernardino,,Piute Mountains,,34.77611,-115.13333,,,T8N R18E sec18 SW/4 of SE/4,18101,Eschscholzia glyptosperma,Papaveraceae,Eschscholzia,,glyptosperma,,Species,Greene,1990,46
