gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
3059680666,4110751,https://cch2.org/portal/collections/individual/index.php?occid=4110751,NO,,f3fbf434-c09e-46fa-bc30-99138cd73a71,,CDA,PreservedSpecimen,,cd1315d7-86b8-4f5d-8769-e943d32c9765,CDA-0018529,1314,Frank B. McMurry,,,,,Wild: native/naturalized,,,,,,,1943-01-01,1943-01-01,1943,01,01,,1,,1943,1,1,1/1/1943,,,United States,,California,Imperial,,Imperial National Wildlife Refuge. Sonoran Desert.,,33.0288,-114.5606,WGS84,19308,,18106,Eschscholzia minutiflora,Papaveraceae,Eschscholzia,,minutiflora,,Species,S. Watson,1940,1
1986578354,19410381,https://www.inaturalist.org/observations/19410381,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19410381,19410381,,Don Rideout,,,,,wild,,,,,,,2019-01-02T16:11:00-08:00,2019-01-02,2019,01,02,00:11:00Z,,,,,,2019/01/02 4:11 PM PST,,,,US,California,,,,,33.1781305,-116.1620409,,,,57881,Eschscholzia minutiflora,Papaveraceae,Eschscholzia,,,,species,,2010,2
2422445072,1616255,https://cch2.org/portal/collections/individual/index.php?occid=1616255,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-198979,UCR0064354,9485,Jim André; T. La Doux,,,Flowering & Fruiting,,,,,,,UCR-198979,,2008-01-03,2008-01-03,2008,01,03,,3,,2008,1,3,2008-1-3,"Assoc; with Croton californicus, Astragalus lentiginosus borreganus, Dicoria canescens, Pleuraphis rigida.",,United States,,California,San Bernardino,,"Kelso Dunes, Mojave National Preserve, south side of Kelso Dunes, along transmission line dirt road, c. 4 mi east of main public parking area in Carr Canyon wash",,34.86953,-115.77364,,,11S 612089E 3859260N,18106,Eschscholzia minutiflora,Papaveraceae,Eschscholzia,,minutiflora,,Species,S. Watson,2000,3
2575162368,615451,https://cch2.org/portal/collections/individual/index.php?occid=615451,YES,,f62b4819-3195-4053-a2dc-07431438f3e6,,SFV,PreservedSpecimen,,efec3614-3838-4df5-862e-74c9da334ec1,SFV109909,s. n.,F. M. Ball,,,Flowering & Fruiting,,Wild: native/naturalized,,,,,SFV-5009,,1964-01-04,1964-01-04,1964,01,04,,4,,1964,1,4,4 Jan 1964,,,United States,,California,Riverside,,"Colorado Desert; Old excavated bench, Seven Level Hill about 11 miles south of Palm Desert on Route 74 to Hemet.",2000 ft.,33.65,-116.4,,,33° 39m N; 116° 24m W,18106,Eschscholzia minutiflora,Papaveraceae,Eschscholzia,,minutiflora,,Species,S. Watson,1960,4
2234733344,19444995,https://www.inaturalist.org/observations/19444995,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19444995,19444995,,Peri Lee,,,flowering,,wild,,,,,,,2019-01-04T09:12:31-08:00,2019-01-04,2019,01,04,17:12:31Z,,,,,,2019-01-04 9:12:31 AM PST,,,,US,California,,,,,33.62126541,-115.9088058,,,,57881,Eschscholzia minutiflora,Papaveraceae,Eschscholzia,,,,species,,2010,4
2270554967,3001216,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3001216,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,20643e23-0935-4b41-b240-1fbd9c459749,ASU0044054,1871,T. F. Daniel,,,,,,,,,"Yucca, Idria, Agave, Pachycereus, Lophocereus, Opuntia, Larrea, Pedilanthus",124744,,1982-01-06,1982-01-06,1982,01,06,,6,,1982,1,6,,Desert flats.,,Mexico,,Baja California,,,"2.2 mi E of MEX Hwy 1, on dirt road from El Crucero which is 13.2 mi N jct MEX 1 to Bahia de Los Angeles.",,29.222124,-114.146196,,40000,,468,Eschscholzia minutiflora,Papaveraceae,Eschscholzia,,minutiflora,,Species,S. Watson,1980,6
1986602081,19477310,https://www.inaturalist.org/observations/19477310,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19477310,19477310,,birgitknorr,,,,,wild,,,,,,,2019-01-06T10:49:19-08:00,2019-01-06,2019,01,06,18:49:19Z,,,,,,Sun Jan 06 2019 10:49:19 GMT-0800 (PST),,,,US,California,,,,,32.92087421,-116.2460945,,5,,57881,Eschscholzia minutiflora,Papaveraceae,Eschscholzia,,,,species,,2010,6
2430535908,946157,https://cch2.org/portal/collections/individual/index.php?occid=946157,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,6ef764df-c4d3-4c27-b1b4-6d0cd70e15f0,,206,Chas Gabriel,,,flowers & fruits,,Native; Native/naturalizing,,,,,RSA accession #: 445671,,1926-01-07,1926-01-07,1926,01,07,,7,,1926,1,7,,,,United States,,California,Riverside,,"Rincon [R. Village, Andreas Canyon]",,33.7617,-116.5526,WGS84,1000,,18106,Eschscholzia minutiflora,Papaveraceae,Eschscholzia,,minutiflora,,Species,S. Watson,1920,7
1806337589,9541509,https://www.inaturalist.org/observations/9541509,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/9541509,9541509,,Fred Melgert / Carla Hoegen,,,flowering,,wild,,,,,,,2018-01-07T11:30:00+14:00,2018-01-07,2018,01,07,21:30:00Z,,,,,,2018/01/07 11:30 AM SST,,,,US,California,,,,,33.36564667,-116.4161533,,,,57881,Eschscholzia minutiflora,Papaveraceae,Eschscholzia,,,,species,,2010,7
2430117715,1088962,https://cch2.org/portal/collections/individual/index.php?occid=1088962,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,b2ebb41f-bdc1-4623-bcdc-319b9ed6825a,,898,Sarah J. De Groot; Janelle De Groot,,,flowers,,Native; Native/naturalizing,,,,,RSA accession #: 704750,,2003-01-08,2003-01-08,2003,01,08,,8,,2003,1,8,,,,United States,,California,San Bernardino,,"BLMWHIPPLE MOUNTAINS: Whipple Wash, upstream from powerline road.",900ft.,34.3327222,-114.2935278,,,,18106,Eschscholzia minutiflora,Papaveraceae,Eschscholzia,,minutiflora,,Species,S. Watson,2000,8
