gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
3059685765,4105510,https://cch2.org/portal/collections/individual/index.php?occid=4105510,NO,,f3fbf434-c09e-46fa-bc30-99138cd73a71,,CDA,PreservedSpecimen,,c9ab53b3-0ea4-4706-9255-bd15562b3a0b,CDA-0021353,1347,Frank B. McMurry,,,,,Wild: native/naturalized,,,,,,,1943-01-01,1943-01-01,1943,01,01,,1,,1943,1,1,1/1/1943,,,United States,,California,Imperial,,Imperial National Wildlife Refuge. Sonoran Desert.,,33.0288,-114.5606,WGS84,19308,,203828,Eucrypta micrantha,Hydrophyllaceae,Eucrypta,,micrantha,,Species,(Torr.) A. A. Heller,1940,1
1986558868,19364738,https://www.inaturalist.org/observations/19364738,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19364738,19364738,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-01T09:31:00-08:00,2019-01-01,2019,01,01,17:31:00Z,,,,,,2019/01/01 9:31 AM PST,,,,US,California,,,,,32.89361111,-116.2377778,,,,77106,Eucrypta micrantha,Boraginaceae,Eucrypta,,,,species,,2010,1
1990486194,19606018,https://www.inaturalist.org/observations/19606018,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19606018,19606018,,Don Rideout,,,,,wild,,,,,,,2019-01-11T12:21:00-08:00,2019-01-11,2019,01,11,20:21:00Z,,,,,,2019/01/11 12:21 PM PST,,,,US,California,,,,,32.91027842,-116.2502313,,,,77106,Eucrypta micrantha,Boraginaceae,Eucrypta,,,,species,,2010,11
1990482697,19596665,https://www.inaturalist.org/observations/19596665,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19596665,19596665,,Kate Harper,,,,,wild,,,,,,,2019-01-11T12:26:48-08:00,2019-01-11,2019,01,11,20:26:48Z,,,,,,Fri Jan 11 2019 12:26:48 GMT-0800 (PST),,,,US,California,,,,,32.91037365,-116.2501751,,10,,77106,Eucrypta micrantha,Boraginaceae,Eucrypta,,,,species,,2010,11
1990479552,19587165,https://www.inaturalist.org/observations/19587165,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19587165,19587165,,birgitknorr,,,flowering,,wild,,,,,,,2019-01-11T12:19:06-08:00,2019-01-11,2019,01,11,20:19:06Z,,,,,,Fri Jan 11 2019 12:19:06 GMT-0800 (PST),,,,US,California,,,,,32.9084526,-116.2499859,,5,,77106,Eucrypta micrantha,Boraginaceae,Eucrypta,,,,species,,2010,11
1990478941,19585272,https://www.inaturalist.org/observations/19585272,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19585272,19585272,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-11T12:21:38-08:00,2019-01-11,2019,01,11,20:21:38Z,,,,,,Fri Jan 11 2019 12:21:38 GMT-0800 (PST),,,,US,California,,,,,32.91035833,-116.2501533,,5,,77106,Eucrypta micrantha,Boraginaceae,Eucrypta,,,,species,,2010,11
2270670529,753884,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=753884,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,b9bf0efa-732d-4fc4-a34f-a4eac6755adb,,1569-B,Dixie Z. Damrel; Dr. D. W. Damrel,,,,,,,,,"Parkinsonia microphylla, Carnegiea, Larrea, Olneya tesota",236836,,2001-01-14,2001-01-14,2001,01,14,,14,,2001,1,14,,"coarse sandy deptression--still moist, in desert scrub area",,USA,,Arizona,Pinal County,,SW of Rock Peak; San Tan Mnts.,1600ft,33.1207,-111.644,,700,TRS: T3S R7E S33,2115,Eucrypta micrantha,Hydrophyllaceae,Eucrypta,,micrantha,,Species,(Torr.) Heller,2000,14
2270590893,659850,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=659850,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,03a27f9e-8b69-4cc0-954f-bbe2538c5d95,,1569-B,Dixie Z. Damrel; Dr. D. W. Damrel,,,,,,,,,"Cercidium microphyllum, Carnegiea gigantea, Larrea tridentata, Olneya tesota",236836,,2001-01-14,2001-01-14,2001,01,14,,14,,2001,1,14,,Desert scrub.,,USA,,Arizona,Pinal County,,"In coarse sandy depression-- still moist, southwest of Rock Peak, Santan Mountains.",1600ft,33.1252,-111.642,,,TRS: T03S R07E S33,2115,Eucrypta micrantha,Hydrophyllaceae,Eucrypta,,micrantha,,Species,(Torr.) Heller,2000,14
1846493122,2045280,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2045280,YES,,edb9860c-c481-4d19-88cc-224a536ebcd4,,DES,PreservedSpecimen,,67b69141-e313-42ca-9840-f6bd179f0e38,DES00047478,1569B,Dixie Z. Damrel; Dr. D.W. Damrel,,,,,,,,,"Cercidium microphyllum, Carnegiea gigantea, Larrea tridentata, Olneya tesota",,,2001-01-14,2001-01-14,2001,01,14,,14,,2001,1,14,,"Coarse sandy depression, still moist, in desert scrub.",,USA,,Arizona,Pinal County,,"San Tan Mountains Regional Park, SW of Rock Peak, San Tan Mountains",1600ft.,33.1207,-111.644,,,TRS: T03S R07E S33,2115,Eucrypta micrantha,Hydrophyllaceae,Eucrypta,,micrantha,,Species,(Torr.) Heller,2000,14
2563438580,19895865,https://www.inaturalist.org/observations/19895865,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19895865,19895865,,Steve Jones,,,,,wild,,,,,,,2019-01-25T11:44:00-07:00,2019-01-25,2019,01,25,18:44:00Z,,,,,,2019/01/25 11:44 AM MST,,,,US,Arizona,,,,,33.68126,-111.7899217,,,,77106,Eucrypta micrantha,Boraginaceae,Eucrypta,,,,species,,2010,25
1990628767,19983397,https://www.inaturalist.org/observations/19983397,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19983397,19983397,,Steve Jones,,,,,wild,,,,,,,2019-01-28T13:29:00-07:00,2019-01-28,2019,01,28,20:29:00Z,,,,,,2019/01/28 1:29 PM MST,,,,US,Arizona,,,,,33.76589167,-111.876015,,,,77106,Eucrypta micrantha,Boraginaceae,Eucrypta,,,,species,,2010,28
