gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
1986633793,5146361,https://www.inaturalist.org/observations/5146361,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/5146361,5146361,,Michele Roman,,,,,wild,,,,,,,2017-02-12,2017-02-12,2017,02,12,,,,,,,2017-02-12,,,,US,California,,,,,34.947209,-116.761096,,,,59668,Gilia cana,Polemoniaceae,Gilia,,,,species,,2010,43
2430483725,763446,https://cch2.org/portal/collections/individual/index.php?occid=763446,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,3ba28825-5767-409e-9bb0-fbef9353531b,RSA0085226,28792,Jim André,,,flowers,,Native,,,,"Larrea tridentata, Ericameria paniculata, Ephedra californica, Hilaria rigida, Hesperocallis undulata, Cryptantha stevioides",RSA accession #: 842321,,2014-02-21,2014-02-21,2014,02,21,,52,,2014,2,21,,"Large wash crossing among sandy creosotebush scrub, undulating alluvial hills.",,United States,,California,San Bernardino,,"BLMAbout 26 mi NE of Barstow, 1.6 mi. NNE of Interstate 15 at Field Rd exit.; Alvord Mountain East 7.5'",1931ft.,35.0232,-116.52295,NAD83,,,95582,Gilia cana subsp. speciformis,Polemoniaceae,Gilia,,cana,speciformis,Subspecies,A.D. Grant & V.E. Grant,2010,52
2430240597,696760,https://cch2.org/portal/collections/individual/index.php?occid=696760,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,1c1262ac-cc34-4f2d-aea4-edcf714f674e,,1497,Naomi Fraga; Aydee Virgen,,,flowers,,Native/naturalizing,,,,,RSA accession #: 726594,,2005-02-23,2005-02-23,2005,02,23,,54,,2005,2,23,,Desert pavement and rocky slopes adjacent to road.,,United States,,California,Inyo,,BLMOn Ibex Spring Road just east of border with Death Valley National Park.; Ibex Pass 7.5',1400ft.,35.7636,-116.34095,NAD83,,,95584,Gilia cana subsp. triceps,Polemoniaceae,Gilia,,cana,triceps,Subspecies,(Brand) A.D. Grant & V.E. Grant,2000,54
3053390683,140627,https://cch2.org/portal/collections/individual/index.php?occid=140627,YES,,3818e0aa-b6a4-11e8-b408-001a64db2964,,SBBG,PreservedSpecimen,,d9b1efae-e35a-4453-ab1b-ca604b1e558a,SBBG186152,892,"K. A. Wilson, C. J. George",,,Flowers Present,,,,,,Larrea divaricata,17340,,1961-03-03,1961-03-03,1961,03,03,,62,,1961,3,3,1961-3-3,sandy wash,,United States,,California,San Bernardino,,3 mi S of jct of China Lake Rd and Trona Rd,,35.607,-117.527,NAD83,1000,,95584,Gilia cana subsp. triceps,Polemoniaceae,Gilia,,cana,triceps,Subspecies,(Brand) A.D. Grant & V.E. Grant,1960,62
2575163444,615687,https://cch2.org/portal/collections/individual/index.php?occid=615687,YES,,f62b4819-3195-4053-a2dc-07431438f3e6,,SFV,PreservedSpecimen,,a5ae03a9-3c58-449e-b801-2abe1dc80935,SFV110890,892,K. A. Wilson; C. J. George,,,Flowering,,Wild: native/naturalized,,,,,SFV-2866,,1961-03-03,1961-03-03,1961,03,03,,62,,1961,3,3,3 Mar 1961,Sandy wash with Larrea divaricata.,,United States,,California,San Bernardino,,Mojave Desert; 3 miles south of junction of China Lake Road and Trona Road.,2624 ft.,35.6,-117.53,,1000,35° 36m N; 117° 31m 48s W,95584,Gilia cana subsp. triceps,Polemoniaceae,Gilia,,cana,triceps,Subspecies,(Brand) A.D. Grant & V.E. Grant,1960,62
2992692310,5247370,https://www.inaturalist.org/observations/5247370,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/5247370,5247370,,andmag25,,,,,wild,,,,,,,2017-03-06T11:34:34-08:00,2017-03-06,2017,03,06,19:34:34Z,,,,,,Mon Mar 06 2017 11:34:34 GMT-0800 (PST),,,,US,California,,,,,36.01298612,-117.3285533,,,,59668,Gilia cana,Polemoniaceae,Gilia,,,,species,,2010,65
1262370191,2756525,https://www.inaturalist.org/observations/2756525,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2756525,2756525,,Don Loarie,,,,,wild,,,,,,,2016-03-05T14:21:52-08:00,2016-03-05,2016,03,05,22:21:52Z,,,,,,2016-03-05 14:21:52,,,,US,California,,,,,36.317796,-116.688201,,6,,79904,Gilia cana triceps,Polemoniaceae,Gilia,,,,subspecies,,2010,65
2430265684,1198192,https://cch2.org/portal/collections/individual/index.php?occid=1198192,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,e72f0101-684a-49bc-bfb0-e1c92bac4252,,42594,R. F. Thorne; C. W. Tilforth,,,flowers,,,,,,,RSA accession #: 239960,,1973-03-08,1973-03-08,1973,03,08,,67,,1973,3,8,,On rocky bluff S of wash.,,United States,,California,Inyo,,Death Valley National Monument: Rhodes Wash below junction with Bradbury Wash.,1100ft.,35.909236,-116.557548,WGS84,1750,,95582,Gilia cana subsp. speciformis,Polemoniaceae,Gilia,,cana,speciformis,Subspecies,A.D. Grant & V.E. Grant,1970,67
2430221713,657186,https://cch2.org/portal/collections/individual/index.php?occid=657186,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,09418618-18dc-4ac3-bba2-82856da27217,,42584-a,"R. F. Thorne; C. W. Tilforth, et al.",,,flowers & fruits,,Native/naturalizing,,,,,RSA accession #: 239944,,1973-03-08,1973-03-08,1973,03,08,,67,,1973,3,8,,On rocky bluff S of wash.,,United States,,California,Inyo,,Death Valley National Monument: Rhodes Wash below junction with Bradbury Wash.,1100ft.,35.909236,-116.557548,WGS84,1750,,95584,Gilia cana subsp. triceps,Polemoniaceae,Gilia,,cana,triceps,Subspecies,(Brand) A.D. Grant & V.E. Grant,1970,67
2422381693,1543625,https://cch2.org/portal/collections/individual/index.php?occid=1543625,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-129894,UCR0106807,42584A,"R.F. Thorne; C.W. Tilforth, et al",,,Flowering & Fruiting,,,,,,,UCR-129894,,1973-03-08,1973-03-08,1973,03,08,,67,,1973,3,8,1973-3-8,,,United States,,California,Inyo,,"Death Valley National Monument, Rhodes Wash below junction with Bradbury Wash",,35.91944,-116.5375,,,,95584,Gilia cana subsp. triceps,Polemoniaceae,Gilia,,cana,triceps,Subspecies,(Brand) A.D. Grant & V.E. Grant,1970,67
3008489392,47289640,https://www.inaturalist.org/observations/47289640,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/47289640,47289640,,James Gonsman,,,,,wild,,,,,,,2016-03-09T17:17:00-08:00,2016-03-09,2016,03,09,01:17:00Z,,,,,,2016/03/09 5:17 PM PST,,,,US,California,,,,,36.95974443,-117.3718861,,,,59668,Gilia cana,Polemoniaceae,Gilia,,,,species,,2010,69
2573790024,16182422,https://www.inaturalist.org/observations/16182422,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/16182422,16182422,,Nido Paras,,,,,wild,,,,,,,2016-03-09,2016-03-09,2016,03,09,,,,,,,2016/03/09,,,,US,California,,,,,36.35103927,-117.5561984,,488,,59668,Gilia cana,Polemoniaceae,Gilia,,,,species,,2010,69
2430395996,889171,https://cch2.org/portal/collections/individual/index.php?occid=889171,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,55814929-f16a-47b4-ba84-2ea767f94c2e,,42624,"R. F. Thorne; C. W. Tilforth, et al.",,,flowers & fruits,,Native/naturalizing,,,,,RSA accession #: 311275,,1973-03-10,1973-03-10,1973,03,10,,69,,1973,3,10,,Rocky floriferous ridge.,,United States,,California,San Bernardino,,4.5 miles S of Ibex Pass on Inyo-San Bernardino County line.,1000ft.,35.73722,-116.31083,,1000,,95584,Gilia cana subsp. triceps,Polemoniaceae,Gilia,,cana,triceps,Subspecies,(Brand) A.D. Grant & V.E. Grant,1970,69
2430367127,778699,https://cch2.org/portal/collections/individual/index.php?occid=778699,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,42e789ef-f416-4e96-a3c3-bbfb9be01c87,RSA0085235,27470,Jim André,,,flowers,,Native,,,,"Ambrosia fumosa, Larrea tridentata, Eucnide urens, Phacelia crenulata ambigua, Atriplex hymenelytra, Mentzelia tridentata, Phacelia pachyphylla",RSA accession #: 842312,,2014-03-10,2014-03-10,2014,03,10,,69,,2014,3,10,,Among reddish sandy formations in steep canyon.,,United States,,California,San Bernardino,,"BLMCalico Mountains: SE end of range, approx 2 mi. NW of junction Mineola Rd at I-15 freeway.; Yermo 7.5'",2249ft.,34.9316833,-116.7823833,NAD83,,,95582,Gilia cana subsp. speciformis,Polemoniaceae,Gilia,,cana,speciformis,Subspecies,A.D. Grant & V.E. Grant,2010,69
2422330572,1492243,https://cch2.org/portal/collections/individual/index.php?occid=1492243,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-17857,UCR0106897,497,A.C. Sanders,,,Flowering,,,,,,,UCR-17857,,1977-03-10,1977-03-10,1977,03,10,,69,,1977,3,10,1977-3-10,Sandy flats.,,United States,,California,San Bernardino,,northwest of Barstow along the road between Rainbow Basin and Black Canyon,,35.02528,-117.09639,,,,95581,Gilia cana subsp. cana,Polemoniaceae,Gilia,,cana,cana,Subspecies,(M.E. Jones) Heller,1970,69
2982030408,1824139,https://cch2.org/portal/collections/individual/index.php?occid=1824139,YES,,eaef47cb-6ed3-4439-b974-f05e4f65165e,,HSC,PreservedSpecimen,,54e708c2-fbc0-4976-8b8c-72ef986c856b,HSC214404,3234,James D. Morefield; D.H. McCarty,,,,,,,,,,HSC-85352,,1986-03-11,1986-03-11,1986,03,11,,70,,1986,3,11,11 Mar 1986,"Coarse granitic alluvium with Larrea, Ambrosia, Psorothamnus",,United States,,California,Inyo,,"Saline Valley, near intersection of Saline Valley and Racetrack Valley Rds., Nelson Range divide",,36.62194444,-117.6477778,,,T15S R40E sec20,95584,Gilia cana subsp. triceps,PLM,Gilia,,cana,triceps,Subspecies,(Brand) A.D. Grant & V.E. Grant,1980,70
2430506299,856067,https://cch2.org/portal/collections/individual/index.php?occid=856067,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,537c3bcc-c0be-42c0-bb6d-edabce6b70c3,,9348,J. André; G. L. Clifton,,,flowers,,Native/naturalizing,,,,"Encelia farinosa, Echinocereus englemanii, Ambrosia dumosa, Krameria erecta",RSA accession #: 736217,,2008-03-10,2008-03-10,2008,03,10,,70,,2008,3,10,,,,United States,,California,San Bernardino,,Cima Cinder Cones: along Kelbaker Rd approx 0.5 mi. N. of Indian Creek crossing and lava flow,2127ft.,35.2110333,-115.87545,,,,69570,Gilia cana,Polemoniaceae,Gilia,,cana,,Species,(M.E. Jones) A. Heller,2000,70
2430239631,697185,https://cch2.org/portal/collections/individual/index.php?occid=697185,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,1c422c0e-490b-4b97-a8a2-d3709e1c21c1,,3234,James D. Morefield; Douglas H. McCarty,,,flowers & fruits,,Native/naturalizing,,,,,RSA accession #: 370259,,1986-03-11,1986-03-11,1986,03,11,,70,,1986,3,11,,"Coarse granitic alluvium sloping 4 deg. N with Larrea, Ambrosia, Psorothamnus, Eriogonum, Amphipappus. Common, erect annuals with violet corollas. (dupl. a)",,United States,,California,Inyo,,Saline Valley. Near intersection of Saline Valley and Racetrack Valley Roads. Nelson Range divide.,2150ft.,36.6197222,-117.6480556,,,T15S R40E S20,95584,Gilia cana subsp. triceps,Polemoniaceae,Gilia,,cana,triceps,Subspecies,(Brand) A.D. Grant & V.E. Grant,1980,70
2422449544,1618855,https://cch2.org/portal/collections/individual/index.php?occid=1618855,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-200483,UCR0106804,9386,Jim André; G.L. Clifton,,,Flowering,,,,,,,UCR-200483,,2008-03-10,2008-03-10,2008,03,10,,70,,2008,3,10,2008-3-10,"Rocky north-facing slopes with Gilia cana speciformis, Ambrosia dumosa, Phacelia distans.",,United States,,California,Inyo,,"Nopah Mountains, along Old Spanish Trail Hwy c. 0.8 mi west of Emigrant Pass, west of Tecopa Hot Springs",,35.88694,-116.07139,,,,95582,Gilia cana subsp. speciformis,Polemoniaceae,Gilia,,cana,speciformis,Subspecies,A.D. Grant & V.E. Grant,2000,70
