gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
3059689485,4115682,https://cch2.org/portal/collections/individual/index.php?occid=4115682,NO,,f3fbf434-c09e-46fa-bc30-99138cd73a71,,CDA,PreservedSpecimen,,bf036d2c-2493-46ab-a31c-564fc47cc6ef,CDA-0018520,1321,Frank B. McMurry; Hrusa 6-2015,,,,,Wild: native/naturalized,,,,,,,1943-01-01,1943-01-01,1943,01,01,,1,,1943,1,1,1/1/1943,,,United States,,California,Imperial,,Imperial National Wildlife Refuge. Sonoran Desert.,,33.0288,-114.5606,WGS84,19308,,69658,Gilia stellata,Polemoniaceae,Gilia,,stellata,,Species,A. Heller,1940,1
3059681960,4085363,https://cch2.org/portal/collections/individual/index.php?occid=4085363,NO,,f3fbf434-c09e-46fa-bc30-99138cd73a71,,CDA,PreservedSpecimen,,b800a46e-8833-4161-beda-c22aec15e735,CDA-0018495,1372,Frank B. McMurry,,,,,Wild: native/naturalized,,,,,,,1943-01-01,1943-01-01,1943,01,01,,1,,1943,1,1,1/1/1943,,,United States,,California,Imperial,,Imperial National Wildlife Refuge. Sonoran Desert.,,33.0288,-114.5606,WGS84,19308,,69658,Gilia stellata,Polemoniaceae,Gilia,,stellata,,Species,A. Heller,1940,1
3059681955,4085364,https://cch2.org/portal/collections/individual/index.php?occid=4085364,NO,,f3fbf434-c09e-46fa-bc30-99138cd73a71,,CDA,PreservedSpecimen,,df2f1945-5478-43cf-911d-5e8b5ccdbcb1,CDA-0018540,1302,Frank B. McMurry,,,,,Wild: native/naturalized,,,,,,,1943-01-01,1943-01-01,1943,01,01,,1,,1943,1,1,1/1/1943,,,United States,,California,Imperial,,Imperial National Wildlife Refuge. Sonoran Desert.,,33.0288,-114.5606,WGS84,19308,,69658,Gilia stellata,Polemoniaceae,Gilia,,stellata,,Species,A. Heller,1940,1
2573903707,9349571,https://www.inaturalist.org/observations/9349571,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/9349571,9349571,,William Terry Hunefeld,,,,,wild,,,,,,,2018-01-02T08:26:17-08:00,2018-01-02,2018,01,02,16:26:17Z,,,,,,Tue Jan 02 2018 08:26:17 GMT-0800 (PST),,,,US,California,,,,,33.18122107,-116.3831287,EPSG:4326,5,,59658,Gilia stellata,Polemoniaceae,Gilia,,,,species,,2010,2
1990486050,19605907,https://www.inaturalist.org/observations/19605907,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19605907,19605907,,Don Rideout,,,,,wild,,,,,,,2019-01-11T13:21:00-08:00,2019-01-11,2019,01,11,21:21:00Z,,,,,,2019/01/11 1:21 PM PST,,,,US,California,,,,,32.91191264,-116.2504864,EPSG:4326,,,59658,Gilia stellata,Polemoniaceae,Gilia,,,,species,,2010,11
1990483769,19599370,https://www.inaturalist.org/observations/19599370,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19599370,19599370,,Kate Harper,,,,,wild,,,,,,,2019-01-11T14:56:59-08:00,2019-01-11,2019,01,11,22:56:59Z,,,,,,Fri Jan 11 2019 14:56:59 GMT-0800 (PST),,,,US,California,,,,,32.91313964,-116.2532347,EPSG:4326,5,,59658,Gilia stellata,Polemoniaceae,Gilia,,,,species,,2010,11
1990482943,19597341,https://www.inaturalist.org/observations/19597341,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19597341,19597341,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-11T14:56:14-08:00,2019-01-11,2019,01,11,22:56:14Z,,,,,,Fri Jan 11 2019 14:56:14 GMT-0800 (PST),,,,US,California,,,,,32.91315577,-116.2532301,EPSG:4326,5,,59658,Gilia stellata,Polemoniaceae,Gilia,,,,species,,2010,11
1990482903,19597195,https://www.inaturalist.org/observations/19597195,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19597195,19597195,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-11T14:23:27-08:00,2019-01-11,2019,01,11,22:23:27Z,,,,,,Fri Jan 11 2019 14:23:27 GMT-0800 (PST),,,,US,California,,,,,32.91367373,-116.2542072,EPSG:4326,5,,59658,Gilia stellata,Polemoniaceae,Gilia,,,,species,,2010,11
1990482500,19596313,https://www.inaturalist.org/observations/19596313,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19596313,19596313,,Kate Harper,,,,,wild,,,,,,,2019-01-11T12:05:58-08:00,2019-01-11,2019,01,11,20:05:58Z,,,,,,Fri Jan 11 2019 12:05:58 GMT-0800 (PST),,,,US,California,,,,,32.90515102,-116.2497989,EPSG:4326,5,,59658,Gilia stellata,Polemoniaceae,Gilia,,,,species,,2010,11
1990480753,19591360,https://www.inaturalist.org/observations/19591360,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19591360,19591360,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-11T13:22:22-08:00,2019-01-11,2019,01,11,21:22:22Z,,,,,,Fri Jan 11 2019 13:22:22 GMT-0800 (PST),,,,US,California,,,,,32.91191898,-116.2504951,EPSG:4326,5,,59658,Gilia stellata,Polemoniaceae,Gilia,,,,species,,2010,11
