gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
3059689748,4115718,https://cch2.org/portal/collections/individual/index.php?occid=4115718,NO,,f3fbf434-c09e-46fa-bc30-99138cd73a71,,CDA,PreservedSpecimen,,83f9f9fa-5a95-46eb-89e9-b9098b427f33,CDA-0018518,1339,Frank B. McMurry,,,,,Wild: native/naturalized,,,,,,,1943-01-01,1943-01-01,1943,01,01,,1,,1943,1,1,1/1/1943,,,United States,,California,Imperial,,Imperial National Wildlife Refuge. Sonoran Desert.,,33.0288,-114.5606,WGS84,19308,,71230,Langloisia setosissima,Polemoniaceae,Langloisia,,setosissima,,Species,(Torr. & A. Gray ex Torr.) Greene,1940,1
2422448280,1616306,https://cch2.org/portal/collections/individual/index.php?occid=1616306,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-199076,UCR0108885,9473,Jim André; T. La Doux,,,Flowering,,,,,,,UCR-199076,,2008-01-03,2008-01-03,2008,01,03,,3,,2008,1,3,2008-1-3,"Assoc; with Croton californicus, Astragalus lentiginosus borreganus, Dicoria canescens, Pleuraphis rigida.",,United States,,California,San Bernardino,,"Kelso Dunes, Mojave National Preserve, south side of Kelso Dunes, along transmission line dirt road, c. 4 mi east of main public parking area in Carr Canyon wash",,34.86953,-115.77364,,,11S 612089E 3859260N,95742,Langloisia setosissima subsp. punctata,Polemoniaceae,Langloisia,,setosissima,punctata,Subspecies,(A. Gray ex Coville) Timbrook,2000,3
2424972418,528124,https://cch2.org/portal/collections/individual/index.php?occid=528124,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,{7858B3D0-2852-49DB-A536-76C9F28025A5},,s.n.,Arnold Ross,,,FL,,,,,,On rocky ground.,SD96591,,1977-01-06,1977-01-06,1977,01,06,,6,,1977,1,6,"Jan 06, 1977",,,United States,,California,San Bernardino,,Southern end of Marble Mountains.,,34.56894,-115.48696,WGS84,,,95742,Langloisia setosissima subsp. punctata,Polemoniaceae,Langloisia,,setosissima,punctata,Subspecies,(A. Gray ex Coville) Timbrook,1970,6
1986618868,19528160,https://www.inaturalist.org/observations/19528160,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19528160,19528160,,Kate Harper,,,,,wild,,,,,,,2019-01-07T12:58:27-08:00,2019-01-07,2019,01,07,20:58:27Z,,,,,,Mon Jan 07 2019 12:58:27 GMT-0800 (PST),,,,US,California,,,,,33.20441962,-116.1841721,,5,,79969,Langloisia setosissima setosissima,Polemoniaceae,Langloisia,,,,subspecies,,2010,7
1990538168,19742543,https://www.inaturalist.org/observations/19742543,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19742543,19742543,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-16T11:55:00-08:00,2019-01-16,2019,01,16,19:55:00Z,,,,,,2019/01/16 11:55 AM PST,,,,US,California,,,,,32.95933333,-116.2396833,,,,71232,Langloisia setosissima,Polemoniaceae,Langloisia,,,,species,,2010,16
1990538064,19742542,https://www.inaturalist.org/observations/19742542,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19742542,19742542,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-16T12:00:00-08:00,2019-01-16,2019,01,16,20:00:00Z,,,,,,2019/01/16 12:00 PM PST,,,,US,California,,,,,32.96027778,-116.2394444,,,,71232,Langloisia setosissima,Polemoniaceae,Langloisia,,,,species,,2010,16
1990593936,19888758,https://www.inaturalist.org/observations/19888758,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19888758,19888758,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-24T09:26:00-08:00,2019-01-24,2019,01,24,17:26:00Z,,,,,,2019/01/24 9:26 AM PST,,,,US,California,,,,,33.30358833,-116.0898117,,,,79969,Langloisia setosissima setosissima,Polemoniaceae,Langloisia,,,,subspecies,,2010,24
1990593899,19888759,https://www.inaturalist.org/observations/19888759,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19888759,19888759,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-24T10:54:00-08:00,2019-01-24,2019,01,24,18:54:00Z,,,,,,2019/01/24 10:54 AM PST,,,,US,California,,,,,33.29972667,-116.0644833,,,,79969,Langloisia setosissima setosissima,Polemoniaceae,Langloisia,,,,subspecies,,2010,24
2430245413,705112,https://cch2.org/portal/collections/individual/index.php?occid=705112,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,1ff4d952-949b-4cfe-87bb-382583d05409,,15803,P. A. Munz,,,flowers,,Native/naturalizing,,,,,POM accession #: 253525,,1940-01-28,1940-01-28,1940,01,28,,28,,1940,1,28,,Desert wash,,United States,,California,San Diego,,13 miles SE of Vallecitos (near Palmitos Spring).,,32.8764,-116.1754,WGS84,3218,,95743,Langloisia setosissima subsp. setosissima,Polemoniaceae,Langloisia,,setosissima,setosissima,Subspecies,(Torr. & Gray ex Torr.) Greene,1940,28
2430213487,644607,https://cch2.org/portal/collections/individual/index.php?occid=644607,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,0348ecda-5c97-4cd0-bc87-55d816908b0a,,15780,P. A. Munz,,,flowers,,Native/naturalizing,,,,,POM accession #: 258647,,1940-01-28,1940-01-28,1940,01,28,,28,,1940,1,28,,Open desert flats,,United States,,California,San Diego,,Old Carrizo Stage Station.,,32.8752778,-116.0997222,,,,95743,Langloisia setosissima subsp. setosissima,Polemoniaceae,Langloisia,,setosissima,setosissima,Subspecies,(Torr. & Gray ex Torr.) Greene,1940,28
