gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2270582359,6420414,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6420414,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,7c8c5f33-6aea-40e2-8ea2-5cba853fcb39,ASU0083996,325,Mary J. Russo,,,flowers,,,,,,,159603,,1986-01-19,1986-01-19,1986,01,19,,19,,1986,1,19,,In Sonoran Desertscrub. In patch of gravelly soil on rocky slope facing east between arroyos,,USA,,Arizona,Yuma,,"Castle Dome Mountains, Kofa National Wildlife Refuge, between arroyos above Horse Tanks & Gray Tanks.",2000ft,33.2102,-114.207,,700,TRS: T2S R19W S34,2061,Linanthus demissus,Polemoniaceae,Linanthus,,demissus,,Species,(A. Gray) Greene,1980,19
2270584975,6420318,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6420318,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,67c08884-f7e5-48a6-bd3f-b22346a734b5,ASU0083987,385,Mary J. Russo,,,flowers,,,,,,,159601,,1986-02-01,1986-02-01,1986,02,01,,32,,1986,2,1,,In Sonoran Desertscrub. In open on edge of dry wash,,USA,,Arizona,Yuma,,"Castle Dome Mountains, Kofa National Wildlife Refuge, dry wash about 1/4 mile east of Gray Tanks.",1760ft,33.2102,-114.19,,700,TRS: T2S R19W S35,2061,Linanthus demissus,Polemoniaceae,Linanthus,,demissus,,Species,(A. Gray) Greene,1980,32
2270582143,6419680,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6419680,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,b9a58b44-359c-4265-9710-c94cfd91efa0,ASU0083995,425,Mary J. Russo,,,flowers,,,,,,,159602,,1986-02-03,1986-02-03,1986,02,03,,34,,1986,2,3,,In Sonoran Desertscrub.,,USA,,Arizona,Yuma,,"Castle Dome Mountains, Kofa National Wildlife Refuge, on SE-facing slope about 1/2 mile east of Gray Tanks.",1920ft,33.2102,-114.173,,700,TRS: T2S R19W S36,2061,Linanthus demissus,Polemoniaceae,Linanthus,,demissus,,Species,(A. Gray) Greene,1980,34
2574304411,38402267,https://www.inaturalist.org/observations/38402267,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/38402267,38402267,,hankjorgensen,,,,,wild,,,,,,,2003-02-13T14:45:00-07:00,2003-02-13,2003,02,13,21:45:00Z,,,,,,2003/02/13 2:45 PM -0700,,,,US,Arizona,,,,,32.52291827,-112.6950046,EPSG:4326,61,,77765,Linanthus demissus,Polemoniaceae,Linanthus,,,,species,,2000,44
3125218382,528907,https://cch2.org/portal/collections/individual/index.php?occid=528907,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,5D4A5B8C-FA1B-4C6E-9B2E-A4A5978932F1,,144,Christopher Christie,,,FL,,,,,,"Eriogonum fasciculatum, Viguiera parishii, Ambrosia dumosa, Plantago ovata",SD140820,,1997-02-17,1997-02-17,1997,02,17,,48,,1997,2,17,"Feb 17, 1997",rocky limestone outcrop,,United States,,California,San Bernardino,,Piute Mountains,,34.77046,-115.12504,WGS84,,,71463,Linanthus demissus,Polemoniaceae,Linanthus,,demissus,,Species,(A. Gray) Greene,1990,48
2610078291,3805862,https://cch2.org/portal/collections/individual/index.php?occid=3805862,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,5a8ade0c-e047-4183-b7bc-3ac1f4805487,RSA0140957,33926,"Jim M. André; Tasha La Doux, Senna Andre, Elias Andre",,,flowers,,Native,,,,"Larrea tridentata, Ambrosia dumosa, A. salsola, Mohavea breviflora, Chylismia claviformis, Sibara deserti, Nama pusillum, Oligomeris linifolia",RSA accession #: 868938,,2016-02-17,2016-02-17,2016,02,17,,48,,2016,2,17,,Small wash at margin of well developed desert pavement. Parent rock: volcanic. Geologic formation: alluvium. Soil type: gravel.,,United States,,California,Inyo,,"BLMGreenwater Range: 0.3 mi. south of Hwy 190 at northeast base of range, just south of Funeral Mountains, 6.6 mi. west of Death Valley Junction.; East of Ryan 7.5'",2592ft.,36.3089333,-116.5359667,NAD83,,,71463,Linanthus demissus,Polemoniaceae,Linanthus,,demissus,,Species,(A. Gray) Greene,2010,48
3122395543,http://arctos.database.museum/guid/UTEP:Herb:17550?seid=5068630,http://arctos.database.museum/guid/UTEP:Herb:17550,NO,UTEP,120,,UTEP,PreservedSpecimen,,http://arctos.database.museum/guid/UTEP:Herb:17550?seid=5068630,UTEP:Herb:17550,83,Collector(s): unknown; Eric Sundell,,,,,wild caught,,,,,collector number=83,http://arctos.database.museum/guid/UTEP:Herb:17550,1973-02-18,1973-02-18,1973,02,18,1973-02-18,,49,1973,2,18,18 FEB 1973,open sun desert of valley floor,,United States,,Arizona,Maricopa County,,"Sierra Estrella Regional Park, 3 miles S of N entrance",,33.345133,-112.376093,World Geodetic System 1984,4096,33.345133/-112.376093,,Linanthus demissus,Polemoniaceae,Linanthus,,demissus,,species,,1970,49
2430264861,723029,https://cch2.org/portal/collections/individual/index.php?occid=723029,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,28852c08-1994-4bd0-a6d4-ffbf4ae57496,RSA0038640,26919,Jim André; Tasha La Doux,,,flowers,,Native,,,,"Encelia farinosa, Aristida purpurea, Dasyochloa pulchella, Bouteloua trifida, Pleurocoronis pluriseta, Cryptantha inaequata, Cheilanthes parryi",RSA accession #: 824270,,2014-02-18,2014-02-18,2014,02,18,,49,,2014,2,18,,edge of perched pavement,,United States,,California,San Bernardino,,"NPSKelso Mountains: Extreme southeast end of range on rocky limestone south-facing slopes, 2.8 miles northwest of Kelso, 0.6 mi. west of Kelbaker Rd.; Kelso 7.5'",2672ft.,35.0378,-115.6790833,NAD83,,,71463,Linanthus demissus,Polemoniaceae,Linanthus,,demissus,,Species,(A. Gray) Greene,2010,49
2270583660,6420200,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6420200,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,16eaa1e0-0bd7-4543-9315-4522a67f3de0,ASU0083977,83,E. & M. Sundell,,,flowers,,,,,,"Larrea, Cercidium, Ambrosia dumosa.",67718,,1973-02-18,1973-02-18,1973,02,18,,49,,1973,2,18,,"Open sun, valley floor. Desert.",,USA,,Arizona,Maricopa,,Sierra Estrella Regional Park; 3 mi south of north entrance.,1000ft,33.3712,-112.377,,,,2061,Linanthus demissus,Polemoniaceae,Linanthus,,demissus,,Species,(A. Gray) Greene,1970,49
2270580809,6419474,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6419474,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,ebc0e2f8-57a5-49b9-87c3-4d8cbef68e71,ASU0084007,10198,"D. J. Pinkava; Nash, McGill, Hensel",,,flowers,,,,,,"Hymenoclea, Bebbia, Larrea.",49176,,1973-02-19,1973-02-19,1973,02,19,,50,,1973,2,19,,Sandy banks and gravel flats.,,USA,,Arizona,Mohave County,,"Willow Beach Campground, Lake Mohave.",,35.8703,-114.659,,,,2061,Linanthus demissus,Polemoniaceae,Linanthus,,demissus,,Species,(A. Gray) Greene,1970,50
