gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
3053362468,76444,https://cch2.org/portal/collections/individual/index.php?occid=76444,YES,,3818e0aa-b6a4-11e8-b408-001a64db2964,,SBBG,PreservedSpecimen,,5821654d-06e2-42a9-b5af-8ce8544cf7bf,SBBG219375,,Ralph Hoffmann,,,Flowers Present,,,,,,,67091,,1928-02-12,1928-02-12,1928,02,12,,43,,1928,2,12,1928-2-12,open sandy soil,,United States,,California,Kern,,near Mojave,,35.052,-118.173,NAD27,2500,,25078,Lupinus odoratus,Fabaceae,Lupinus,,odoratus,,Species,A. Heller,1920,43
2575155777,609745,https://cch2.org/portal/collections/individual/index.php?occid=609745,YES,,f62b4819-3195-4053-a2dc-07431438f3e6,,SFV,PreservedSpecimen,,2c308a88-69ba-445d-86c8-919cabf42399,SFV106679,935,K. A. Wilson; C. J. George,,,Flowering,,Wild: native/naturalized,,,,,SFV-1900,,1961-03-04,1961-03-04,1961,03,04,,63,,1961,3,4,4 Mar 1961,,,United States,,California,San Bernardino,,"Ridgecrest Highway, 4 miles northeast of Kern County Line. 6 miles north of Ridgecrest. Sandy slope at foot of rocky outcrop.",2198 ft.,35.64,-117.55,,,35° 38m 24s N; 117° 33m W,25078,Lupinus odoratus,Fabaceae,Lupinus,,odoratus,,Species,A. Heller,1960,63
3053452072,108390,https://cch2.org/portal/collections/individual/index.php?occid=108390,YES,,3818e0aa-b6a4-11e8-b408-001a64db2964,,SBBG,PreservedSpecimen,,98676b2d-936a-4c8e-ba5d-ac8e66391895,SBBG219367,1284,Erika M. Gardner; Amanda E. Fisher,,,,,,,,,"Lycium, Eriophyllum pringlei, Layia glandulosa, Linanthus aureus, Pectocarya setosa",138780,,2015-03-12,2015-03-12,2015,03,12,,71,,2015,3,12,12 Mar 2015,Pebbly granite; quartz soil.,,United States,,California,Kern,,"Scodie Mtns, Kiavah Wilderness, BLM, ca. 1.5 mi W of Hwy 178, 0.80 mi N of Robbers Roost.",4149ft,35.60119,-117.95855,unknown,200,,25078,Lupinus odoratus,Fabaceae,Lupinus,,odoratus,,Species,A. Heller,2010,71
2430199214,1173859,https://cch2.org/portal/collections/individual/index.php?occid=1173859,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,db866544-1f2e-4bd7-9e58-a5187feede92,RSA0081060,1284,Erika M. Gardner; Amanda E Fisher,,,flowers,,Native; Native/naturalizing,,,,"Lycium, Eriophyllum pringlei, Layia glandulosa, Linanthus aureus, Pectocarya setosa",RSA accession #: 840253,,2015-03-12,2015-03-12,2015,03,12,,71,,2015,3,12,,Pebbly granite and quartz soil.,,United States,,California,Kern,,"About 1.5 miles west of Highway 178, 0.80 miles north of Robbers Roost.; Freeman Junction 7.5'",4149ft.,35.60119,-117.95855,,,,25078,Lupinus odoratus,Fabaceae,Lupinus,,odoratus,,Species,A. Heller,2010,71
1426494562,urn:catalog:CAS:BOT-BC:457353,,,http://grscicoll.org/institution/california-academy-sciences,http://grscicoll.org/institutional-collection/botany,,CASC,PreservedSpecimen,,urn:catalog:CAS:BOT-BC:457353,457353,1284,"Gardner, Erika M.; Fisher, Amanda E.",,,,,,,,,,urn:catalog:CAS:BOT:1202288 | CAS 1202288,,2015-03-12,2015-03-12,2015,03,12,,71,,2015,3,12,12 Mar 2015,"Pebby granite and quartz soil; with Lycium, Eriophyllum pringlei, Layia glandulosa, Linanthus aureus, Pectocarya setosa",,United States,,California,Kern County,,"Southern Sierra Nevada region; Scodie Mountains; Kiavah Wilderness; Bureau of Land Management, about 1.5 miles west of Highway 178, 0.80 miles north of Robbers Roost",1265 m,35.60119,-117.95855,,,,,Lupinus odoratus  A. Heller,Fabaceae,Lupinus,,odoratus,,,A. Heller,2010,71
3053394410,155266,https://cch2.org/portal/collections/individual/index.php?occid=155266,YES,,3818e0aa-b6a4-11e8-b408-001a64db2964,,SBBG,PreservedSpecimen,,f72d0e01-e472-4a99-884e-b527c5ab3312,SBBG219388,787,H. and M. Dearing,,,Flowers Present,,,,,,,3686,,1935-03-14,1935-03-14,1935,03,14,,73,,1935,3,14,1935-3-14,,,United States,,California,Kern,,Freeman Junction,,35.601,-117.902,NAD27,1000,,25078,Lupinus odoratus,Fabaceae,Lupinus,,odoratus,,Species,A. Heller,1930,73
1088935153,1358292,https://www.inaturalist.org/observations/1358292,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/1358292,1358292,,sea-kangaroo,,,,,wild,,,,,,,2015-03-16T12:51:24-07:00,2015-03-16,2015,03,16,19:51:24Z,,,,,,2015-03-16 12:51:24,,,,US,California,,,,,35.362736,-117.986641,,737,,77881,Lupinus odoratus,Fabaceae,Lupinus,,,,species,,2010,75
2984459740,64470644,https://www.inaturalist.org/observations/64470644,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/64470644,64470644,,matsonburger,,,,,wild,,,,,,,2010-03-21T16:46:00-07:00,2010-03-21,2010,03,21,23:46:00Z,,,,,,2010/03/21 4:46 PM PDT,,,,US,California,,,,,37.21282003,-118.3268415,,31,,77881,Lupinus odoratus,Fabaceae,Lupinus,,,,species,,2010,80
2412538850,253794,https://cch2.org/portal/collections/individual/index.php?occid=253794,YES,,3818e5a2-b6a4-11e8-b408-001a64db2964,,LOB,PreservedSpecimen,,27ba0897-612a-40b4-8f1c-91c88924ccb3,LOB105650,21,F. DeVito,,,flowers,,,,,,,3653,,1970-03-21,1970-03-21,1970,03,21,,80,,1970,3,21,21-Mar-70,"Wardlow Wash, open Chaparral",,United States,,California,Riverside,,"1 mile south of Rt. 91/71 junction, west of Corona, Santa Ana Mountains.",1000ft.,33.86641,-117.640939,WGS84,1588,,25078,Lupinus odoratus,Fabaceae,Lupinus,,odoratus,,Species,A. Heller,1970,80
2982046623,1768724,https://cch2.org/portal/collections/individual/index.php?occid=1768724,NO,,eaef47cb-6ed3-4439-b974-f05e4f65165e,,HSC,PreservedSpecimen,,f211cc2e-66d1-475a-aea7-a4263b555724,HSC222638,23252,C.L. Hitchcock; C.V. Muhlick,,,,,,,,,,HSC-14928,,1964-03-22,1964-03-22,1964,03,22,,82,,1964,3,22,22 Mar 1964,,,United States,,California,Riverside,,Side canyon near S entrance to Joshua Tree National Monument.,,33.6994,-115.8022,WGS84,1000,,25078,Lupinus odoratus,LEG,Lupinus,,odoratus,,Species,A. Heller,1960,82
1262190821,dda40fde-1344-4cc9-9e9d-4c2d638c79bc,,YES,F,Botany,seeds-11-may-2020,F,PreservedSpecimen,,dda40fde-1344-4cc9-9e9d-4c2d638c79bc,V0367035F,23252,C. L. Hitchcock & C. V. Muhlick,,,,,,,http://fm-digital-assets.fieldmuseum.org/1417/161/V0367035F.jpg,,,,3384722,1964-03-22,1964-03-22,1964,03,22,,,,1964,3,22,,,,U.S.A.,,California,Riverside,,side canyon near S entrance to Joshua National Monument,,33.721418,-115.801636,,,,,Lupinus odoratus A. Heller,Fabaceae,Lupinus,,odoratus,,,,1960,82
3053415170,50108,https://cch2.org/portal/collections/individual/index.php?occid=50108,YES,,3818e0aa-b6a4-11e8-b408-001a64db2964,,SBBG,PreservedSpecimen,,23313ce5-cdda-468f-af79-e3dd789c715e,SBBG219373,788,H. and M. Dearing,,,Flowers Present,,,,,,,3683,,1934-03-24,1934-03-24,1934,03,24,,83,,1934,3,24,1934-3-24,,,United States,,California,Kern,,near Rosamond,,34.862,-118.161,NAD27,2500,,25078,Lupinus odoratus,Fabaceae,Lupinus,,odoratus,,Species,A. Heller,1930,83
2413154858,2860698,https://cch2.org/portal/collections/individual/index.php?occid=2860698,YES,,3818e5a2-b6a4-11e8-b408-001a64db2964,,LOB,PreservedSpecimen,,c3672ea2-dd6f-4d6e-a85f-3ba81192a07b,LOB105654,03247306,R. A. Larson,,,,,,,,,,11522,,1973-03-24,1973-03-24,1973,03,24,,83,,1973,3,24,24 Mar. 1973,,,United States,,California,Riverside,,0.5 mile south of U.S. 60 on Cal. 195.,750ft.,33.644236,-115.852402,WGS84,5492,,25078,Lupinus odoratus,Fabaceae,Lupinus,,odoratus,,Species,A. Heller,1970,83
2413154809,2860699,https://cch2.org/portal/collections/individual/index.php?occid=2860699,YES,,3818e5a2-b6a4-11e8-b408-001a64db2964,,LOB,PreservedSpecimen,,bf62a3d3-1ad3-4a49-99bc-01b24f52bda0,LOB105655,059,D. H. Lingle,,,,,,,,,,7846,,1973-03-24,1973-03-24,1973,03,24,,83,,1973,3,24,24 March 1973,Creosote Bush Scrub; Sandy soil,,United States,,California,Riverside,,Route 195 0.5 miles southwest of Interstate 10.,1000 ft,33.655009,-115.803307,WGS84,2369,,25078,Lupinus odoratus,Fabaceae,Lupinus,,odoratus,,Species,A. Heller,1970,83
2565964680,3801883,https://cch2.org/portal/collections/individual/index.php?occid=3801883,YES,,9a7f2f77-3288-4d40-8baa-2f55b8450b7f,,CSLA,PreservedSpecimen,,54d5e611-b53a-43a6-8881-904a2bab8767,CSLA002068,,Dieter H. Wilken,,,,,,,,,,,,1964-03-24,1964-03-24,1964,03,24,,84,,1964,3,24,24 Mar 1964,in a grazed pasture assc. with grasses and Amsinckia sp.; on a flat area,,United States,,California,Los Angeles,,"The Leona Valley, 3 mi. W of Palmdale",3000 ft.,34.5858,-118.1873,WGS84,1600,,25078,Lupinus odoratus,Fabaceae,Lupinus,,odoratus,,Species,A. Heller,1960,84
3053368717,100687,https://cch2.org/portal/collections/individual/index.php?occid=100687,YES,,3818e0aa-b6a4-11e8-b408-001a64db2964,,SBBG,PreservedSpecimen,,88c708e0-b664-48eb-ae96-316a6f3f034e,SBBG219389,531,M. N. Ackley,,,Flowers Present,,,,,,,67015,,1928-03-25,1928-03-25,1928,03,25,,85,,1928,3,25,1928-3-25,,,United States,,California,Kern,,near Rosamond,2350 [ft],34.862,-118.161,NAD27,2500,,25078,Lupinus odoratus,Fabaceae,Lupinus,,odoratus,,Species,A. Heller,1920,85
2236232216,22106491,https://www.inaturalist.org/observations/22106491,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/22106491,22106491,,grnleaf,,,flowering,,wild,,,,,,,2019-03-26T16:28:24-07:00,2019-03-26,2019,03,26,23:28:24Z,,,,,,Tue Mar 26 2019 16:28:24 GMT-0700 (PDT),,,,US,California,,,,,35.36623333,-117.97297,,5,,77881,Lupinus odoratus,Fabaceae,Lupinus,,,,species,,2010,85
2430219671,656613,https://cch2.org/portal/collections/individual/index.php?occid=656613,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,08fb0053-75b6-4102-8c39-46b070bebf46,RSA0065575,124,Marion P. Harthill,,,,,,,,,,RSA accession #: 833564,,1971-03-28,1971-03-28,1971,03,28,,87,,1971,3,28,,,,United States,,California,San Bernardino,,Hesperia.,,34.426,-117.3006,WGS84,6200,34.426° -117.3006°,25078,Lupinus odoratus,Fabaceae,Lupinus,,odoratus,,Species,A. Heller,1970,87
1262190854,0265e4c1-0f0c-49b6-99cc-e105ca612c29,,YES,F,Botany,seeds-11-may-2020,F,PreservedSpecimen,,0265e4c1-0f0c-49b6-99cc-e105ca612c29,V0367038F,11159,L. R. Abrams,,,,,,,http://fm-digital-assets.fieldmuseum.org/1417/164/V0367038F.jpg,,,,3384709,1926-03-28,1926-03-28,1926,03,28,,,,1926,3,28,,,,U.S.A.,,California,Kern,,3-5 mi N of Rosamond,,34.936677,-118.163408,,,,,Lupinus odoratus A. Heller,Fabaceae,Lupinus,,odoratus,,,,1920,87
1088934653,1355632,https://www.inaturalist.org/observations/1355632,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/1355632,1355632,,Tony Iwane,,,,,wild,,,,,,,2015-03-29T08:03:40-07:00,2015-03-29,2015,03,29,15:03:40Z,,,,,,2015-03-29 08:03:40,,,,US,California,,,,,35.38367,-117.974713,,10043,,77881,Lupinus odoratus,Fabaceae,Lupinus,,,,species,,2010,88
2422502688,1682950,https://cch2.org/portal/collections/individual/index.php?occid=1682950,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-265571,,2015--24,Angelique Herman; Phil Leitner,,,Flowering & Fruiting,,,,,,,UCR-265571,,2015-03-31,2015-03-31,2015,03,31,,90,,2015,3,31,2015-3-31,Creosote bush scrub.,,United States,,California,Inyo,,"Coso Basin, China Lake Naval Weapons Center",,36.04703,-117.83533,,,,25078,Lupinus odoratus,Fabaceae,Lupinus,,odoratus,,Species,A. Heller,2010,90
