gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
1986576131,19402907,https://www.inaturalist.org/observations/19402907,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19402907,19402907,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-02T11:53:24-08:00,2019-01-02,2019,01,02,19:53:24Z,,,,,,Wed Jan 02 2019 11:53:24 GMT-0800 (PST),,,,US,California,,,,,33.19864796,-116.1813414,,5,,77890,Lupinus shockleyi,Fabaceae,Lupinus,,,,species,,2010,2
1986575001,19407695,https://www.inaturalist.org/observations/19407695,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19407695,19407695,,Don Rideout,,,,,wild,,,,,,,2019-01-02T13:08:00-08:00,2019-01-02,2019,01,02,21:08:00Z,,,,,,2019/01/02 1:08 PM PST,,,,US,California,,,,,33.19932992,-116.1820184,,,,77890,Lupinus shockleyi,Fabaceae,Lupinus,,,,species,,2010,2
1986574930,19407018,https://www.inaturalist.org/observations/19407018,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19407018,19407018,,Don Rideout,,,flowering,,wild,,,,,,,2019-01-02T12:09:00-08:00,2019-01-02,2019,01,02,20:09:00Z,,,,,,2019/01/02 12:09 PM PST,,,,US,California,,,,,33.19864142,-116.1813591,,,,77890,Lupinus shockleyi,Fabaceae,Lupinus,,,,species,,2010,2
1986574270,19402974,https://www.inaturalist.org/observations/19402974,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19402974,19402974,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-02T12:02:01-08:00,2019-01-02,2019,01,02,20:02:01Z,,,,,,Wed Jan 02 2019 12:02:01 GMT-0800 (PST),,,,US,California,,,,,33.1986144,-116.181374,,5,,77890,Lupinus shockleyi,Fabaceae,Lupinus,,,,species,,2010,2
1986573774,19403529,https://www.inaturalist.org/observations/19403529,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19403529,19403529,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-02T13:14:05-08:00,2019-01-02,2019,01,02,21:14:05Z,,,,,,Wed Jan 02 2019 13:14:05 GMT-0800 (PST),,,,US,California,,,,,33.19931529,-116.1820375,,5,,77890,Lupinus shockleyi,Fabaceae,Lupinus,,,,species,,2010,2
1986573086,19402948,https://www.inaturalist.org/observations/19402948,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19402948,19402948,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-02T12:01:23-08:00,2019-01-02,2019,01,02,20:01:23Z,,,,,,Wed Jan 02 2019 12:01:23 GMT-0800 (PST),,,,US,California,,,,,33.19858518,-116.1813715,,5,,77890,Lupinus shockleyi,Fabaceae,Lupinus,,,,species,,2010,2
1986567804,19388690,https://www.inaturalist.org/observations/19388690,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19388690,19388690,,Kate Harper,,,,,wild,,,,,,,2019-01-02T11:56:18-08:00,2019-01-02,2019,01,02,19:56:18Z,,,,,,Wed Jan 02 2019 11:56:18 GMT-0800 (PST),,,,US,California,,,,,33.19851436,-116.1812653,,10,,77890,Lupinus shockleyi,Fabaceae,Lupinus,,,,species,,2010,2
1990468274,19501614,https://www.inaturalist.org/observations/19501614,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19501614,19501614,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-06T13:57:00-08:00,2019-01-06,2019,01,06,21:57:00Z,,,,,,2019/01/06 1:57 PM PST,,,,US,California,,,,,33.19035833,-116.1611,,,,77890,Lupinus shockleyi,Fabaceae,Lupinus,,,,species,,2010,6
1990471084,19564459,https://www.inaturalist.org/observations/19564459,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19564459,19564459,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-10T12:47:00-08:00,2019-01-10,2019,01,10,20:47:00Z,,,,,,2019/01/10 12:47 PM PST,,,,US,California,,,,,33.19865667,-116.1818117,,,,77890,Lupinus shockleyi,Fabaceae,Lupinus,,,,species,,2010,10
1990471002,19564456,https://www.inaturalist.org/observations/19564456,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19564456,19564456,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-10T12:45:00-08:00,2019-01-10,2019,01,10,20:45:00Z,,,,,,2019/01/10 12:45 PM PST,,,,US,California,,,,,33.19865667,-116.1818117,,,,77890,Lupinus shockleyi,Fabaceae,Lupinus,,,,species,,2010,10
