gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
1986575641,19408958,https://www.inaturalist.org/observations/19408958,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19408958,19408958,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T09:04:00-08:00,2019-01-02,2019,01,02,17:04:00Z,,,,,,2019/01/02 9:04 AM PST,,,,US,California,,,,,33.18972222,-116.1819444,,,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,2
2445093638,34529185,https://www.inaturalist.org/observations/34529185,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/34529185,34529185,,Chloe Novak,,,flowering,,wild,,,,,,,2019-01-03T15:22:00-08:00,2019-01-03,2019,01,03,23:22:00Z,,,,,,2019/01/03 3:22 PM PST,,,,US,California,,,,,33.69095278,-115.8027028,,2602,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,3
1986582612,19428280,https://www.inaturalist.org/observations/19428280,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19428280,19428280,,Rod,,,flowering,,wild,,,,,,,2019-01-04T15:01:58-08:00,2019-01-04,2019,01,04,23:01:58Z,,,,,,2019-01-04 3:01:58 PM PST,,,,US,California,,,,,33.7937514,-116.3712487,,2400,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,4
1990478074,19583349,https://www.inaturalist.org/observations/19583349,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19583349,19583349,,Paweł Pieluszyński,,,,,wild,,,,,,,2019-01-05T13:09:08-08:00,2019-01-05,2019,01,05,21:09:08Z,,,,,,2019-01-05 1:09:08 PM PST,,,,US,Arizona,,,,,32.26660538,-111.164772,,,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,5
1986622458,19538231,https://www.inaturalist.org/observations/19538231,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19538231,19538231,,Fred Melgert / Carla Hoegen,,,flowering,,wild,,,,,,,2019-01-08T08:46:00-08:00,2019-01-08,2019,01,08,16:46:00Z,,,,,,2019/01/08 8:46 AM PST,,,,US,California,,,,,33.36561333,-116.4181433,,,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,8
1990471058,19564462,https://www.inaturalist.org/observations/19564462,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19564462,19564462,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-10T09:39:00-08:00,2019-01-10,2019,01,10,17:39:00Z,,,,,,2019/01/10 9:39 AM PST,,,,US,California,,,,,33.207105,-116.1774317,,,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,10
1990491018,19619236,https://www.inaturalist.org/observations/19619236,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19619236,19619236,,Don Rideout,,,,,wild,,,,,,,2019-01-11T15:03:00-08:00,2019-01-11,2019,01,11,23:03:00Z,,,,,,2019/01/11 3:03 PM PST,,,,US,California,,,,,32.91319492,-116.2560419,,,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,11
2430405784,911238,https://cch2.org/portal/collections/individual/index.php?occid=911238,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,5e42bfb4-3878-4336-8f47-c85faefdb844,,169,Tasha La Doux; Jim André,,,flowers,,Native,,,,,RSA accession #: 736430,,2008-01-12,2008-01-12,2008,01,12,,12,,2008,1,12,,"Growing in granitic gravel. Associates: Larrea tridentata, Ambrosia dumosa, Krameria erecta, Ephedra california, Lupinus arizonicus.",,United States,,California,San Bernardino,,"Sheephole Mountains: NW corner of Sheephole Mtns, along dirt road just NE of Amboy Rd at Sheephole Pass.",1993ft.,34.2620278,-115.7134444,,,,204850,Malacothrix glabrata,Asteraceae,Malacothrix,,glabrata,,Species,(D. C. Eat. ex Gray) A. Gray,2000,12
2422450388,1619015,https://cch2.org/portal/collections/individual/index.php?occid=1619015,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-200332,,169,Tasha La Doux; Jim André,,,Flowering,,,,,,,UCR-200332,,2008-01-12,2008-01-12,2008,01,12,,12,,2008,1,12,2008-1-12,"Granitic gravel with Larrea tridentata, Ambrosia dumosa, Krameria erecta, Ephedra california, Lupinus arizonicus.",,United States,,California,San Bernardino,,"northwest corner of Sheephole Mountains, along dirt road just northeast of Amboy Road at Sheephole Pass",,34.26203,-115.71344,,,,204850,Malacothrix glabrata,Asteraceae,Malacothrix,,glabrata,,Species,(D. C. Eat. ex Gray) A. Gray,2000,12
2397463672,19627986,https://www.inaturalist.org/observations/19627986,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19627986,19627986,,larry-heronema,,,flowering,,wild,,,,,,,2019-01-13T11:26:19-08:00,2019-01-13,2019,01,13,19:26:19Z,,,,,,Sun Jan 13 2019 11:26:19 GMT-0800 (PST),,,,US,California,,,,,33.87999955,-116.2934131,,5,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,13
1990494183,19628176,https://www.inaturalist.org/observations/19628176,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19628176,19628176,,larry-heronema,,,flowering,,wild,,,,,,,2019-01-13T11:53:23-08:00,2019-01-13,2019,01,13,19:53:23Z,,,,,,Sun Jan 13 2019 11:53:23 GMT-0800 (PST),,,,US,California,,,,,33.88133,-116.292255,,0,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,13
1990521344,19699302,https://www.inaturalist.org/observations/19699302,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19699302,19699302,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-14T08:11:00-08:00,2019-01-14,2019,01,14,16:11:00Z,,,,,,2019/01/14 8:11 AM PST,,,,US,California,,,,,33.18722222,-116.1725,,,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,14
1990508683,19665707,https://www.inaturalist.org/observations/19665707,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19665707,19665707,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-14T09:58:00-08:00,2019-01-14,2019,01,14,17:58:00Z,,,,,,2019/01/14 9:58 AM PST,,,,US,California,,,,,33.17916667,-116.165,,,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,14
3125177590,453269,https://cch2.org/portal/collections/individual/index.php?occid=453269,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,5D3CD182-8B5C-4D2D-A248-1069D42062AE,,24,Bill Sullivan,,,FL,,,,,,desert scrub,SD161291,,2005-01-16,2005-01-16,2005,01,16,,16,,2005,1,16,"Jan 16, 2005",sandy soil in and around the bed of Coyote Creek,,United States,,California,San Diego,,"Anza-Borrego Desert State Park, Approximately 100 yards west of Coyote Mtn. ridge.",,33.3417,-116.3583,WGS84,,,204850,Malacothrix glabrata,Asteraceae,Malacothrix,,glabrata,,Species,(D. C. Eat. ex Gray) A. Gray,2000,16
1993715374,19770261,https://www.inaturalist.org/observations/19770261,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19770261,19770261,,desertsolitude,,,flowering,,wild,,,,,,,2019-01-20T16:16:01-08:00,2019-01-20,2019,01,20,00:16:01Z,,,,,,Sun Jan 20 2019 16:16:01 GMT-0800 (PST),,,,US,California,,,,,34.0727695,-116.0325388,,5,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,20
1990560866,19802102,https://www.inaturalist.org/observations/19802102,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19802102,19802102,,Colin Barrows,,,flowering,,wild,,,,,,,2019-01-20T16:57:00-08:00,2019-01-20,2019,01,20,00:57:00Z,,,,,,2019/01/20 4:57 PM PST,,,,US,California,,,,,33.816555,-116.3266033,,,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,20
1990560857,19802082,https://www.inaturalist.org/observations/19802082,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19802082,19802082,,Colin Barrows,,,flowering,,wild,,,,,,,2019-01-20T16:36:00-08:00,2019-01-20,2019,01,20,00:36:00Z,,,,,,2019/01/20 4:36 PM PST,,,,US,California,,,,,33.83331667,-116.307145,,,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,20
1990560813,19802044,https://www.inaturalist.org/observations/19802044,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19802044,19802044,,Colin Barrows,,,flowering,,wild,,,,,,,2019-01-20T16:24:00-08:00,2019-01-20,2019,01,20,00:24:00Z,,,,,,2019/01/20 4:24 PM PST,,,,US,California,,,,,33.83425833,-116.3048967,,,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,20
1990560662,19801921,https://www.inaturalist.org/observations/19801921,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19801921,19801921,,Colin Barrows,,,flowering,,wild,,,,,,,2019-01-20T15:29:00-08:00,2019-01-20,2019,01,20,23:29:00Z,,,,,,2019/01/20 3:29 PM PST,,,,US,California,,,,,33.83344667,-116.30553,,,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,20
1269538841,2604484,https://www.inaturalist.org/observations/2604484,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2604484,2604484,,Stephen Hodges,,,flowering,,wild,,,,,,,2016-01-20T11:14:48-08:00,2016-01-20,2016,01,20,19:14:48Z,,,,,,2016-01-20 11:14:48,,,,US,California,,,,,33.861471,-115.622993,,378,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,20
1990593552,19888093,https://www.inaturalist.org/observations/19888093,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19888093,19888093,,Fred Melgert / Carla Hoegen,,,flowering,,wild,,,,,,,2019-01-22T12:11:00-08:00,2019-01-22,2019,01,22,20:11:00Z,,,,,,2019/01/22 12:11 PM PST,,,,US,California,,,,,33.35148667,-116.4774883,,,,58029,Malacothrix glabrata,Asteraceae,Malacothrix,,,,species,,2010,22
