gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
1986575942,19408959,https://www.inaturalist.org/observations/19408959,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19408959,19408959,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T10:57:00-08:00,2019-01-02,2019,01,02,18:57:00Z,,,,,,2019/01/02 10:57 AM PST,,,,US,California,,,,,33.16416667,-116.1694444,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,2
1986575841,19408964,https://www.inaturalist.org/observations/19408964,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19408964,19408964,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T12:19:00-08:00,2019-01-02,2019,01,02,20:19:00Z,,,,,,2019/01/02 12:19 PM PST,,,,US,California,,,,,33.17166667,-116.1555556,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,2
1986575681,19408963,https://www.inaturalist.org/observations/19408963,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19408963,19408963,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T11:23:00-08:00,2019-01-02,2019,01,02,19:23:00Z,,,,,,2019/01/02 11:23 AM PST,,,,US,California,,,,,33.16,-116.1641667,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,2
1986575596,19408962,https://www.inaturalist.org/observations/19408962,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19408962,19408962,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T11:14:00-08:00,2019-01-02,2019,01,02,19:14:00Z,,,,,,2019/01/02 11:14 AM PST,,,,US,California,,,,,33.1625,-116.1663889,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,2
1986575558,19408960,https://www.inaturalist.org/observations/19408960,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19408960,19408960,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T11:11:00-08:00,2019-01-02,2019,01,02,19:11:00Z,,,,,,2019/01/02 11:11 AM PST,,,,US,California,,,,,33.16277778,-116.1663889,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,2
1986571026,19390919,https://www.inaturalist.org/observations/19390919,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19390919,19390919,,Kate Harper,,,,,wild,,,,,,,2019-01-02T13:30:52-08:00,2019-01-02,2019,01,02,21:30:52Z,,,,,,Wed Jan 02 2019 13:30:52 GMT-0800 (PST),,,,US,California,,,,,33.1986711,-116.1801409,,5,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,2
2575158514,614183,https://cch2.org/portal/collections/individual/index.php?occid=614183,YES,,f62b4819-3195-4053-a2dc-07431438f3e6,,SFV,PreservedSpecimen,,1d7f1605-c46c-4244-9005-e791aa450dc0,SFV108992,s. n.,F. M. Ball,,,Flowering,,Wild: native/naturalized,,,,,SFV-5018,,1964-01-04,1964-01-04,1964,01,04,,4,,1964,1,4,4 Jan 1964,,,United States,,California,Riverside,,"Open hillside at White Water, 16 miles east of Banning.",1500 ft.,33.92,-116.63,,,33° 55m 12s N; 116° 37m 48s W,204915,Mentzelia involucrata var. megalantha,Loasaceae,Mentzelia,,involucrata,megalantha,Subspecies,I.M. Johnst.,1960,4
1986624946,19545404,https://www.inaturalist.org/observations/19545404,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19545404,19545404,,Diana,,,,,wild,,,,,,,2019-01-07T02:03:00-10:00,2019-01-07,2019,01,07,12:03:00Z,,,,,,2019/01/07 2:03 AM HST,,,,US,California,,,,,33.8427955,-116.3380725,,61,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,7
1986616560,19519462,https://www.inaturalist.org/observations/19519462,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19519462,19519462,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-07T09:02:00-08:00,2019-01-07,2019,01,07,17:02:00Z,,,,,,2019/01/07 9:02 AM PST,,,,US,California,,,,,33.27916667,-116.1161111,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,7
1986616308,19520425,https://www.inaturalist.org/observations/19520425,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19520425,19520425,,Peri Lee,,,,,wild,,,,,,,2019-01-07T16:28:12-08:00,2019-01-07,2019,01,07,00:28:12Z,,,,,,2019-01-07 4:28:12 PM PST,,,,MX,Baja California,,,,,30.36033031,-114.6424134,,175,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,7
1986623796,19541228,https://www.inaturalist.org/observations/19541228,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19541228,19541228,,Peri Lee,,,,,wild,,,,,,,2019-01-09T15:01:51-08:00,2019-01-09,2019,01,09,23:01:51Z,,,,,,2019-01-09 3:01:51 PM PST,,,,MX,Baja California,,,,,31.05393028,-114.8728561,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,9
1986623010,19541947,https://www.inaturalist.org/observations/19541947,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19541947,19541947,,birgitknorr,,,,,wild,,,,,,,2019-01-09T13:28:02-08:00,2019-01-09,2019,01,09,21:28:02Z,,,,,,Wed Jan 09 2019 13:28:02 GMT-0800 (PST),,,,US,California,,,,,32.91048392,-116.2502133,,10,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,9
2430149031,1120377,https://cch2.org/portal/collections/individual/index.php?occid=1120377,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,c209d33a-6f78-4de4-93b7-7c9611f595ec,RSA0081276,30234,Jim M. André,,,flowers,,Native,,,,"Larrea tridentata, Ericameria paniculata, Ambrosia dumosa, Encelia farinosa, Perityle emoryi, Bebbia juncea",RSA accession #: 840627,,2014-01-10,2014-01-10,2014,01,10,,10,,2014,1,10,,Geologic formation: alluvium; Parent rock: mixed; Soil type: gravel.,,United States,,California,San Bernardino,,"BLMDead Mountains; extreme south end of range at Piute Wash, just north of Interstate 40, just east of US Hwy 95.; Bannock 7.5'",1055ft.,34.88135,-114.7526333,NAD83,,,204914,Mentzelia involucrata,Loasaceae,Mentzelia,,involucrata,,Species,S. Wats.,2010,10
1990507376,19661954,https://www.inaturalist.org/observations/19661954,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19661954,19661954,,Nathaniel Young,,,,,wild,,,,,,,2019-01-10T11:47:39-08:00,2019-01-10,2019,01,10,19:47:39Z,,,,,,2019-01-10 11:47:39 AM PST,,,,US,California,,,,,33.84280777,-116.3318634,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,10
1990476762,19579578,https://www.inaturalist.org/observations/19579578,YES,,,,iNaturalist,HumanObservation,Coordinate uncertainty increased to 29146m at the request of the observer,https://www.inaturalist.org/observations/19579578,19579578,,ethan,,,,,wild,,,,,,,2019-01-10T11:19:15-07:00,2019-01-10,2019,01,10,18:19:15Z,,,,,,Thu Jan 10 2019 11:19:15 GMT-0700 (MST),,,,US,Arizona,,,,,32.12651148,-112.9052873,,29146,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,10
1990484048,19600161,https://www.inaturalist.org/observations/19600161,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19600161,19600161,,Don Rideout,,,,,wild,,,,,,,2019-01-11T15:43:00-08:00,2019-01-11,2019,01,11,23:43:00Z,,,,,,2019/01/11 3:43 PM PST,,,,US,California,,,,,32.91177789,-116.2598627,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,11
1990481515,19593449,https://www.inaturalist.org/observations/19593449,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19593449,19593449,,Don Rideout,,,,,wild,,,,,,,2019-01-11T11:34:00-08:00,2019-01-11,2019,01,11,19:34:00Z,,,,,,2019/01/11 11:34 AM PST,,,,US,California,,,,,32.90766958,-116.2490864,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,11
1990479482,19587028,https://www.inaturalist.org/observations/19587028,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19587028,19587028,,birgitknorr,,,,,wild,,,,,,,2019-01-11T11:35:26-08:00,2019-01-11,2019,01,11,19:35:26Z,,,,,,Fri Jan 11 2019 11:35:26 GMT-0800 (PST),,,,US,California,,,,,32.90764346,-116.2490829,,5,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,11
2270527170,20236729,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20236729,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,0e820270-99c8-4a97-87ae-0edc2c87646b,ASU0112513,73-27,G.C. Kobetich; M. Russell,,,,,,,,,,61372,,1973-01-13,1973-01-13,1973,01,13,,13,,1973,1,13,,"Arroyo beds and hillsides, right hand side of highway (headed downriver)",,USA,,California,San Bernardino,,"2.7 miles below Parker Dam,",,34.262806,-114.138675,WGS84,1200,,2513,Mentzelia involucrata,Loasaceae,Mentzelia,,involucrata,,Species,S. Watson,1970,13
1990502200,19648717,https://www.inaturalist.org/observations/19648717,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19648717,19648717,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-13T13:36:00-08:00,2019-01-13,2019,01,13,21:36:00Z,,,,,,2019/01/13 1:36 PM PST,,,,US,California,,,,,33.345,-116.0433333,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,13
1990495561,19631500,https://www.inaturalist.org/observations/19631500,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19631500,19631500,,Andrea Nelson,,,,,wild,,,,,,,2019-01-13T16:11:12-07:00,2019-01-13,2019,01,13,23:11:12Z,,,,,,Sun Jan 13 2019 16:11:12 GMT-0700 (MST),,,,US,Arizona,,,,,33.54330833,-112.0244138,,10,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,13
1990494415,19628963,https://www.inaturalist.org/observations/19628963,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19628963,19628963,,larry-heronema,,,,,wild,,,,,,,2019-01-13T12:41:53-08:00,2019-01-13,2019,01,13,20:41:53Z,,,,,,Sun Jan 13 2019 12:41:53 GMT-0800 (PST),,,,US,California,,,,,33.883225,-116.2920333,,0,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,13
1990494411,19629096,https://www.inaturalist.org/observations/19629096,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19629096,19629096,,larry-heronema,,,,,wild,,,,,,,2019-01-13T12:39:36-08:00,2019-01-13,2019,01,13,20:39:36Z,,,,,,Sun Jan 13 2019 12:39:36 GMT-0800 (PST),,,,US,California,,,,,33.883405,-116.2918367,,0,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,13
1990490478,19617668,https://www.inaturalist.org/observations/19617668,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19617668,19617668,,bobgriffis,,,,,wild,,,,,,,2019-01-13T09:29:12-08:00,2019-01-13,2019,01,13,17:29:12Z,,,,,,2019-01-13 9:29:12 AM PST,,,,US,California,,,,,33.82738232,-116.3265444,,3,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,13
1990521403,19699732,https://www.inaturalist.org/observations/19699732,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19699732,19699732,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-14T09:52:00-08:00,2019-01-14,2019,01,14,17:52:00Z,,,,,,2019/01/14 9:52 AM PST,,,,US,California,,,,,33.17972222,-116.1636111,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,14
1990521395,19699731,https://www.inaturalist.org/observations/19699731,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19699731,19699731,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-14T08:46:00-08:00,2019-01-14,2019,01,14,16:46:00Z,,,,,,2019/01/14 8:46 AM PST,,,,US,California,,,,,33.18638889,-116.1713889,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,14
1990513317,19677282,https://www.inaturalist.org/observations/19677282,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19677282,19677282,,Derek Anderson,,,,,wild,,,,,,,2019-01-14T11:08:00-06:00,2019-01-14,2019,01,14,17:08:00Z,,,,,,2019/01/14 11:08 AM CST,,,,US,Arizona,,,,,33.53625689,-112.013375,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,14
2422318384,1477644,https://cch2.org/portal/collections/individual/index.php?occid=1477644,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-103553,UCR0099750,2538,George K. Helmkamp; E.A. Helmkamp,,,Flowering,,,,,,,UCR-103553,,1998-01-17,1998-01-17,1998,01,17,,17,,1998,1,17,1998-1-17,Silty area with creosote bush (Larrea tridentata) and smoke tree (Psorothamnus spinosus).,,United States,,California,Riverside,,"Mecca Hills, Box Canyon Road ENE of Mecca and on the north side of the Coachella Canal",,33.57283,-115.996,,,,204915,Mentzelia involucrata var. megalantha,Loasaceae,Mentzelia,,involucrata,megalantha,Subspecies,I.M. Johnst.,1990,17
2422316339,1477643,https://cch2.org/portal/collections/individual/index.php?occid=1477643,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-103552,UCR0099751,2535,George K. Helmkamp; E.A. Helmkamp,,,Flowering,,,,,,,UCR-103552,,1998-01-17,1998-01-17,1998,01,17,,17,,1998,1,17,1998-1-17,"Broad sandy wash with Chilopsis and much Abronia villosa, Psathyrote ramosissima, Mentzelia involucrata var megalantha, Aristida adscensionis, etc.",,United States,,California,Riverside,,"Box Canyon, northeast of Mecca and 3.5 miles south of Shavers Well",,33.58333,-115.93833,,,,204915,Mentzelia involucrata var. megalantha,Loasaceae,Mentzelia,,involucrata,megalantha,Subspecies,I.M. Johnst.,1990,17
1990524740,19708949,https://www.inaturalist.org/observations/19708949,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19708949,19708949,,Erica Fraley,,,,,wild,,,,,,,2019-01-17T10:45:49-07:00,2019-01-17,2019,01,17,17:45:49Z,,,,,,Thu Jan 17 2019 10:45:49 GMT-0700 (MST),,,,US,Arizona,,,,,33.751745,-112.0841917,,5,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,17
1990546701,19764711,https://www.inaturalist.org/observations/19764711,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19764711,19764711,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-18T12:28:00-08:00,2019-01-18,2019,01,18,20:28:00Z,,,,,,2019/01/18 12:28 PM PST,,,,US,California,,,,,33.31055556,-116.1927778,,,,77999,Mentzelia involucrata,Loasaceae,Mentzelia,,,,species,,2010,18
2422460533,1634058,https://cch2.org/portal/collections/individual/index.php?occid=1634058,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-216275,UCR0037182,10932,Jim André; T. La Doux,,,Flowering,,,,,,,UCR-216275,,2008-01-19,2008-01-19,2008,01,19,,19,,2008,1,19,2008-1-19,"Wash, with Baccharis sergiloides, Psorothamnus arborescens minutifoius, Salazaria mexicana, Bebbia juncea. Evidence of livestock grazing.",,United States,,California,San Bernardino,,"Bristol Mountains, along gas pipeline road, 6.7 mi west of Kelbaker Road, c. 1.5 mi south of Hwy I-40",,34.66844,-115.77967,,,,204914,Mentzelia involucrata,Loasaceae,Mentzelia,,involucrata,,Species,S. Wats.,2000,19
