gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2430038187,1008229,https://cch2.org/portal/collections/individual/index.php?occid=1008229,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,8c568926-b55e-4668-8027-2730d3339e14,RSA0158070,9465,Jim André; Tasha La Doux,,,flowers,,,,,,"Croton californicus, Astragalus lentiginosus borreganus, Dicoria canescens, Pleuraphis rigida",RSA accession #: 735774,,2008-01-03,2008-01-03,2008,01,03,,3,,2008,1,3,,,,United States,,California,San Bernardino,,"Kelso Dunes: Mojave National Preserve. S. side of Kelso Dunes, along transmission line dirt road, approx 3 mi. E. of main public parking area, just E. of Bull Cyn wash.",2344ft.,34.87511111,-115.7480556,WGS84,1000,614418E 3859908N,72397,Mohavea breviflora,Plantaginaceae,Mohavea,,breviflora,,Species,Coville,2000,3
2422445932,1619385,https://cch2.org/portal/collections/individual/index.php?occid=1619385,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-200525,,9418,Jim André; T. La Doux,,,Flowering,,,,,,,UCR-200525,,2008-01-10,2008-01-10,2008,01,10,,10,,2008,1,10,2008-1-10,"Large granitic sandy wash at base of rocky limestone south-facing slopes with Chrysothamnus paniculatus, Ambrosia eriocentra, Bebbia juncea.",,United States,,California,San Bernardino,,"Devils Playground, south end of Old Dad Mountain",,35.07925,-115.85975,,,,72397,Mohavea breviflora,Scrophulariaceae,Mohavea,,breviflora,,Species,Coville,2000,10
2430420555,940040,https://cch2.org/portal/collections/individual/index.php?occid=940040,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,6c0eda48-262c-43ce-97d0-c12bc35b0ace,,10946,Jim André; Tasha La Doux,,,flowers,,,,,,,RSA accession #: 770927,,2008-01-19,2008-01-19,2008,01,19,,19,,2008,1,19,,"Large gravelly wash. Associates: Acacia greggii, Psorothamnus spinosus, Camissonia brevipes, Encelia farinosa",,United States,,California,San Bernardino,,"Bristol Mts.: Along gas pipeline 8.5 miles west of Kelbaker Road, approx. 2 miles south of I-40; East of Siberia 7.5'",2434ft.,34.6669444,-115.7986389,,,,72397,Mohavea breviflora,Plantaginaceae,Mohavea,,breviflora,,Species,Coville,2000,19
2430185019,1156915,https://cch2.org/portal/collections/individual/index.php?occid=1156915,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,d365419c-5ec6-46aa-8349-b018477e1f5e,,363,Tasha La Doux; Jim André,,,flowers,,,,,,,RSA accession #: 770921,,2008-01-19,2008-01-19,2008,01,19,,19,,2008,1,19,,"In wash. Associates: Baccharis sergiloides, Psorothamnus arborescens minutifolius, Salazaria mexicana, Bebbia juncea. Evidence of livestock grazing.",,United States,,California,San Bernardino,,Bristol Mts.: along gas pipeline road 6.7 miles west of Kelbaker Road approx. 1.5 miles south of I-40.; Brown Buttes 7.5',2638ft.,34.6684444,-115.7796667,,,,72397,Mohavea breviflora,Plantaginaceae,Mohavea,,breviflora,,Species,Coville,2000,19
1831181371,9844441,https://www.inaturalist.org/observations/9844441,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/9844441,9844441,,Colin Barrows,,,,,wild,,,,,,,2018-02-04T16:12:00-08:00,2018-02-04,2018,02,04,00:12:00Z,,,,,,2018/02/04 4:12 PM PST,,,,US,California,,,,,36.61568667,-117.3324417,EPSG:4326,,,50163,Mohavea breviflora,Plantaginaceae,Mohavea,,,,species,,2010,35
1831181315,9844309,https://www.inaturalist.org/observations/9844309,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/9844309,9844309,,Colin Barrows,,,,,wild,,,,,,,2018-02-04T10:42:00-08:00,2018-02-04,2018,02,04,18:42:00Z,,,,,,2018/02/04 10:42 AM PST,,,,US,California,,,,,36.61523333,-117.33202,EPSG:4326,,,50163,Mohavea breviflora,Plantaginaceae,Mohavea,,,,species,,2010,35
1249291940,2667015,https://www.inaturalist.org/observations/2667015,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2667015,2667015,,Michele Roman,,,,,wild,,,,,,,2016-02-05,2016-02-05,2016,02,05,,,,,,,2016-02-05,,,,US,California,,,,,36.462122,-116.865286,EPSG:4326,26,,50163,Mohavea breviflora,Plantaginaceae,Mohavea,,,,species,,2010,36
1249291036,2663856,https://www.inaturalist.org/observations/2663856,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2663856,2663856,,Belinda Lo,,,,,wild,,,,,,,2016-02-07,2016-02-07,2016,02,07,,,,,,,2016-02-07,,,,US,California,,,,,36.24234,-116.77018,EPSG:4326,,,50163,Mohavea breviflora,Plantaginaceae,Mohavea,,,,species,,2010,38
3125074096,523799,https://cch2.org/portal/collections/individual/index.php?occid=523799,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,03BD1CB6-0A4A-4560-B130-8AE9560F4E97,,L-20821b,Elinor Lehto,,,FFL,,,,,,,SD101134,,1977-02-08,1977-02-08,1977,02,08,,39,,1977,2,8,"Feb 08, 1977",mesa above large wash,,United States,,California,Inyo,,"Death Valley National Monument, Dante's View Road. 2 mi S. CA 190. Mesa above large wash",,36.3403,-116.6917,WGS84,400,,72397,Mohavea breviflora,Plantaginaceae,Mohavea,,breviflora,,Species,Coville,1970,39
2422450306,1622687,https://cch2.org/portal/collections/individual/index.php?occid=1622687,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-203321,,9749,Jim André,,,Flowering & Fruiting,,,,,,,UCR-203321,,2008-02-09,2008-02-09,2008,02,09,,40,,2008,2,9,2008-2-9,"Old mine site in volcanic cinder, near Encelia farinosa, Geraea canescens, Eremalche rotundifolia, Phacelia calhifolia, Atriplex hymenelytra.",,United States,,California,San Bernardino,,"Bristol Mountains, north side of railroad tracks at Bish Mountain, the reddish brown cinder cone c. 9.5 mi west of town of Amboy, just 1/2 mile north of Route 66 (National Trails Highway)",,34.60644,-115.94308,,,11S 596908E 3829908N,72397,Mohavea breviflora,Scrophulariaceae,Mohavea,,breviflora,,Species,Coville,2000,40
3091241042,1035713,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1035713,YES,,17a53c97-835b-409e-8a9a-c9a7307a4965,,ASC,PreservedSpecimen,,1a05f70f-6bd3-4e73-ae75-69e45dae896d,ASC00012623,6081,C.F. Deaver,,,flowers & fruit,,,,,,,,,1962-02-10,1962-02-10,1962,02,10,,41,,1962,2,10,,,,United States,,Arizona,Mohave,,"Lake Mead at Temple Bar, Boulder City.",2500ft.,36.03667,-114.32167,WGS84,10,,3203,Mohavea breviflora,Scrophulariaceae,Mohavea,,breviflora,,Species,Coville,1960,41
2898480554,60922522,https://www.inaturalist.org/observations/60922522,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/60922522,60922522,,S. Sampson,,,,,wild,,,,,,,2014-02-11,2014-02-11,2014,02,11,,,,,,,2014/02/11,,,,US,California,,,,,36.4057548,-116.7646971,EPSG:4326,600,,50163,Mohavea breviflora,Plantaginaceae,Mohavea,,,,species,,2010,42
2610079352,3808709,https://cch2.org/portal/collections/individual/index.php?occid=3808709,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,e7a96e67-d0e2-491b-9c43-b49e47b13e21,RSA0146709,33994,"Jim M. André; Tasha La Doux, Senna Andre, Elias Andre",,,flowers,,Native,,,,"Larrea tridentata, Salvia funerea, Ambrosia dumosa, Pleurocoronis pluriseta, Phacelia crenulata, Encelia actoni",RSA accession #: 871468,,2016-02-16,2016-02-16,2016,02,16,,47,,2016,2,16,,"Mixed substrates, gravely to rocky volcanic and limestone slopes. Parent rock: mixed. Geologic formation: alluvium. Soil type: gravel.",,United States,,California,Inyo,,"Ibex Hills: eastern slopes at ""Giant Mine"" site, 3.3 mi. west of Hwy 127, about 8 mi. west of Tecopa, BLM land about 2 mi. north of San Bernardino County line.; Ibex Spring 7.5'",2898ft.,35.8229667,-116.3819667,NAD83,,,72397,Mohavea breviflora,Plantaginaceae,Mohavea,,breviflora,,Species,Coville,2010,47
