gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
3059691043,4086344,https://cch2.org/portal/collections/individual/index.php?occid=4086344,NO,,f3fbf434-c09e-46fa-bc30-99138cd73a71,,CDA,PreservedSpecimen,,fa64736a-0424-473b-8a72-79524b2734a9,CDA-0000251,1319,Frank B. McMurry,,,,,Wild: native/naturalized,,,,,,,1943-01-01,1943-01-01,1943,01,01,,1,,1943,1,1,1/1/1943,,,United States,,California,Imperial,,Imperial National Wildlife Refuge. Sonoran Desert.,,33.081983,-114.694124,WGS84,22583,,72398,Mohavea confertiflora,Plantaginaceae,Mohavea,,confertiflora,,Species,(Benth.) A. Heller,1940,1
2270279115,320848,https://cch2.org/portal/collections/individual/index.php?occid=320848,NO,,f7e112f9-92c5-455c-a6c4-709b0f8d7f73,,UCSB,PreservedSpecimen,,d62f4c1b-5dfa-45b0-b7c3-8f4bbac0a37a,UCSB010275,,"Long, Frances",,,,,,,,,,9624,,1940-01-01,1940-01-01,1940,01,01,,1,,1940,1,1,,,,United States,,California,Riverside,,Canyon near Salton Sea,,33.57115,-116.08841,WGS84,13304,,72398,Mohavea confertiflora,Plantaginaceae,Mohavea,,confertiflora,,Species,(Benth.) A. Heller,1940,1
1986558536,19364875,https://www.inaturalist.org/observations/19364875,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19364875,19364875,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-01T10:29:00-08:00,2019-01-01,2019,01,01,18:29:00Z,,,,,,2019/01/01 10:29 AM PST,,,,US,California,,,,,32.8875,-116.2469444,,,,50155,Mohavea confertiflora,Plantaginaceae,Mohavea,,,,species,,2010,1
1453355824,4953350,https://www.inaturalist.org/observations/4953350,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/4953350,4953350,,Colin Barrows,,,,,wild,,,,,,,2017-01-01T09:43:00-08:00,2017-01-01,2017,01,01,17:43:00Z,,,,,,2017/01/01 9:43 AM PST,,,,US,California,,,,,33.495095,-116.1946583,,,,50155,Mohavea confertiflora,Plantaginaceae,Mohavea,,,,species,,2010,1
1986588517,19443221,https://www.inaturalist.org/observations/19443221,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19443221,19443221,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-04T10:24:00-08:00,2019-01-04,2019,01,04,18:24:00Z,,,,,,2019/01/04 10:24 AM PST,,,,US,California,,,,,33.00438333,-116.2432617,,,,50155,Mohavea confertiflora,Plantaginaceae,Mohavea,,,,species,,2010,4
1986587215,19435405,https://www.inaturalist.org/observations/19435405,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19435405,19435405,,Peri Lee,,,,,wild,,,,,,,2019-01-04T08:56:53-08:00,2019-01-04,2019,01,04,16:56:53Z,,,,,,2019-01-04 8:56:53 AM PST,,,,US,California,,,,,33.62083817,-115.9086533,,,,50155,Mohavea confertiflora,Plantaginaceae,Mohavea,,,,species,,2010,4
1986582851,19428826,https://www.inaturalist.org/observations/19428826,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19428826,19428826,,bobgriffis,,,,,wild,,,,,,,2019-01-04T16:02:40-08:00,2019-01-04,2019,01,04,00:02:40Z,,,,,,2019-01-04 4:02:40 PM PST,,,,US,California,,,,,33.69110385,-116.4230743,,3,,50155,Mohavea confertiflora,Plantaginaceae,Mohavea,,,,species,,2010,4
2236836733,22242824,https://www.inaturalist.org/observations/22242824,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/22242824,22242824,,c-h,,,,,wild,,,,,,,2019-01-06T09:54:19Z,2019-01-06,2019,01,06,09:54:19Z,,,,,,2019-01-06 9:54:19 AM PST,,,,US,California,,,,,33.79888916,-116.2925034,,,,50155,Mohavea confertiflora,Plantaginaceae,Mohavea,,,,species,,2010,6
1986616921,19520571,https://www.inaturalist.org/observations/19520571,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19520571,19520571,,Peri Lee,,,,,wild,,,,,,,2019-01-07T14:38:42-08:00,2019-01-07,2019,01,07,22:38:42Z,,,,,,2019-01-07 2:38:42 PM PST,,,,MX,Baja California,,,,,30.55814743,-114.6858368,,,,50155,Mohavea confertiflora,Plantaginaceae,Mohavea,,,,species,,2010,7
1990483790,19599372,https://www.inaturalist.org/observations/19599372,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19599372,19599372,,Kate Harper,,,,,wild,,,,,,,2019-01-11T14:58:54-08:00,2019-01-11,2019,01,11,22:58:54Z,,,,,,Fri Jan 11 2019 14:58:54 GMT-0800 (PST),,,,US,California,,,,,32.91310703,-116.2531924,,5,,50155,Mohavea confertiflora,Plantaginaceae,Mohavea,,,,species,,2010,11
