gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
3059701331,4092300,https://cch2.org/portal/collections/individual/index.php?occid=4092300,NO,,f3fbf434-c09e-46fa-bc30-99138cd73a71,,CDA,PreservedSpecimen,,7f7965fb-9b4b-44dc-822c-c7cfc1066f5a,CDA-0018535,1311,Frank B. McMurry,,,,,Wild: native/naturalized,,,,,,,1943-01-01,1943-01-01,1943,01,01,,1,,1943,1,1,1/1/1943,,,United States,,California,Imperial,,Imperial National Wildlife Refuge. Sonoran Desert.,,33.0288,-114.5606,WGS84,19308,,205007,Monoptilon bellioides,Asteraceae,Monoptilon,,bellioides,,Species,(A. Gray) H. M. Hall,1940,1
2575154385,608395,https://cch2.org/portal/collections/individual/index.php?occid=608395,YES,,f62b4819-3195-4053-a2dc-07431438f3e6,,SFV,PreservedSpecimen,,387fca0a-432e-472e-b276-64cc8346f4df,SFV102816,s. n.,F. M. Ball,,,Flowering,,Wild: native/naturalized,,,,,SFV-5019,,1964-01-04,1964-01-04,1964,01,04,,4,,1964,1,4,4 Jan 1964,,,United States,,California,Riverside,,"Colorado Desert; Old excavated bench, Seven Level Hill about 11 miles south of Palm Desert on Route 74 to Hemet.",2000 ft.,33.65,-116.4,,,33° 39m N; 116° 24m W,205007,Monoptilon bellioides,Asteraceae,Monoptilon,,bellioides,,Species,(A. Gray) H. M. Hall,1960,4
2424896752,453823,https://cch2.org/portal/collections/individual/index.php?occid=453823,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,{8A38F5FD-13EC-4ECF-9B28-B47A24BEFB28},,s.n.,Arnold Ross,,,FL,,,,,,,SD96583,,1977-01-06,1977-01-06,1977,01,06,,6,,1977,1,6,"Jan 06, 1977",On rocky slope.,,United States,,California,San Bernardino,,Southern end of Marble Mountains,,34.56894,-115.48696,WGS84,,,205007,Monoptilon bellioides,Asteraceae,Monoptilon,,bellioides,,Species,(A. Gray) H. M. Hall,1970,6
1986609130,19501615,https://www.inaturalist.org/observations/19501615,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19501615,19501615,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-06T13:20:00-08:00,2019-01-06,2019,01,06,21:20:00Z,,,,,,2019/01/06 1:20 PM PST,,,,US,California,,,,,33.19857,-116.1525333,,,,78118,Monoptilon bellioides,Asteraceae,Monoptilon,,,,species,,2010,6
2270520286,1957264,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1957264,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,2ab48d16-637e-4e4d-90dc-f5e016f2c45e,,098,Suzi Holden,,,,,,,,,"Sphaeralcea sp., Carnegiea gigantea, Cercidium floridum, Allionia incarnate Cryptantha sp.",278211,,2003-01-09,2003-01-09,2003,01,09,,9,,,,,,,,USA,,Arizona,,,"Gila River near Painted Rock (25 mi W of Gila Bend, AZ) in a side drainage",580ft,33.023136,-113.048939,,10000,,2312,Monoptilon bellioides,Asteraceae,Monoptilon,,bellioides,,Species,(A. Gray) Hall,2000,9
2430504611,803884,https://cch2.org/portal/collections/individual/index.php?occid=803884,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,4ee1592c-e0fa-4d85-85af-fdc6d74f1e14,,196,"Tasha La Doux; Jim André, G. L. Clifton",,,flowers,,Native,,,,,RSA accession #: 735824,,2008-01-10,2008-01-10,2008,01,10,,10,,2008,1,10,,"Growing on stony banks of wash. Associates: Acacia greggii, Ericameria laricifolia, Pleuroconis pluriseta, Phacelia vallis-mortae.",,United States,,California,San Bernardino,,"Kelso Peak: upper Jackass Cyn, E. side of Old Dad Mtn, W side of Mojave National Preserve.",2574ft.,35.09075,-115.8295833,,,,205007,Monoptilon bellioides,Asteraceae,Monoptilon,,bellioides,,Species,(A. Gray) H. M. Hall,2000,10
1990477669,19582250,https://www.inaturalist.org/observations/19582250,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19582250,19582250,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-10T11:33:00-08:00,2019-01-10,2019,01,10,19:33:00Z,,,,,,2019/01/10 11:33 AM PST,,,,US,California,,,,,33.19888889,-116.1697222,,,,78118,Monoptilon bellioides,Asteraceae,Monoptilon,,,,species,,2010,10
1990470974,19564463,https://www.inaturalist.org/observations/19564463,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19564463,19564463,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-10T10:58:00-08:00,2019-01-10,2019,01,10,18:58:00Z,,,,,,2019/01/10 10:58 AM PST,,,,US,California,,,,,33.21213,-116.16675,,,,78118,Monoptilon bellioides,Asteraceae,Monoptilon,,,,species,,2010,10
1993743670,20071013,https://www.inaturalist.org/observations/20071013,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20071013,20071013,,Carol Blaney,,,,,wild,,,,,,,2019-01-11T10:57:00-08:00,2019-01-11,2019,01,11,18:57:00Z,,,,,,2019/01/11 10:57 AM PST,,,,US,California,,,,,33.97073667,-114.528405,,,,78118,Monoptilon bellioides,Asteraceae,Monoptilon,,,,species,,2010,11
1990483669,19598995,https://www.inaturalist.org/observations/19598995,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19598995,19598995,,Kate Harper,,,,,wild,,,,,,,2019-01-11T14:27:17-08:00,2019-01-11,2019,01,11,22:27:17Z,,,,,,Fri Jan 11 2019 14:27:17 GMT-0800 (PST),,,,US,California,,,,,32.91397066,-116.2540104,,5,,78118,Monoptilon bellioides,Asteraceae,Monoptilon,,,,species,,2010,11
