gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
3059681973,4085345,https://cch2.org/portal/collections/individual/index.php?occid=4085345,NO,,f3fbf434-c09e-46fa-bc30-99138cd73a71,,CDA,PreservedSpecimen,,a4be42f0-86d0-4a01-9c87-b4ff32e53b0c,CDA-0018533,1313,Frank B. McMurry,,,,,Wild: native/naturalized,,,,,,,1943-01-01,1943-01-01,1943,01,01,,1,,1943,1,1,1/1/1943,,,United States,,California,Imperial,,Imperial National Wildlife Refuge. Sonoran Desert.,,33.0288,-114.5606,WGS84,19308,,205050,Nama demissum var. demissum,Hydrophyllaceae,Nama,,demissum,demissum,Morph,A. Gray,1940,1
2422988111,32424240,https://www.inaturalist.org/observations/32424240,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/32424240,32424240,,floracionescoahuila,,,,,wild,,,,,,,2018-01-03T07:58:00+14:00,2018-01-03,2018,01,03,17:58:00Z,,,,,,2018/01/03 7:58 AM SST,,,,MX,Coahuila,,,,,27.4335668,-103.5340275,,1925,,487050,Nama demissa,Boraginaceae,Nama,,,,species,,2010,3
2422300380,1462084,https://cch2.org/portal/collections/individual/index.php?occid=1462084,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-42082,UCR0084986,1315,J.C. Fisher Jr.,,,Flowering & Fruiting,,,,,,,UCR-42082,,1973-01-04,1973-01-04,1973,01,04,,4,,1973,1,4,1973-1-4,,,United States,,California,Inyo,,"Death Valley National Monument [Park], entrance to Mud Canyon [Daylight Pass Road, Kit Fox Hills]",,36.64889,-117.03194,,,,231629,Nama demissa var. covillei,Hydrophyllaceae,Nama,,demissa,covillei,Morph,Brand,1970,4
2430034192,1004690,https://cch2.org/portal/collections/individual/index.php?occid=1004690,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,8a9efc49-65fe-4913-8b9f-3d77e3142e82,,10960,Jim André; Tasha La Doux,,,flowers,,Native; Native/naturalizing,,,,,RSA accession #: 770984,,2008-01-19,2008-01-19,2008,01,19,,19,,2008,1,19,,"North side of low hills along dirt road. Associates: Acacia greggii, Psorothamnus spinosus, Camissonia brevipes, Encelia farinosa",,United States,,California,San Bernardino,,"Bristol Mts.: Lava Hills, approx. 2 miles north of Bagdad, approx. 2 miles north of National Trails Hwy., west of town of Amboy on southwest end of Bristol Mts.; Bagdad SW 7.5'",1345ft.,34.6241944,-115.8291389,,,,220771,Nama demissa var. demissa,Namaceae,Nama,,demissa,demissa,Morph,A. Gray,2000,19
2422403995,1567879,https://cch2.org/portal/collections/individual/index.php?occid=1567879,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-148478,UCR0085009,s.n.,John F. Green; Chet McGaugh,,,Flowering,,,,,,,UCR-148478,,2005-01-19,2005-01-19,2005,01,19,,19,,2005,1,19,2005-1-19,"Larrea dominated scrub, but with much Cercidium floridum.",,United States,,California,Riverside,,"Salton Basin, 1.1 mile transect along Coachella Canal right-of-way, between siphons 24 and 25, NE of Hunters Spring, near S base of Orocopia Mtns.",,33.50972,-115.77278,,,,218948,Nama demissa,Hydrophyllaceae,Nama,,demissa,,Species,A. Gray,2000,19
1233601240,2620984,https://www.inaturalist.org/observations/2620984,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2620984,2620984,,lonnyholmes,,,,,wild,,,,,,,2016-01-20T07:15:47-08:00,2016-01-20,2016,01,20,15:15:47Z,,,,,,2016-01-20 07:15:47,,,,US,California,,,,,36.199805,-116.771775,,,,487050,Nama demissa,Boraginaceae,Nama,,,,species,,2010,20
2451551295,363879,https://cch2.org/portal/collections/individual/index.php?occid=363879,YES,,3818e471-b6a4-11e8-b408-001a64db2964,,SJSU,PreservedSpecimen,,86165377-b0db-4d10-b780-876dea18a096,7069,242,R.E. Palmer,,,,,,,,,,,,1973-01-21,1973-01-21,1973,01,21,,21,,1973,1,21,1/21/1973,dry sandy wash,,Mexico,,Baja California,,,c. 15 mi N of Puertocitos near Gulf shoreline,,30.59241,-114.6928,WGS84,921,,218948,Nama demissa,Boraginaceae,Nama,,demissa,,Species,,1970,21
2424818185,1972040,https://cch2.org/portal/collections/individual/index.php?occid=1972040,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,{8FC74030-1057-4AB5-961E-04E59F772E32},,5073,"Sula Vanderplank; Tomas Murillo Flores, Nacho Chiapa, Trudi Angell, Leslie Pringle and La Mula Mil",,,FL,,,,,,"Sandy arroyo by ranch. Large mesquite trees, cardons, Yucca valida, Bursera spp.",SD246079,,2013-01-23,2013-01-23,2013,01,23,,23,,2013,1,23,"Jan 23, 2013",,,Mexico,,Baja California,Unknown,,Rancho Santa Cruz. Sierra San Borja.,,28.28258,-113.42638,WGS84,,,218948,Nama demissa,Namaceae,Nama,,demissa,,Species,,2010,23
2422307719,1469709,https://cch2.org/portal/collections/individual/index.php?occid=1469709,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-103358,UCR0084968,2599,George K. Helmkamp; E. Helmkamp,,,Flowering,,,,,,,UCR-103358,,1998-01-24,1998-01-24,1998,01,24,,24,,1998,1,24,1998-1-24,"Broad, sandy wash with Parkinsonia, Larrea & Olneya.",,United States,,California,Imperial,,"4.2 mi. north of Winterhaven on Picacho Rd, where the road crosses the canal.",,32.79833,-114.64333,,,11S 2E 2N,220771,Nama demissa var. demissa,Hydrophyllaceae,Nama,,demissa,demissa,Morph,A. Gray,1990,24
1291661981,2620793,https://www.inaturalist.org/observations/2620793,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2620793,2620793,,lonnyholmes,,,,,wild,,,,,,,2016-01-25T15:03:25-08:00,2016-01-25,2016,01,25,23:03:25Z,,,,,,2016-01-25 15:03:25,,,,US,California,,,,,36.592923,-116.987899,,,,487050,Nama demissa,Boraginaceae,Nama,,,,species,,2010,25
