gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2430108402,1079783,https://cch2.org/portal/collections/individual/index.php?occid=1079783,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,ae872e04-6c3f-45de-a648-25dc3ba3617e,,4587-a,"Sarah J. De Groot; Leland Lubinsky, Naomi S. Fraga, Lisa Rojas",,,flowers & fruits,,Cultivated,,,,,RSA accession #: 710001,,2005-02-10,2005-02-10,2005,02,10,,41,,2005,2,10,,"Rocky slopes, rock outcrops, and soil pockets among rocks.",,United States,,California,Riverside,,"BLMAlong Palen Pass Road, near Palen Pass, between Granite and Palen Mountains. Bluff of sharp light-colored volcanic rock.",1319ft.,33.9138889,-115.0772222,,,,205393,Phacelia rotundifolia,Hydrophyllaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,2000,41
2430309602,1228860,https://cch2.org/portal/collections/individual/index.php?occid=1228860,NO,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,f5cf4603-9da0-4900-bdde-8dbd189431fc,RSA0053950,6138,Duncan S. Bell,,,,,,,,,"with Yucca schidigera, Encelia farinosa, Larrea tridentata, Ambrosia dumosa, Salazaria mexicana, Bebbia juncea, Psorothamnus arborescens, Acacia greggii, Echinocereus engelmanii, Opuntia basilaris, Echinocactus polycephalus, and a diversity of winter annuals.",RSA accession #: 828531,,2014-02-21,2014-02-21,2014,02,21,,52,,2014,2,21,21 Feb 2014,Rugged boulder hills and cliffs.,,United States,,California,San Bernardino,,Newberry Mountains; northwest section of range; collecting within the Newberry Mountains Wilderness area; approximately 7.75 air miles northwest of Kane Springs.; Minneola,2903ft.,34.80199,-116.8108,,,T8N R2E S7,205393,Phacelia rotundifolia,Hydrophyllaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,2010,52
2422825597,20783052,https://www.inaturalist.org/observations/20783052,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/20783052,20783052,,c-137,,,flowering,,wild,,,,,,,2019-02-25T11:33:50-08:00,2019-02-25,2019,02,25,19:33:50Z,,,,,,2019-02-25 11:33:50 AM PST,,,,US,California,,,,,33.82805634,-115.2822189,EPSG:4326,,,78523,Phacelia rotundifolia,Boraginaceae,Phacelia,,,,species,,2010,56
1846558870,8190342,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=8190342,YES,,edb9860c-c481-4d19-88cc-224a536ebcd4,,DES,PreservedSpecimen,,88323f5f-7ee1-472c-b6a4-29907c5e2b97,DES00082550,19146,Wendy C. Hodgson; Dixie Damrel,,,Flowers,,,,,,"Carnegia gigantea, Ferocactus cylindraceus, Cercidium microphyllum, Echinocereus engelmannii, Ambrosia dumosa, Encelia farinosa, Hyptis emoryi, Sphaeralcea ambigua.",,,2005-03-01,2005-03-01,2005,03,01,,60,,2005,3,1,,"Sonoran Desert scrub, steep northeast-facing slope.; Dark, red-brown rock.",,USA,,Arizona,La Paz County,,"Buckskin Mountains, north side of Squaw Peak.",,34.166233,-113.9476,,,34° 9.974' N 113° 56.856' W,1975,Phacelia rotundifolia,Boraginaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,2000,60
1846485873,14340271,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=14340271,YES,,edb9860c-c481-4d19-88cc-224a536ebcd4,,DES,PreservedSpecimen,,32c5dfed-fb31-4065-bc69-83d9604a2e55,DES00087534,19269,Wendy C. Hodgson; Dixie Damrel,,,flowers,,,,,,"Larrea tridentata, Cercidium microphyllum, Ambrosia dumosa, Encelia farinosa, Cylindropuntia acanthocarpa, Phacelia crenulata, Opuntia basilaris var. basilaris, Sonchus oleraceus, Cheilanthes feei, Eucrypta micrantha, Senecio mohavensis, Stylocline micropoides, Pleurocoronis pluriseta, Linanthus bigelovii, Trixis californica.",,,2005-03-03,2005-03-03,2005,03,03,,62,,2005,3,3,,"Sonoran Desert scrub, north-facing red sandstone outcrop.; Sandstone conglomerate.",,USA,,Arizona,La Paz County,,"Buckskin Mountains, Gibralter Mountain, eastnortheast side, just west of Osborne Wash and north of Osborne Well.",,34.150033,-114.0692,,,34° 9.002' N 114° 4.152' W,1975,Phacelia rotundifolia,Boraginaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,2000,62
1846535260,3091934,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3091934,YES,,edb9860c-c481-4d19-88cc-224a536ebcd4,,DES,PreservedSpecimen,,ec10d036-7aa6-43e8-b2ce-311b740c5716,DES00042572,,J. S. Holland,,,flowers,,,,,,"Mimulus guttatus, Centarium calycosum, and Phacelia lemmonii",,,1977-03-05,1977-03-05,1977,03,05,,64,,1977,3,5,,moist gravels,,USA,,Nevada,Clark,,"Bridge Canyon 1 mile west of Nevada State Highway 77, Newberry Mountains",2700ft,35.1889,-114.696,WGS84,969,TRS: T32S R65E sec 02,1975,Phacelia rotundifolia,Boraginaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,1970,64
2422300929,1462412,https://cch2.org/portal/collections/individual/index.php?occid=1462412,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-52289,UCR0065256,1222,David Charlton,,,Flowering,,,,,,,UCR-52289,,1988-03-06,1988-03-06,1988,03,06,,66,,1988,3,6,1988-3-6,"Rolling hills c. 300 ft. high, with dark basalt boulders from lava flows; rocky canyons and wash bottom with creosote bush scrub; with Atriplex hymenelytra and Encelia.",,United States,,California,Inyo,,"Death Valley region, Hwy 190, first dirt road south of monument boundary, between Furnace Creek and Death Valley Junction",,36.35889,-116.64972,,,,205393,Phacelia rotundifolia,Hydrophyllaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,1980,66
2270628561,706672,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=706672,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,9fd7560e-a91b-491d-a439-8d481265b3b9,,4314,M. Butterwick; Hillyard,,,flowers,,,,,,,114609,,1979-03-07,1979-03-07,1979,03,07,,66,,1979,3,7,,Sonoran Desertscrub.,,USA,,Arizona,Mohave County,,Artillery Pk. southwest 7.5' Quad.,2050ft,34.3393,-113.565,,700,TRS: T12N R13W S36,1975,Phacelia rotundifolia,Hydrophyllaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,1970,66
2270628412,706664,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=706664,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,74b173e3-2301-46d9-ac7e-3713953d663e,,4342,M. Butterwick; Hillyard,,,flowers,,,,,,,115036,,1979-03-08,1979-03-08,1979,03,08,,67,,1979,3,8,,Sonoran Desertscrub.,,USA,,Arizona,Mohave County,,Vicinity of Cactus Queen Mine. Artillery Pk. southwest 7.5' Quad.,2200ft,34.2959,-113.669,,700,TRS: T11N R14W S13,1975,Phacelia rotundifolia,Hydrophyllaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,1970,67
2619970783,44838220,https://www.inaturalist.org/observations/44838220,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/44838220,44838220,,Patrick Alexander,,,,,wild,,,,,,,2008-03-10,2008-03-10,2008,03,10,,,,,,,2008-03-10,,,,US,Arizona,,,,,32.7477,-112.132,EPSG:4326,400,,78523,Phacelia rotundifolia,Boraginaceae,Phacelia,,,,species,,2000,70
2610092072,3839611,https://cch2.org/portal/collections/individual/index.php?occid=3839611,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,fadaa939-37d8-458d-a08c-d63b25bf9f7e,RSA0171640,4708,"Naomi Fraga; Duncan S. Bell, Deidre Conocchioli",,,,,Native,,,,"Larrea tridentata, Ambrosia salsola, Bebbia juncea, Ambrosia dumosa, Phacelia crenulata, Chylismia brevipes, Chaenactis carphoclinia, Eschscholzia minutiflora, Schismus barbatus, Eriogonum reniforme",RSA accession #: 881741,,2014-03-12,2014-03-12,2014,03,12,,71,,2014,3,12,,Volcanic outcrop on a 30-45 degree slope.,,United States,,California,San Bernardino,,BLMTransverse Ranges; San Bernardino Mountains region: Arrastre wash; southeast of Old Woman Springs.; Old Woman Springs 7.5',3326ft.,34.38649,-116.70501,NAD83,,,205393,Phacelia rotundifolia,Hydrophyllaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,2010,71
2270626885,706673,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=706673,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,d96dd458-612d-4e3c-bb35-f0f7cdeafaf8,,707,Mary J. Russo,,,flowers,,,,,,,152020,,1986-03-12,1986-03-12,1986,03,12,,71,,1986,3,12,,Rare on upland slopes of Sonoran Desertscrub.,,USA,,Arizona,Yuma,,On rock wall above dry tank about 1/4 mile above Horse Tanks.,1800ft,33.2102,-114.207,,700,TRS: T2S R19W S34,1975,Phacelia rotundifolia,Hydrophyllaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,1980,71
2382640833,394535,https://cch2.org/portal/collections/individual/index.php?occid=394535,YES,,3818d002-b6a4-11e8-b408-001a64db2964,,SDSU,PreservedSpecimen,,4ae804f9-049e-4180-bc80-c5ce8eb31a04,20367,,"Crouse, Michael D.; Vince Balch",,,In flower.,,,,,,,SDSU20367,,2010-03-13,2010-03-13,2010,03,13,,72,,2010,3,13,03/13/2010,South-facing nearly-vertical heavily-fissured rock cliff.,,United States,,California,San Diego,,"Anza Borrego Desert State Park, Henderson Canyon.",1080ft.,33.30853,-116.41341,,,33.31° N; 116.41° W,205393,Phacelia rotundifolia,Hydrophyllaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,2010,72
2270628828,706675,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=706675,YES,,a2e32c87-d320-4a01-bafd-a9182ae2e191,,ASU,PreservedSpecimen,,a6e7c937-11c6-4e20-a758-97ca5bc973d3,,1263,Charlotte M. Christy,,,flowers,,,,,,,200488,,1993-03-13,1993-03-13,1993,03,13,,72,,1993,3,13,,"Sonoran Desert Scrub, Organpipe Cactus, Bursera; crevices of rock faces.",,USA,,Arizona,Pima County,,Ca. 100 m north of Organ Pipe Cactus National Monument & ca. 0.5 mi east of Cabeza Prieta NWR.,1700ft,32.0426,-112.875,,,,1975,Phacelia rotundifolia,Hydrophyllaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,1990,72
2430127343,1099322,https://cch2.org/portal/collections/individual/index.php?occid=1099322,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,b7e554e1-7422-4041-8d94-a8d1e444a15d,,2071,Michael Honer; Lincoln Hulse,,,flowers,,,,,,,RSA accession #: 756772,,2005-03-14,2005-03-14,2005,03,14,,73,,2005,3,14,,"Steep rocky slopes dominated by Encelia farinosa, Ambrosia dumosa, Cercidium microphyllum, Larrea tridentata, Opuntia spp., with a rich annual herb layer.",,United States,,California,San Bernardino,,Metropolitan Water DistrictWhipple Mountains; steep hills appx. 1 air mi. NE of Bandit Pass.,1200ft.,34.304139,-114.218743,,,11S 755961E 3799382N; T3N R26E S35 SE1/4,205393,Phacelia rotundifolia,Hydrophyllaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,2000,73
1457586109,5373313,https://www.inaturalist.org/observations/5373313,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/5373313,5373313,,Stephanie Calloway,,,,,wild,,,,,,,2017-03-14T13:41:31-07:00,2017-03-14,2017,03,14,20:41:31Z,,,,,,Tue Mar 14 2017 13:41:31 GMT-0700 (PDT),,,,US,California,,,,,34.75131167,-114.83567,EPSG:4326,,,78523,Phacelia rotundifolia,Boraginaceae,Phacelia,,,,species,,2010,73
2422286623,1447538,https://cch2.org/portal/collections/individual/index.php?occid=1447538,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-26103,UCR0065301,3350,John C. Roos,,,Flowering,,,,,,,UCR-26103,,1947-03-15,1947-03-15,1947,03,15,,74,,1947,3,15,1947-3-15,Damp sand along a stream at the mouth of the canyon.,,United States,,California,Riverside,,Deep Canyon,,33.68333,-116.36667,,,11S 6E 2N,205393,Phacelia rotundifolia,Hydrophyllaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,1940,74
2430200999,1174782,https://cch2.org/portal/collections/individual/index.php?occid=1174782,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,dbfc539c-f837-4176-ab43-aaf1fe51e445,,1747,LeRoy Gross; Amber Maurice,,,flowers & fruits,,,,,,,RSA accession #: 705719,,2005-03-17,2005-03-17,2005,03,17,,76,,2005,3,17,,,,United States,,California,San Bernardino,,"Southeast end of the Bristol Mountains; West off Kelbaker Road, followed a dirt road going to an antenna station on top of the mountain, stopped at base of mountain where the road was gated. Area near a place called ‘Windy point.’General collecting in canyon bottom and slope to the west of gate. [From] Near 34.61232N, 115.68189W to 34.60943N, 115.68508W.",1809-2005ft.,34.610962,-115.683993,WGS84,300,,205393,Phacelia rotundifolia,Hydrophyllaceae,Phacelia,,rotundifolia,,Species,Torr. ex S. Wats.,2000,76
