gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2422462798,1633951,https://cch2.org/portal/collections/individual/index.php?occid=1633951,NO,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-216086,,10956,Jim André; T. La Doux,,,Flowering,,,,,,,UCR-216086,,2008-01-19,2008-01-19,2008,01,19,,19,,2008,1,19,2008-1-19,"North side of low hills along dirt road; with Acacia greggii, Psorothamnus spinosus, Camissonia brevipes, Encelia farinosa.",,United States,,California,San Bernardino,,"southwest end of Bristol Mountains, Lava Hills, c. 2 miles north of Baghdad, c. 2 mi north of National Trails Hwy, west of town of Amboy",,34.62419,-115.82914,,,,205636,Prenanthella exigua,Asteraceae,Prenanthella,,exigua,,Species,(A. Gray) Rydb.,2000,19
1846485941,14340474,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=14340474,YES,,edb9860c-c481-4d19-88cc-224a536ebcd4,,DES,PreservedSpecimen,,7d2c0238-fe22-4a25-ac9b-d21f7a52af50,DES00087470,19218,Wendy C. Hodgson; Dixie Damrel,,,,,,,,,"Carnegia gigantea, Ferocactus cylindraceus, Cercidium microphyllum, Cercidium floridum, Olneya tesota, Bebbia juncea, Larrea tridentata, Brassica tournefortii, Phacelia crenulata, Chaenactis stevioides, Rafinesquia neomexicana, Astragalus nuttallianus var. austrinus, Cryptantha maritima, Encelia farinosa, Perityle emoryi, Lupinus arizonicus, Cryptantha pterocarya, Rafinesquia neomexicana, Cryptantha angustifolia, Eucrypta micrantha, Chylismia brevipes, Ambrosia dumosa, Plantago ovata, Eriogonum thomasii, Phacelia crenulata var. ambigua, Chaenactis carphoclinia, Atrichoseris platyphylla, Vulpia octoflora, Mentzelia tricuspis, Mohavea confertiflora, Chorizanthe brevicornu, Schismus arabicus, Xanthisma spinulosum var. gooddingii, Malacothrix glabrata, Chylismia claviformis subsp. aurantiaca, Eriogonum inflatum, Pectocarya heterocarpa, Amsinckia tessellata.",,,2005-03-03,2005-03-03,2005,03,03,,62,,2005,3,3,,"Sonoran Desert scrub, rocky outcrop/hill.; Red jagged rock.",,USA,,Arizona,La Paz County,,"Just outside Gibralter Wilderness Area, just west of Osborne Wash and Osborne Road.",,34.148117,-114.065533,,,34° 8.887' N 114° 3.932' W,2281,Prenanthella exigua,Asteraceae,Prenanthella,,exigua,,Species,(A. Gray) Rydb.,2000,62
3125147776,3700109,https://cch2.org/portal/collections/individual/index.php?occid=3700109,YES,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,SD,PreservedSpecimen,,EC55669E-AFDA-4E73-858C-498CA094E0D6,SD00030460,35125,Jon Rebman; John LaGrange,,,FL,,,,,,"Sonoran Desert vegetation with Olneya tesota, Parkinsonia florida, Bebbia juncea var. aspera, Larrea tridentata, Encelia farinosa, and Senegalia greggii",SD274740,,2019-03-04,2019-03-04,2019,03,04,,63,,2019,3,4,"Mar 04, 2019",sandy/gravelly wash bottom surrounded by volcanic bedrosk,,United States,,California,Imperial,,"Northeastern Imperial County on BLM lands: northeast of Black Mountain; east of Hwy. 78, west of the Colorado River, in a desert arroyo south of Vinagre Wash",,33.19317,-114.7189,WGS84,,,205636,Prenanthella exigua,Asteraceae,Prenanthella,,exigua,,Species,(A. Gray) Rydb.,2010,63
2422449605,1621319,https://cch2.org/portal/collections/individual/index.php?occid=1621319,NO,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-203507,,36263,"A.C. Sanders; Jim André, Brian A. Elliott, et al",,,Buds only,,,,,,,UCR-203507,,2009-03-06,2009-03-06,2009,03,06,,65,,2009,3,6,2009-3-6,Upper alluvial slope with rocky desert pavement of basalt cobbles and larger rocks in sandy matrix; creosote bush scrub.,,United States,,California,San Bernardino,,"Broadwell Valley, SW of Broadwell Lake on alluvial fan from the Cady Mtns.",,34.8111,-116.18913,,,T8N R8E sec6 W/2,205636,Prenanthella exigua,Asteraceae,Prenanthella,,exigua,,Species,(A. Gray) Rydb.,2000,65
2430457048,711219,https://cch2.org/portal/collections/individual/index.php?occid=711219,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,22e21095-44ab-4095-a3d7-c3add8e5bc11,RSA0123756,8867,Duncan S. Bell; LeRoy Gross,,,flowers,,Native,,,,"Senegalia greggii, Encelia farinosa, Bahiopsis parishii, Sphaeralcia ambigua, Ephedra, Trixis californica, Hyptis emoryi, Pleurocoronis pluriseta, Peucephyllum schottii, Larrea tridentata, Perityle emoryi, Parieteria hespera, Lupinus arizonicus, Lotus strigosus, Camissonia brevipes, C. claviformis, Phacelia distans, P. crenulata, etc.",RSA accession #: 864618,,2016-03-10,2016-03-10,2016,03,10,,70,,2016,3,10,,Rocky canyons. Uncommon on steep rocky slope of canyon.,,United States,,California,Riverside,,BLMOrocopia Mountains; Orocopia Mountains Wilderness area; northwestern section of the range; collecting approximately 2.25 air miles northwest of the summit area.; Orocopia Canyon,2816ft.,33.59367,-115.80486,,,T7S R11E S2,205636,Prenanthella exigua,Asteraceae,Prenanthella,,exigua,,Species,(A. Gray) Rydb.,2010,70
2610098718,3894024,https://cch2.org/portal/collections/individual/index.php?occid=3894024,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,2fa7dd30-0974-4d29-b6b5-337c752cf198,RSA0171644,4718,"Naomi Fraga; Duncan S. Bell, Deidre Conocchioli",,,,,,,,,"Larrea tridentata, Ambrosia salsola, Bebbia juncea, Ambrosia dumosa, Phacelia crenulata, Chylismia brevipes, Chaenactis carphoclinia, Eschscholzia minutiflora, Schismus barbatus, Eriogonum reniforme",RSA accession #: 881735,,2014-03-12,2014-03-12,2014,03,12,,71,,2014,3,12,,Volcanic outcrop on a 30-45 degree slope.,,United States,,California,San Bernardino,,BLMTransverse Ranges; San Bernardino Mountains region: Arrastre wash; southeast of Old Woman Springs.; Old Woman Springs 7.5',3326ft.,34.38649,-116.70501,NAD83,,,205636,Prenanthella exigua,Asteraceae,Prenanthella,,exigua,,Species,(A. Gray) Rydb.,2010,71
1846489526,2041674,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2041674,YES,,edb9860c-c481-4d19-88cc-224a536ebcd4,,DES,PreservedSpecimen,,61d983f6-8234-4c1e-8e6f-b7849e496a22,DES00050515,721,Mary J. Russo,,,,,,,,,,,,1986-03-12,1986-03-12,1986,03,12,,71,,1986,3,12,,Sonoran desertscrub,,USA,,Arizona,Yuma County,,"Kofa National Wildlife Refuge, Castle Dome Mountains T2S R19W Sec 26. Gravel road to Prospect, ca. 0.8 mi NE of Horse Tanks.",1700ft.,33.2248,-114.1902,,,TRS: T02S R19W S26,2281,Prenanthella exigua,Asteraceae,Prenanthella,,exigua,,Species,(A. Gray) Rydb.,1980,71
2430066187,1033855,https://cch2.org/portal/collections/individual/index.php?occid=1033855,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,989007bc-6011-4b87-9437-bc0ab926bef5,,1455,Steve Boyd; Orlando Mistretta,,,flowers,,Native,,,,,RSA accession #: 516913,,1986-03-13,1986-03-13,1986,03,13,,72,,1986,3,13,,"Upper bajada at base of range; desert pavement with sparse Larrea, Olneya, Acacia, etc. in washes.",,United States,,California,Riverside,,West side Palen Mts.: NE of Desert Center.,,33.89166667,-115.1433333,WGS84,1000,11S 7E 5N; T3S R17E S24 SE1/4,205636,Prenanthella exigua,Asteraceae,Prenanthella,,exigua,,Species,(A. Gray) Rydb.,1980,72
2422450934,1621944,https://cch2.org/portal/collections/individual/index.php?occid=1621944,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-203934,,36359,A.C. Sanders; Jim André,,,Flowering,,,,,,,UCR-203934,,2009-03-13,2009-03-13,2009,03,13,,72,,2009,3,13,2009-3-13,"Cinder cone with coarse basaltic gravel, mountain slopes and washes on canyon bottom, area mostly disturbed. Sparse creosote bush scrub, most of area with few perennials.",,United States,,California,San Bernardino,,"old volcanic cinder mine site (c. 1955) on south side of Dish Hill, north of National Trails Hwy c. 1 mile NE of East Siberia siding, c. 12 miles west of Amboy via the highway",,34.60895,-115.94447,,,,205636,Prenanthella exigua,Asteraceae,Prenanthella,,exigua,,Species,(A. Gray) Rydb.,2000,72
2422296962,1455431,https://cch2.org/portal/collections/individual/index.php?occid=1455431,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-60766,,1455,Steve Boyd; O. Mistretta,,,Flowering,,,,,,,UCR-60766,,1986-03-13,1986-03-13,1986,03,13,,72,,1986,3,13,1986-3-13,"Desert pavement with sparse Larrea, Olneya, Acacia, etc. in washes.",,United States,,California,Riverside,,"west side of Palen Mountains, northeast of Desert Center. Upper bajada at base of range; Colorado Desert",,33.8975,-115.14972,,,11S 7E 5N; T3S R17E sec24 SE/4,205636,Prenanthella exigua,Asteraceae,Prenanthella,,exigua,,Species,(A. Gray) Rydb.,1980,72
