gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
3091193580,2102173,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2102173,NO,,17a53c97-835b-409e-8a9a-c9a7307a4965,,ASC,PreservedSpecimen,,a9a93ff3-92d5-4241-821d-0ffb2605a408,ASC00036659,s.n.,A. Linn,,,,,,,,,,,,1980-01-01,1980-01-01,1980,01,01,,1,,1980,1,1,,,,United States,,Arizona,Gila,,Near Globe,2300ft.,33.39417,-110.78583,,,,2233,Rafinesquia neomexicana,Asteraceae,Rafinesquia,,neomexicana,,Species,A. Gray,1980,1
3059702682,4092619,https://cch2.org/portal/collections/individual/index.php?occid=4092619,NO,,f3fbf434-c09e-46fa-bc30-99138cd73a71,,CDA,PreservedSpecimen,,cc38bfef-d122-4c97-9f61-a510439000a2,CDA-0018534,1312,Frank B. McMurry,,,,,Wild: native/naturalized,,,,,,,1943-01-01,1943-01-01,1943,01,01,,1,,1943,1,1,1/1/1943,,,United States,,California,Imperial,,Imperial National Wildlife Refuge. Sonoran Desert.,,33.0288,-114.5606,WGS84,19308,,205717,Rafinesquia neomexicana,Asteraceae,Rafinesquia,,neomexicana,,Species,A. Gray,1940,1
1986589409,19446310,https://www.inaturalist.org/observations/19446310,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19446310,19446310,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T10:01:00-08:00,2019-01-02,2019,01,02,18:01:00Z,,,,,,2019/01/02 10:01 AM PST,,,,US,California,,,,,33.175,-116.1786111,,,,68553,Rafinesquia neomexicana,Asteraceae,Rafinesquia,,,,species,,2010,2
1986578374,19409327,https://www.inaturalist.org/observations/19409327,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19409327,19409327,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T10:00:00-08:00,2019-01-02,2019,01,02,18:00:00Z,,,,,,2019/01/02 10:00 AM PST,,,,US,California,,,,,33.17527778,-116.1786111,,,,68553,Rafinesquia neomexicana,Asteraceae,Rafinesquia,,,,species,,2010,2
1986578335,19409329,https://www.inaturalist.org/observations/19409329,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19409329,19409329,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T10:04:00-08:00,2019-01-02,2019,01,02,18:04:00Z,,,,,,2019/01/02 10:04 AM PST,,,,US,California,,,,,33.17472222,-116.1788889,,,,68553,Rafinesquia neomexicana,Asteraceae,Rafinesquia,,,,species,,2010,2
1986576026,19409326,https://www.inaturalist.org/observations/19409326,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19409326,19409326,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T09:53:00-08:00,2019-01-02,2019,01,02,17:53:00Z,,,,,,2019/01/02 9:53 AM PST,,,,US,California,,,,,33.17599167,-116.17867,,,,68553,Rafinesquia neomexicana,Asteraceae,Rafinesquia,,,,species,,2010,2
1986575858,19409325,https://www.inaturalist.org/observations/19409325,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19409325,19409325,,Fred Melgert / Carla Hoegen,,,,,wild,,,,,,,2019-01-02T09:01:00-08:00,2019-01-02,2019,01,02,17:01:00Z,,,,,,2019/01/02 9:01 AM PST,,,,US,California,,,,,33.18944444,-116.1811111,,,,68553,Rafinesquia neomexicana,Asteraceae,Rafinesquia,,,,species,,2010,2
1986574593,19407451,https://www.inaturalist.org/observations/19407451,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19407451,19407451,,Don Rideout,,,,,wild,,,,,,,2019-01-02T12:41:00-08:00,2019-01-02,2019,01,02,20:41:00Z,,,,,,2019/01/02 12:41 PM PST,,,,US,California,,,,,33.19956878,-116.1813341,,,,68553,Rafinesquia neomexicana,Asteraceae,Rafinesquia,,,,species,,2010,2
1986573377,19403471,https://www.inaturalist.org/observations/19403471,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19403471,19403471,,William Terry Hunefeld,,,,,wild,,,,,,,2019-01-02T12:41:45-08:00,2019-01-02,2019,01,02,20:41:45Z,,,,,,Wed Jan 02 2019 12:41:45 GMT-0800 (PST),,,,US,California,,,,,33.19955153,-116.1813478,,5,,68553,Rafinesquia neomexicana,Asteraceae,Rafinesquia,,,,species,,2010,2
2422447636,1616303,https://cch2.org/portal/collections/individual/index.php?occid=1616303,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-199079,,9463,Jim André; T. La Doux,,,Flowering,,,,,,,UCR-199079,,2008-01-03,2008-01-03,2008,01,03,,3,,2008,1,3,2008-1-3,"Assoc. with Croton californicus, Astragalus lentiginosus borreganus, Dicoria canescens.",,United States,,California,San Bernardino,,"Kelso Dunes, Mojave National Preserve, south side of Kelso Dunes, along transmission line dirt road, c. 3 mi east of main public parking area, just east of Bull Canyon wash",,34.87511,-115.74806,,,11S 614418E 3859908N,205717,Rafinesquia neomexicana,Asteraceae,Rafinesquia,,neomexicana,,Species,A. Gray,2000,3
1990468821,19524008,https://www.inaturalist.org/observations/19524008,NO,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/19524008,19524008,,Don Rideout,,,no evidence of flowering,,wild,,,,,,,2019-01-04T13:07:00-08:00,2019-01-04,2019,01,04,21:07:00Z,,,,,,2019/01/04 1:07 PM PST,,,,US,California,,,,,33.25953878,-116.3765815,,,,68553,Rafinesquia neomexicana,Asteraceae,Rafinesquia,,,,species,,2010,4
