gbifID,identifier,references,VF,institutionID,collectionID,datasetID,institutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,recordNumber,recordedBy,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,associatedMedia,associatedReferences,associatedTaxa,otherCatalogNumbers,organismID,eventDate,Date_2,Year_2,Month_2,Day_2,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNotes,country,countryCode,stateProvince,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,taxonID,scientificName,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,Decade,DOY
2430294969,1219150,https://cch2.org/portal/collections/individual/index.php?occid=1219150,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,f12a7820-57df-43a2-aef3-8a5089b7f461,RSA0078282,1096,Erika M. Gardner; Chul Paik,,,flowers,,Native,,,,"Gilia, Larrea tridentata, Erodium cicularium, Euphorbia albomarginata, tropidocarpum gracile, Eriogonum fasciculatum",RSA accession #: 839222,,2015-02-21,2015-02-21,2015,02,21,,52,,2015,2,21,,Desert. Gravely soil. In large rock outcrop.,,United States,,California,Kern,,Base of Tit Mountain. South side of Mountain.; Horse Canyon 7.5',3956ft.,35.56666,-118.01225,,,,206144,Syntrichopappus fremontii,Asteraceae,Syntrichopappus,,fremontii,,Species,A. Gray,2010,52
2430515805,904342,https://cch2.org/portal/collections/individual/index.php?occid=904342,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,5af81f2b-6958-41b3-8fa5-e08010203962,RSA0092815,2068,Thomas R. Stoughton; Sarah J. De Groot,,,flowers,,Native,,,,"Chilopsis linearis, Psorothamnus sp., Ephedra sp., Ambrosia salsola, Larrea tridentata",RSA accession #: 846560,,2016-02-23,2016-02-23,2016,02,23,,54,,2016,2,23,23 February 2016,"Large, open wash intersecting Creosote bush scrub.",,United States,,California,San Bernardino,,BLMNE slope of San Bernardino Mountains off highway 247 at New Dixie Mine Road.; Landers 7.5' USGS,3772ft.,34.27131,-116.46658,WGS84,305,T2N R5E S9,206144,Syntrichopappus fremontii,Asteraceae,Syntrichopappus,,fremontii,,Species,A. Gray,2010,54
1846503198,2055516,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2055516,YES,,edb9860c-c481-4d19-88cc-224a536ebcd4,,DES,PreservedSpecimen,,b5c0e8ae-8ee1-4921-90c2-f009fa62cf2e,DES00014824,445,Jack Whitehead,,,flower & fruit,,,,,,,,,1973-03-01,1973-03-01,1973,03,01,,60,,1973,3,1,,,,USA,,Arizona,Mohave County,,"Oatman to Toppock, Oatman",,35.02562,-114.38252,,,,2187,Syntrichopappus fremontii,Asteraceae,Syntrichopappus,,fremontii,,Species,A. Gray,1970,60
2575154658,608730,https://cch2.org/portal/collections/individual/index.php?occid=608730,YES,,f62b4819-3195-4053-a2dc-07431438f3e6,,SFV,PreservedSpecimen,,d8f3c9c7-0112-4ee8-b053-292b112481e6,SFV103246,s. n.,K. A. Wilson; C. A. George 895,,,Flowering,,Wild: native/naturalized,,,,,SFV-4129,,1961-03-03,1961-03-03,1961,03,03,,62,,1961,3,3,3 Mar 1961,Sandy wash with Larrea divaricata.,,United States,,California,San Bernardino,,Mojave Desert; 3 miles south of junction of China Lake Road and Trona Road.,2624 ft.,35.6,-117.53,WGS84,1000,35° 36m N; 117° 31m 48s W,206144,Syntrichopappus fremontii,Asteraceae,Syntrichopappus,,fremontii,,Species,A. Gray,1960,62
2430421484,938734,https://cch2.org/portal/collections/individual/index.php?occid=938734,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,6b6eac79-f16b-4d80-a63f-d2124f71c4e1,RSA0083522,27704,Jim André,,,flowers,,Native,,,,"Larrea tridentata, Ambrosia dumosa, Amsinckia tessellata, Phacelia tanacetifolia, Chaenactis fremontii, Cryptantha barbigera",RSA accession #: 841416,,2014-03-03,2014-03-03,2014,03,03,,62,,2014,3,3,,"Creosotebush scrub, gravelly soils at base of bouldery outcrops.",,United States,,California,San Bernardino,,"BLMAlong Ord Mountain Rd, 1.9 mi. east of Hwy 247.; West Ord Mountain 7.5'",2648ft.,34.6834667,-116.9343333,NAD83,,,206144,Syntrichopappus fremontii,Asteraceae,Syntrichopappus,,fremontii,,Species,A. Gray,2010,62
2430142053,1114210,https://cch2.org/portal/collections/individual/index.php?occid=1114210,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,befd3c26-be72-4152-a186-979cc5561ff3,,432,Justin M. Wood; Quan Vong,,,flowers,,Native,,,,,RSA accession #: 768581,,2009-03-03,2009-03-03,2009,03,03,,62,,2009,3,3,,"Creosote scrub, sandy washed, and rocky hillsides.",,United States,,California,San Bernardino,,"BLMShadow Mountains, +/- 3.25 miles NE of El Mirage Dry Lake.; Shadow Mtns",3400-3800ft.,34.6927778,-117.5519444,,,T7N R6W S18,206144,Syntrichopappus fremontii,Asteraceae,Syntrichopappus,,fremontii,,Species,A. Gray,2000,62
1805368917,6102693,https://www.inaturalist.org/observations/6102693,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/6102693,6102693,,Christian Schwarz,,,flowering,,wild,,,,,,,2016-03-03T13:34:00-08:00,2016-03-03,2016,03,03,21:34:00Z,,,,,,2016/03/03 1:34 PM PST,,,,US,Nevada,,,,,36.89170964,-116.9261204,EPSG:4326,7336,,79308,Syntrichopappus fremontii,Asteraceae,Syntrichopappus,,,,species,,2010,63
1257412889,2750822,https://www.inaturalist.org/observations/2750822,YES,,,,iNaturalist,HumanObservation,,http://www.inaturalist.org/observations/2750822,2750822,,lonnyholmes,,,,,wild,,,,,,,2016-03-04T12:15:13-08:00,2016-03-04,2016,03,04,20:15:13Z,,,,,,2016-03-04 12:15:13,,,,US,Nevada,,,,,36.899847,-116.830542,EPSG:4326,,,79308,Syntrichopappus fremontii,Asteraceae,Syntrichopappus,,,,species,,2010,64
2430285126,730690,https://cch2.org/portal/collections/individual/index.php?occid=730690,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,2c23f083-bcaf-4620-a3e6-cfcb43bb03e6,RSA0076076,1211,Erika M. Gardner; Sierra Sutton,,,flowers,,Native,,,,"Leptosyne bigelovii, Dichelostemma capitatum, Amsinckia tessellata, Ephedra, Calyptridium monandrum, Salvia columbariae, Ambrosia dumosa, Ericameria linearifolia, Eriogonum fasciculatum",RSA accession #: 838237,,2015-03-07,2015-03-07,2015,03,07,,66,,2015,3,7,,Rocky slope.,,United States,,California,Kern,,Horse Canyon. Near old mining claim.; Horse Canyon 7.5',3973ft.,35.55063,-118.04513,,,,206144,Syntrichopappus fremontii,Asteraceae,Syntrichopappus,,fremontii,,Species,A. Gray,2010,66
2422295392,1457008,https://cch2.org/portal/collections/individual/index.php?occid=1457008,YES,,3818c5b4-b6a4-11e8-b408-001a64db2964,,UCR,PreservedSpecimen,,UCR-BPS-50599,,7722,A.C. Sanders; E.J. Lawlor,,,Flowering,,,,,,,UCR-50599,,1988-03-06,1988-03-06,1988,03,06,,66,,1988,3,6,1988-3-6,"Stony alluvial slope, creosote bush scrub with Larrea, Amsinckia tessellata, Dichelostemma pulchella, Caulanthus lasiophyllus, etc.",,United States,,California,Kern,,"west slope of a prominent hill on California City Blvd, 5 miles south of California City and 3.5 miles north of Hwy 58; Mojave Desert",,35.06389,-117.9175,,,1E 8N,206144,Syntrichopappus fremontii,Asteraceae,Syntrichopappus,,fremontii,,Species,A. Gray,1980,66
2868231139,60258554,https://www.inaturalist.org/observations/60258554,YES,,,,iNaturalist,HumanObservation,,https://www.inaturalist.org/observations/60258554,60258554,,matsonburger,,,,,wild,,,,,,,2005-03-11T13:52:00-08:00,2005-03-11,2005,03,11,21:52:00Z,,,,,,2005/03/11 1:52 PM PST,,,,US,California,,,,,36.78843481,-116.9329531,EPSG:4326,115,,79308,Syntrichopappus fremontii,Asteraceae,Syntrichopappus,,,,species,,2000,70
2430441827,983566,https://cch2.org/portal/collections/individual/index.php?occid=983566,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,80acc313-6292-40e7-adaa-b5415506b19a,,283,"Naomi Fraga; Steve Boyd, Michael Denslow, LeRoy Gross",,,flowers,,Native,,,,,RSA accession #: 720751,,2003-03-11,2003-03-11,2003,03,11,,70,,2003,3,11,,"Black bush Scrub. Coleogyne ramosissima dominant, many winter annuals blooming.",,United States,,California,Kern,,BLMThe Owens Peak Eastern Watershed: Saddle between Short Canyon and Five Fingers. Northeast slope of Five Fingers Ridge. Marked on USGS Owens Peak Topo as Peak 3925'.; Owens Peak 7.5' USGS Quad,3900ft.,35.6969,-117.9019,NAD27,,11 0418397E 3950516N,206144,Syntrichopappus fremontii,Asteraceae,Syntrichopappus,,fremontii,,Species,A. Gray,2000,70
2610087830,3832409,https://cch2.org/portal/collections/individual/index.php?occid=3832409,YES,,3818e1d3-b6a4-11e8-b408-001a64db2964,,RSA,PreservedSpecimen,,3a352d18-634d-40a6-bb45-0ef015ff5d64,RSA0172159,4733,"Naomi Fraga; Duncan S. Bell, Deidre Conocchioli",,,flowers,,Native,,,,"Larrea tridentata, Ambrosia dumosa, Yucca schidigera, Yucca brevifolia, Echinocactus polycephalus",RSA accession #: 881878,,2014-03-12,2014-03-12,2014,03,12,,71,,2014,3,12,,Creosote bush woodland.,,United States,,California,San Bernardino,,"BLMTransverse Ranges; San Bernardino Mountains region: Northwest of Rattlesnake Canyon, south of Old Woman Springs.; Rattlesnake Canyon 7.5'",3595ft.,34.35468,-116.71864,NAD83,,,206144,Syntrichopappus fremontii,Asteraceae,Syntrichopappus,,fremontii,,Species,A. Gray,2010,71
